repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
gateway,Setup riff-raff deployment,https://github.com/guardian/gateway/pull/2,2019-12-19T16:38:41Z,2020-01-17T14:12:40Z,0,13,MERGED
gateway,A name has been chosen!,https://github.com/guardian/gateway/pull/1,2019-12-10T14:03:13Z,2019-12-10T14:12:18Z,1,2,MERGED
gateway,Update reset password page design,https://github.com/guardian/gateway/pull/7,2020-05-26T14:47:03Z,2020-05-27T08:52:59Z,0,1,MERGED
gateway,Cypress Testing,https://github.com/guardian/gateway/pull/6,2020-05-26T11:15:17Z,2020-06-02T13:05:01Z,0,6,MERGED
gateway,"Send reset password email ""unhappy"" path",https://github.com/guardian/gateway/pull/5,2020-05-04T15:33:09Z,2020-05-04T15:42:50Z,0,11,MERGED
gateway,Reset Password Email ,https://github.com/guardian/gateway/pull/4,2020-04-17T10:20:04Z,2020-04-28T10:53:38Z,0,28,MERGED
gateway,Feature: 'Your Data' Page Initial Setup,https://github.com/guardian/gateway/pull/25,2020-07-29T12:59:13Z,2020-08-05T10:39:53Z,0,12,MERGED
gateway,CMP Cookie Consent Banner integration tests,https://github.com/guardian/gateway/pull/24,2020-07-24T13:20:29Z,2020-07-27T10:16:24Z,0,4,MERGED
gateway,Upgrade to Guardian Source v2.0,https://github.com/guardian/gateway/pull/23,2020-07-23T16:20:57Z,2020-07-28T14:18:55Z,0,4,MERGED
gateway,Dependency Update,https://github.com/guardian/gateway/pull/22,2020-07-21T15:39:39Z,2020-07-22T14:45:15Z,0,6,MERGED
gateway,Add Snyk,https://github.com/guardian/gateway/pull/21,2020-07-21T12:48:16Z,2020-07-21T12:51:20Z,0,1,MERGED
gateway,All CI via TeamCity,https://github.com/guardian/gateway/pull/20,2020-07-17T13:14:43Z,2020-07-27T08:48:49Z,0,8,MERGED
gateway,Add page titles onto rendered/served pages,https://github.com/guardian/gateway/pull/19,2020-07-14T13:34:01Z,2020-07-16T15:02:13Z,0,1,MERGED
gateway,Dependency Update - July 13 2020,https://github.com/guardian/gateway/pull/18,2020-07-13T12:47:19Z,2020-07-13T12:55:19Z,2,2,MERGED
gateway,Documentation,https://github.com/guardian/gateway/pull/17,2020-06-30T16:13:25Z,2020-07-07T15:34:52Z,3,13,MERGED
gateway,Add email provider tests,https://github.com/guardian/gateway/pull/16,2020-06-30T15:29:28Z,2020-06-30T16:09:28Z,0,2,MERGED
gateway,Add Consents Management Platform,https://github.com/guardian/gateway/pull/15,2020-06-26T11:18:48Z,2020-06-30T14:19:11Z,0,7,MERGED
gateway,Add Scaling Policy,https://github.com/guardian/gateway/pull/14,2020-06-25T10:29:26Z,2020-06-26T09:47:19Z,0,2,MERGED
gateway,(No) Caching + Compression + Minor Changes,https://github.com/guardian/gateway/pull/13,2020-06-24T10:05:42Z,2020-06-24T15:11:03Z,1,9,MERGED
gateway,Change Password Integration Tests,https://github.com/guardian/gateway/pull/12,2020-06-22T11:20:11Z,2020-06-26T10:12:39Z,0,14,MERGED
gateway,Set up AWS Cloudwatch Metrics,https://github.com/guardian/gateway/pull/11,2020-06-19T14:12:54Z,2020-06-22T10:29:02Z,1,5,MERGED
gateway,Design Changes,https://github.com/guardian/gateway/pull/10,2020-06-16T13:30:09Z,2020-06-22T10:35:25Z,0,14,MERGED
gateway,Setting up query parameters,https://github.com/guardian/gateway/pull/9,2020-06-09T15:18:30Z,2020-06-15T13:44:57Z,0,6,MERGED
gateway,Reset Password Change Page,https://github.com/guardian/gateway/pull/8,2020-06-05T11:22:12Z,2020-06-09T08:07:54Z,0,7,MERGED
gateway,Add CSRF token validation for all Gateway forms,https://github.com/guardian/gateway/pull/80,2020-10-30T15:53:04Z,2020-11-09T09:43:02Z,10,18,MERGED
gateway,make min password length 8 characters,https://github.com/guardian/gateway/pull/79,2020-10-29T15:05:11Z,2020-11-06T10:13:05Z,0,3,MERGED
gateway,Cloudformation | Set max instance count to 12,https://github.com/guardian/gateway/pull/78,2020-10-29T11:41:14Z,2020-10-29T11:49:58Z,0,1,MERGED
gateway,Update dependabot to be weekly to stop spam,https://github.com/guardian/gateway/pull/76,2020-10-29T09:22:04Z,2020-10-29T09:30:20Z,0,2,MERGED
gateway,Change routes of the flow so communications appears before newsletters,https://github.com/guardian/gateway/pull/64,2020-10-27T16:40:38Z,2020-10-27T17:18:19Z,0,4,MERGED
gateway,Dependencies Update - October 2020,https://github.com/guardian/gateway/pull/63,2020-10-27T15:36:13Z,2020-10-28T14:50:11Z,0,6,MERGED
gateway,CMP Update to use country code,https://github.com/guardian/gateway/pull/62,2020-10-27T14:51:04Z,2020-11-19T17:12:53Z,3,11,MERGED
gateway,Onboarding | Integration Tests,https://github.com/guardian/gateway/pull/61,2020-10-22T15:37:17Z,2020-11-23T11:28:20Z,2,40,MERGED
gateway,Post Release design changes.,https://github.com/guardian/gateway/pull/60,2020-10-21T15:58:37Z,2020-10-26T13:11:25Z,0,7,MERGED
gateway,Onboarding | Only update/track newsletters if user subscription status changed,https://github.com/guardian/gateway/pull/59,2020-10-21T09:18:36Z,2020-10-21T15:10:41Z,0,5,MERGED
gateway,Add document/page title to consents routes,https://github.com/guardian/gateway/pull/58,2020-10-20T15:27:47Z,2020-10-21T15:06:31Z,0,3,MERGED
gateway,Geolocated Newsletters,https://github.com/guardian/gateway/pull/57,2020-10-20T13:09:51Z,2020-10-27T11:28:11Z,0,5,MERGED
gateway,Static Cache Headers,https://github.com/guardian/gateway/pull/56,2020-10-16T15:52:05Z,2020-10-19T08:32:09Z,0,2,MERGED
gateway,Consents flow design amends,https://github.com/guardian/gateway/pull/55,2020-10-16T14:56:52Z,2020-10-19T12:45:18Z,0,11,MERGED
gateway,Marketing consents to use checkboxes.,https://github.com/guardian/gateway/pull/54,2020-10-16T14:56:00Z,2020-10-19T12:55:30Z,1,2,MERGED
gateway,Password eye,https://github.com/guardian/gateway/pull/53,2020-10-15T16:41:49Z,2020-11-06T09:52:34Z,2,13,CLOSED
gateway,Password reset validation,https://github.com/guardian/gateway/pull/52,2020-10-15T13:18:01Z,2020-11-06T09:52:25Z,14,3,CLOSED
gateway,Webpack/Babel client bundle changes,https://github.com/guardian/gateway/pull/51,2020-10-15T13:00:15Z,2020-10-16T14:00:28Z,0,8,MERGED
gateway,Onboarding | Add Ophan interaction tracking for newsletters and consents,https://github.com/guardian/gateway/pull/50,2020-10-14T15:57:11Z,2020-10-16T13:56:12Z,5,9,MERGED
gateway,Fix flakiness on gateway startup,https://github.com/guardian/gateway/pull/49,2020-10-13T14:51:51Z,2020-10-13T15:44:26Z,1,2,MERGED
gateway,Return URL Functionality,https://github.com/guardian/gateway/pull/48,2020-10-13T14:03:30Z,2020-10-14T14:44:43Z,0,8,MERGED
gateway,"Add cloudwatch metrics for verify, consents and login middleware",https://github.com/guardian/gateway/pull/47,2020-10-13T09:02:55Z,2020-10-13T10:57:17Z,0,3,MERGED
gateway,Onboarding | Newsletter Changes,https://github.com/guardian/gateway/pull/46,2020-10-13T08:56:01Z,2020-10-13T09:20:18Z,0,1,MERGED
gateway,Onboarding | Design Review Changes,https://github.com/guardian/gateway/pull/45,2020-10-12T13:10:47Z,2020-10-14T09:46:02Z,1,18,MERGED
gateway,Hydrate react ,https://github.com/guardian/gateway/pull/44,2020-10-09T10:33:15Z,2020-10-13T11:26:49Z,8,5,MERGED
gateway,Add Ophan tracking to Gateway,https://github.com/guardian/gateway/pull/43,2020-10-08T08:51:20Z,2020-10-08T12:56:02Z,2,2,MERGED
gateway,Make error links customisable and change password link,https://github.com/guardian/gateway/pull/42,2020-10-02T12:46:09Z,2020-10-02T13:27:43Z,0,1,MERGED
gateway,Consents | Email verification error handling,https://github.com/guardian/gateway/pull/41,2020-10-01T08:44:53Z,2020-10-09T13:32:11Z,0,12,MERGED
gateway,Login Checking for data flow,https://github.com/guardian/gateway/pull/40,2020-09-30T16:17:29Z,2020-10-06T12:52:50Z,0,10,MERGED
gateway,only allow TLSv1.2+,https://github.com/guardian/gateway/pull/39,2020-09-14T16:36:35Z,2020-09-16T08:53:05Z,2,2,MERGED
gateway,Dependencies Update - September 2020,https://github.com/guardian/gateway/pull/38,2020-09-14T08:56:36Z,2020-09-14T10:50:28Z,0,4,MERGED
gateway,Data Page - Data Flow,https://github.com/guardian/gateway/pull/36,2020-09-10T11:31:58Z,2020-09-24T13:51:21Z,1,30,MERGED
gateway,Update cloudformation for ELB access logs,https://github.com/guardian/gateway/pull/35,2020-09-09T14:14:36Z,2020-09-10T14:47:50Z,0,1,MERGED
gateway,IDAPI Error Status Codes,https://github.com/guardian/gateway/pull/34,2020-09-08T14:03:32Z,2020-09-09T09:45:06Z,0,1,MERGED
gateway,Consents | Review Page,https://github.com/guardian/gateway/pull/33,2020-09-02T10:20:54Z,2020-09-04T14:20:28Z,0,7,MERGED
gateway,Fix various flexbox bugs,https://github.com/guardian/gateway/pull/32,2020-08-25T15:21:48Z,2020-08-26T08:52:43Z,0,2,MERGED
gateway,Add alarm names.,https://github.com/guardian/gateway/pull/31,2020-08-24T10:49:13Z,2020-08-24T11:12:47Z,0,1,MERGED
gateway,Newsletters page,https://github.com/guardian/gateway/pull/30,2020-08-21T11:14:25Z,2020-09-04T13:12:58Z,1,17,MERGED
