repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
source,Add blue radio error,https://github.com/guardian/source/pull/72,2019-10-31T15:52:03Z,2019-10-31T15:52:11Z,0,2,MERGED
source,Add new error colour,https://github.com/guardian/source/pull/71,2019-10-31T15:46:23Z,2019-10-31T15:49:37Z,0,2,MERGED
source,Move utilities back to foundations,https://github.com/guardian/source/pull/70,2019-10-31T15:00:56Z,2019-10-31T15:28:37Z,0,10,MERGED
source,Text input widths,https://github.com/guardian/source/pull/69,2019-10-31T10:56:41Z,2019-10-31T11:35:41Z,0,2,MERGED
source,Dark mode rejiggery,https://github.com/guardian/source/pull/68,2019-10-30T14:04:46Z,2019-10-30T14:06:43Z,0,5,MERGED
source,Abolish #d9d9d9 neutral-85,https://github.com/guardian/source/pull/67,2019-10-29T13:31:37Z,2019-10-29T13:32:22Z,0,1,MERGED
source,Improve input text styling,https://github.com/guardian/source/pull/66,2019-10-29T10:38:21Z,2019-10-29T10:38:32Z,0,1,MERGED
source,Add text input docs,https://github.com/guardian/source/pull/65,2019-10-29T10:14:01Z,2019-10-29T10:16:37Z,0,2,MERGED
source,Add supporting text prop to text input,https://github.com/guardian/source/pull/64,2019-10-29T09:17:02Z,2019-10-29T09:17:09Z,0,1,MERGED
source,Optional prop in text input,https://github.com/guardian/source/pull/63,2019-10-29T09:05:07Z,2019-10-29T09:05:27Z,0,2,MERGED
source,Fix src-utilities,https://github.com/guardian/source/pull/62,2019-10-28T16:18:49Z,2019-10-29T08:32:08Z,0,5,MERGED
source,Delete media queries and helpers from foundations,https://github.com/guardian/source/pull/61,2019-10-28T13:33:14Z,2019-10-28T13:41:09Z,0,3,MERGED
source,Support InlineError in TextInput,https://github.com/guardian/source/pull/60,2019-10-28T11:53:09Z,2019-10-28T11:53:50Z,0,3,MERGED
source,Text input theming,https://github.com/guardian/source/pull/59,2019-10-28T11:22:41Z,2019-10-28T11:23:01Z,0,2,MERGED
source,Improve styling of default text inputs,https://github.com/guardian/source/pull/58,2019-10-25T14:40:29Z,2019-10-25T14:41:04Z,0,1,MERGED
source,Use slightly correcter fonts,https://github.com/guardian/source/pull/57,2019-10-25T13:55:45Z,2019-10-25T14:16:48Z,0,2,MERGED
source,src-utilities improvements,https://github.com/guardian/source/pull/56,2019-10-25T09:47:32Z,2019-10-25T09:48:56Z,0,3,MERGED
source,Better docs for foundations and utilities,https://github.com/guardian/source/pull/55,2019-10-24T14:45:12Z,2019-10-25T07:03:46Z,0,6,MERGED
source,Radio docs,https://github.com/guardian/source/pull/54,2019-10-24T13:05:57Z,2019-10-24T13:08:58Z,0,2,MERGED
source,Button docs,https://github.com/guardian/source/pull/53,2019-10-24T12:21:37Z,2019-10-24T12:51:18Z,0,2,MERGED
source,Remove unused CSS properties,https://github.com/guardian/source/pull/52,2019-10-24T07:36:42Z,2019-10-24T07:49:46Z,0,1,MERGED
source,Add utilities package exposing media queries,https://github.com/guardian/source/pull/51,2019-10-23T14:30:59Z,2019-10-23T15:12:22Z,0,1,MERGED
source,Added above and below adverbs,https://github.com/guardian/source/pull/50,2019-10-22T16:23:50Z,2019-10-23T14:35:27Z,1,1,CLOSED
source,Refactor radio styles using emotion-theming,https://github.com/guardian/source/pull/49,2019-10-22T13:25:07Z,2019-10-22T13:58:21Z,0,6,MERGED
source,Reader revenue yellow appearance,https://github.com/guardian/source/pull/48,2019-10-22T10:32:58Z,2019-10-22T10:34:17Z,0,2,MERGED
source,Background Toggle Improvements,https://github.com/guardian/source/pull/47,2019-10-22T09:56:57Z,2019-10-22T09:57:49Z,0,3,MERGED
source,Colours overhaul,https://github.com/guardian/source/pull/46,2019-10-21T11:44:32Z,2019-10-21T15:34:38Z,0,3,MERGED
source,Darken and Lighten,https://github.com/guardian/source/pull/45,2019-10-18T17:13:40Z,2019-10-21T09:12:56Z,1,2,CLOSED
source,Inline error package,https://github.com/guardian/source/pull/44,2019-10-17T14:29:10Z,2019-10-17T14:42:17Z,0,5,MERGED
source,Themes,https://github.com/guardian/source/pull/43,2019-10-15T16:39:36Z,2019-10-16T09:58:14Z,0,9,MERGED
source,Expose breakpointMap,https://github.com/guardian/source/pull/42,2019-10-15T10:40:29Z,2019-10-22T10:53:47Z,2,2,MERGED
source,Add up-to-date SVGs,https://github.com/guardian/source/pull/41,2019-10-15T10:14:23Z,2019-10-15T10:16:33Z,0,1,MERGED
source,Support boolean error flag on radio group,https://github.com/guardian/source/pull/40,2019-10-15T09:12:46Z,2019-10-15T09:32:04Z,0,1,MERGED
source,Error messages for radios,https://github.com/guardian/source/pull/39,2019-10-14T16:50:22Z,2019-10-14T16:51:23Z,0,7,MERGED
source,Fixed Whitespace and Updated Breakpoint Value,https://github.com/guardian/source/pull/38,2019-10-11T17:14:57Z,2019-10-14T12:11:03Z,0,1,MERGED
source,Remove 'from' From Docs,https://github.com/guardian/source/pull/37,2019-10-11T16:32:38Z,2019-10-11T16:44:34Z,0,2,MERGED
source,Add supporting text and colour themes to radios,https://github.com/guardian/source/pull/36,2019-10-11T14:40:37Z,2019-10-11T14:44:39Z,0,3,MERGED
source,Add 'wide' Media Query,https://github.com/guardian/source/pull/35,2019-10-11T10:00:05Z,2019-10-11T13:52:28Z,0,2,MERGED
source,Use Component Story Format,https://github.com/guardian/source/pull/34,2019-09-27T16:07:30Z,2019-09-27T16:09:32Z,0,3,MERGED
source,Support more background colours,https://github.com/guardian/source/pull/33,2019-09-27T15:10:37Z,2019-09-27T15:13:10Z,0,3,MERGED
source,Action cleanup,https://github.com/guardian/source/pull/32,2019-09-26T16:40:33Z,2019-09-26T17:02:37Z,0,4,MERGED
source,Cleanup actions,https://github.com/guardian/source/pull/31,2019-09-26T16:36:12Z,2019-09-26T16:39:58Z,0,1,CLOSED
source,ci action,https://github.com/guardian/source/pull/30,2019-09-26T11:32:20Z,2019-09-26T16:30:12Z,0,1,MERGED
source,New actions workflow mk2,https://github.com/guardian/source/pull/29,2019-09-26T11:27:54Z,2019-09-26T12:58:03Z,0,1,CLOSED
source,Create workflow,https://github.com/guardian/source/pull/28,2019-09-26T11:26:23Z,2019-09-26T12:57:47Z,0,1,CLOSED
source,Reduce icon size in small buttons,https://github.com/guardian/source/pull/27,2019-09-24T16:44:38Z,2019-09-24T16:46:28Z,0,1,MERGED
source,Add close icon,https://github.com/guardian/source/pull/26,2019-09-24T15:55:07Z,2019-09-24T15:57:07Z,0,2,MERGED
source,Dark mode buttons,https://github.com/guardian/source/pull/25,2019-09-24T13:55:33Z,2019-09-24T15:25:29Z,0,2,MERGED
source,Make stories fullscreen in prod,https://github.com/guardian/source/pull/24,2019-09-24T13:38:26Z,2019-09-24T13:38:50Z,0,1,MERGED
source,Button cleanup,https://github.com/guardian/source/pull/23,2019-09-24T12:59:56Z,2019-09-24T13:00:09Z,0,2,MERGED
source,First pass at text input,https://github.com/guardian/source/pull/22,2019-09-24T12:37:57Z,2019-09-24T12:44:09Z,0,3,MERGED
source,Remove padding from low priority,https://github.com/guardian/source/pull/21,2019-09-24T10:38:41Z,2019-09-24T10:40:14Z,0,1,MERGED
source,Make all stories fullscreen 😕,https://github.com/guardian/source/pull/20,2019-09-23T11:22:42Z,2019-09-23T11:22:49Z,0,1,MERGED
source,Hide toolbar by default,https://github.com/guardian/source/pull/19,2019-09-23T10:52:48Z,2019-09-23T10:56:45Z,0,1,MERGED
source,Remove everything,https://github.com/guardian/source/pull/18,2019-09-18T15:51:21Z,2019-09-18T15:59:04Z,0,3,MERGED
source,Dark mode toggle,https://github.com/guardian/source/pull/17,2019-09-18T15:33:27Z,2019-09-18T15:45:42Z,0,7,MERGED
source,Button priority rejig,https://github.com/guardian/source/pull/16,2019-09-18T11:10:08Z,2019-09-18T11:10:20Z,0,2,MERGED
source,Add dark mode colour,https://github.com/guardian/source/pull/15,2019-09-18T09:09:58Z,2019-09-18T09:11:04Z,0,5,MERGED
