repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
primer-app,Add vim .swp files to .gitignore,https://github.com/hackworthltd/primer-app/pull/111,2021-10-28T11:38:57Z,2021-11-04T18:44:07Z,9,1,MERGED
primer-app,Update new developer onbording documentation,https://github.com/hackworthltd/primer-app/pull/107,2021-10-25T16:56:35Z,2021-10-26T20:43:59Z,7,3,MERGED
primer-app,A bunch of cleanups,https://github.com/hackworthltd/primer-app/pull/101,2021-10-21T16:16:05Z,2021-10-22T00:02:30Z,3,4,MERGED
primer-app,improvement(nix): Use gitignoreSource on `src` attribute.,https://github.com/hackworthltd/primer-app/pull/87,2021-10-18T09:00:12Z,2021-10-18T09:09:40Z,2,1,MERGED
primer-app,feat(components): Add an alert badge to avatars.,https://github.com/hackworthltd/primer-app/pull/84,2021-10-16T00:11:28Z,2021-10-16T09:52:33Z,2,1,MERGED
primer-app,feat(components): Break out most of the remaining sessions nav bar components.,https://github.com/hackworthltd/primer-app/pull/83,2021-10-15T16:39:16Z,2021-10-15T18:22:27Z,2,6,MERGED
primer-app,"ci: Add a ""forcing function"" package for Hydra builds.",https://github.com/hackworthltd/primer-app/pull/79,2021-10-13T10:42:41Z,2021-10-13T10:52:52Z,4,1,MERGED
primer-app,style(components): Switch to circular avatars.,https://github.com/hackworthltd/primer-app/pull/78,2021-10-13T10:08:23Z,2021-10-13T10:30:20Z,3,1,MERGED
primer-app,feat(components): Add an avatar component for the student.,https://github.com/hackworthltd/primer-app/pull/77,2021-10-12T23:09:51Z,2021-10-12T23:53:24Z,4,2,MERGED
primer-app,chore(deps): Bump Nix and Yarn dependencies.,https://github.com/hackworthltd/primer-app/pull/76,2021-10-10T17:30:00Z,2021-10-10T17:53:19Z,2,1,MERGED
primer-app,"feat(components): Add a new ""responsive"" size.",https://github.com/hackworthltd/primer-app/pull/75,2021-10-07T16:57:25Z,2021-10-07T18:33:49Z,2,3,MERGED
primer-app,feat(components): Add Primer branding.,https://github.com/hackworthltd/primer-app/pull/74,2021-10-07T13:46:01Z,2021-10-07T14:00:10Z,2,2,MERGED
primer-app,feat(components): Use UIButton in sessions navbar.,https://github.com/hackworthltd/primer-app/pull/73,2021-10-07T10:46:08Z,2021-10-07T12:02:34Z,2,1,MERGED
primer-app,feat(components): Add a UI button.,https://github.com/hackworthltd/primer-app/pull/72,2021-10-05T12:47:23Z,2021-10-07T10:07:13Z,3,1,MERGED
primer-app,Remove Adobe Source fonts.,https://github.com/hackworthltd/primer-app/pull/71,2021-10-04T15:03:30Z,2021-10-04T15:19:53Z,2,1,MERGED
primer-app,[components] Add a mostly-verbatim navbar from Tailwind UI.,https://github.com/hackworthltd/primer-app/pull/70,2021-10-04T12:08:30Z,2021-10-04T12:33:04Z,2,1,MERGED
primer-app,Test the Chromatic workflow.,https://github.com/hackworthltd/primer-app/pull/68,2021-10-01T00:33:34Z,2021-10-01T12:18:59Z,2,1,MERGED
primer-app,[meta] Proof-of-concept Chromatic deployment workflow.,https://github.com/hackworthltd/primer-app/pull/67,2021-09-30T23:33:08Z,2021-09-30T23:52:43Z,2,1,MERGED
primer-app,[primer-components] Add Chromatic support.,https://github.com/hackworthltd/primer-app/pull/66,2021-09-30T22:32:41Z,2021-09-30T22:45:05Z,2,1,MERGED
primer-app,[primer-components] Add Storybook.js Nix package.,https://github.com/hackworthltd/primer-app/pull/65,2021-09-30T21:15:14Z,2021-09-30T21:41:35Z,2,1,MERGED
primer-app,"Add a ""primer-components"" library and move UI components there.",https://github.com/hackworthltd/primer-app/pull/64,2021-09-29T02:26:49Z,2021-09-29T23:43:25Z,3,6,MERGED
primer-app,fix(ci): Wait for triggered Chromatic deployment build status.,https://github.com/hackworthltd/primer-app/pull/212,2021-12-31T19:29:18Z,2021-12-31T19:56:23Z,2,1,MERGED
primer-app,ci: Use a separate pipeline for Chromatic deployments.,https://github.com/hackworthltd/primer-app/pull/211,2021-12-31T18:46:59Z,2021-12-31T19:25:27Z,2,1,MERGED
primer-app,Build this repo in Buildkite.,https://github.com/hackworthltd/primer-app/pull/208,2021-12-30T02:43:36Z,2021-12-31T07:35:19Z,2,1,MERGED
primer-app,feat: add node labels to D3 trees,https://github.com/hackworthltd/primer-app/pull/203,2021-12-16T16:32:26Z,2022-01-10T00:44:57Z,6,1,MERGED
primer-app,feat: animate D3 trees,https://github.com/hackworthltd/primer-app/pull/202,2021-12-15T20:35:53Z,2022-01-10T00:08:47Z,11,5,MERGED
primer-app,feat: d3-based svg trees,https://github.com/hackworthltd/primer-app/pull/201,2021-12-15T11:57:20Z,2022-01-09T22:52:09Z,15,4,MERGED
primer-app,chore(npm): Bump dependencies.,https://github.com/hackworthltd/primer-app/pull/193,2021-12-11T12:57:07Z,2021-12-11T13:09:53Z,2,1,MERGED
primer-app,chore(nix): Bump dependencies.,https://github.com/hackworthltd/primer-app/pull/192,2021-12-11T09:45:12Z,2021-12-11T12:48:39Z,0,1,CLOSED
primer-app,feat: React Router support.,https://github.com/hackworthltd/primer-app/pull/190,2021-12-07T15:38:20Z,2021-12-08T18:01:15Z,6,5,MERGED
primer-app,feat: visx-based svg trees,https://github.com/hackworthltd/primer-app/pull/180,2021-12-01T14:39:28Z,2022-01-09T18:49:04Z,27,14,MERGED
primer-app,fix: primer-app now displays the sessions page.,https://github.com/hackworthltd/primer-app/pull/179,2021-12-01T14:23:30Z,2021-12-06T15:04:14Z,5,3,MERGED
primer-app,fix: Use @vitejs/plugin-react for React support in Vite.,https://github.com/hackworthltd/primer-app/pull/178,2021-12-01T10:27:27Z,2021-12-01T10:39:12Z,2,1,MERGED
primer-app,ci: Slow down Dependabot's npm update frequency to once per week.,https://github.com/hackworthltd/primer-app/pull/177,2021-11-30T21:12:57Z,2021-11-30T21:27:38Z,2,1,MERGED
primer-app,chore(npm): Bump dependencies.,https://github.com/hackworthltd/primer-app/pull/175,2021-11-30T18:15:33Z,2021-11-30T21:07:53Z,2,1,MERGED
primer-app,"feat(components): ""interactive"" tree",https://github.com/hackworthltd/primer-app/pull/167,2021-11-29T13:26:26Z,2021-12-07T12:03:18Z,24,2,MERGED
primer-app,ci: Add a Dependabot config for npm packages.,https://github.com/hackworthltd/primer-app/pull/161,2021-11-27T00:01:45Z,2021-11-27T00:14:44Z,2,1,MERGED
primer-app,ci: add aarch64-darwin builds to required checks.,https://github.com/hackworthltd/primer-app/pull/160,2021-11-26T21:57:30Z,2021-11-26T22:20:54Z,2,1,MERGED
primer-app,fix: Fix the Vite sourcemap generation.,https://github.com/hackworthltd/primer-app/pull/159,2021-11-26T17:51:58Z,2021-11-26T22:07:48Z,7,1,MERGED
primer-app,feat: Possibly faster builds with Vite.,https://github.com/hackworthltd/primer-app/pull/158,2021-11-26T17:35:07Z,2021-11-26T17:54:55Z,2,1,MERGED
primer-app,chore: Update dependencies.,https://github.com/hackworthltd/primer-app/pull/157,2021-11-26T15:58:16Z,2021-11-26T16:59:38Z,2,4,MERGED
primer-app,fix: Build fixes & improvements,https://github.com/hackworthltd/primer-app/pull/156,2021-11-26T11:05:16Z,2021-11-26T15:06:44Z,2,8,MERGED
primer-app,fix: Fix the TypeScript build.,https://github.com/hackworthltd/primer-app/pull/155,2021-11-25T19:40:53Z,2021-11-26T11:01:06Z,3,1,CLOSED
