repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
next-forge,V2,https://github.com/haydenbleasel/next-forge/pull/5,2023-10-08T02:32:39Z,2023-10-10T00:38:35Z,0,71,MERGED
next-forge,85 add turborepo,https://github.com/haydenbleasel/next-forge/pull/97,2024-05-01T20:57:31Z,2024-05-02T14:49:38Z,0,48,MERGED
next-forge,Add Notifications,https://github.com/haydenbleasel/next-forge/pull/161,2024-10-31T20:07:59Z,2025-01-12T04:32:45Z,3,13,MERGED
next-forge,Improve Dark Mode support,https://github.com/haydenbleasel/next-forge/pull/159,2024-10-31T14:49:48Z,2024-10-31T14:54:58Z,2,7,MERGED
next-forge,Improve SEO,https://github.com/haydenbleasel/next-forge/pull/158,2024-10-29T19:24:17Z,2024-10-29T20:47:12Z,2,9,MERGED
next-forge,Implement Posthog,https://github.com/haydenbleasel/next-forge/pull/156,2024-10-28T22:29:25Z,2024-10-28T22:55:05Z,2,9,MERGED
next-forge,Docs,https://github.com/haydenbleasel/next-forge/pull/155,2024-10-28T15:31:48Z,2024-10-28T20:18:31Z,2,39,MERGED
next-forge,Add Vercel Feature Flags,https://github.com/haydenbleasel/next-forge/pull/154,2024-10-28T03:30:10Z,2024-10-29T00:52:27Z,2,23,MERGED
next-forge,Upgrade to React 19,https://github.com/haydenbleasel/next-forge/pull/153,2024-10-28T03:04:49Z,2024-12-07T00:19:21Z,1,5,CLOSED
next-forge,2.2,https://github.com/haydenbleasel/next-forge/pull/152,2024-10-26T06:09:28Z,2024-10-26T06:15:24Z,2,4,MERGED
next-forge,2.1,https://github.com/haydenbleasel/next-forge/pull/151,2024-10-24T18:03:54Z,2024-10-24T20:22:07Z,2,6,MERGED
next-forge,Demo fixes,https://github.com/haydenbleasel/next-forge/pull/150,2024-10-23T23:09:26Z,2024-10-23T23:35:13Z,2,9,MERGED
next-forge,Version 2,https://github.com/haydenbleasel/next-forge/pull/149,2024-10-22T18:50:09Z,2024-10-23T20:47:38Z,2,122,MERGED
next-forge,1.2.0,https://github.com/haydenbleasel/next-forge/pull/144,2024-10-21T14:53:33Z,2024-10-21T14:59:26Z,2,6,MERGED
