repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
beam,fix: Use conditions instead of branch filters.,https://github.com/homebound-team/beam/pull/41,2021-03-29T21:48:46Z,2021-03-29T21:52:23Z,3,1,MERGED
beam,fix: Bump module down to commonjs to play nicely with Jest.,https://github.com/homebound-team/beam/pull/40,2021-03-29T21:35:03Z,2021-03-29T21:41:05Z,1,1,MERGED
beam,"fix: Fix radio button focus, hover, and transition.",https://github.com/homebound-team/beam/pull/39,2021-03-27T13:36:20Z,2021-03-30T14:29:27Z,2,3,MERGED
beam,feat: Upstream Blueprint's link styles.,https://github.com/homebound-team/beam/pull/38,2021-03-27T02:30:02Z,2021-03-30T14:28:47Z,3,2,MERGED
beam,feat: CheckboxGroup,https://github.com/homebound-team/beam/pull/37,2021-03-26T19:48:59Z,2021-04-01T18:10:29Z,12,13,MERGED
beam,feat: SelectField,https://github.com/homebound-team/beam/pull/36,2021-03-26T04:22:02Z,2021-04-29T19:02:20Z,5,7,MERGED
beam,feat: SelectField,https://github.com/homebound-team/beam/pull/35,2021-03-26T04:21:35Z,2021-03-26T04:21:45Z,0,1,CLOSED
beam,fix: Update Beam Palette,https://github.com/homebound-team/beam/pull/34,2021-03-25T15:36:03Z,2021-03-26T14:12:41Z,7,4,MERGED
beam,chore: Publish only component and declaration code,https://github.com/homebound-team/beam/pull/33,2021-03-24T23:20:10Z,2021-03-25T18:33:29Z,5,2,MERGED
beam,[Hackday] Test Integration Of Beam with Contrast,https://github.com/homebound-team/beam/pull/32,2021-03-24T15:52:14Z,2021-03-30T20:14:58Z,0,1,CLOSED
beam,fix: Updates to buttons,https://github.com/homebound-team/beam/pull/31,2021-03-23T20:12:49Z,2021-03-23T20:55:32Z,7,2,MERGED
beam,fix: Remove internal state from TextAreaField. Now relies solely on extern…,https://github.com/homebound-team/beam/pull/30,2021-03-23T18:27:40Z,2021-03-23T18:54:10Z,3,2,MERGED
beam,chore: Use react-aria-assigned ids.,https://github.com/homebound-team/beam/pull/29,2021-03-23T15:30:43Z,2021-03-23T16:20:11Z,1,1,MERGED
beam,feat: Use ttsc to fix src/... imports in emitted JS.,https://github.com/homebound-team/beam/pull/28,2021-03-20T19:46:11Z,2021-03-20T19:59:14Z,3,2,MERGED
beam,feat: Add Radio Group.,https://github.com/homebound-team/beam/pull/27,2021-03-19T17:04:33Z,2021-03-22T20:28:40Z,7,8,MERGED
beam,chore: Support 'currentColor' value for icon fill property,https://github.com/homebound-team/beam/pull/26,2021-03-19T13:21:03Z,2021-03-19T13:37:22Z,3,2,MERGED
beam,feat: Checkbox,https://github.com/homebound-team/beam/pull/25,2021-03-18T23:34:25Z,2021-03-25T14:45:37Z,13,11,MERGED
beam,feat: TextFields and Textareas,https://github.com/homebound-team/beam/pull/24,2021-03-18T20:53:20Z,2021-03-23T17:36:22Z,13,4,MERGED
