repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
level-protocol-website,Ab/harness,https://github.com/indiedao/level-protocol-website/pull/5,2021-10-31T16:11:11Z,2021-10-31T19:41:27Z,1,2,MERGED
level-protocol-website,[LATEST] Combined $LEVEL ERC-721 (Bitwise),https://github.com/indiedao/level-protocol-website/pull/4,2021-10-13T18:25:22Z,2021-10-24T14:38:40Z,1,12,MERGED
level-protocol-website,WIP - Nv/rep bitwise,https://github.com/indiedao/level-protocol-website/pull/3,2021-10-07T19:40:52Z,2021-10-24T14:38:41Z,2,7,MERGED
level-protocol-website,WIP - Nv/rep 1155 benchmark,https://github.com/indiedao/level-protocol-website/pull/2,2021-10-06T20:55:05Z,2021-10-24T14:38:41Z,1,2,MERGED
level-protocol-website,Adds draft implementation of $LEVEL ERC721 token.,https://github.com/indiedao/level-protocol-website/pull/1,2021-10-05T18:21:17Z,2021-10-24T14:38:41Z,1,1,MERGED
level-protocol-website,ab/harness + nv/nft-config,https://github.com/indiedao/level-protocol-website/pull/17,2021-12-31T20:32:50Z,2022-02-15T21:16:51Z,18,53,MERGED
level-protocol-website,Update Background Image,https://github.com/indiedao/level-protocol-website/pull/15,2021-12-30T00:42:22Z,2021-12-30T19:15:37Z,1,2,MERGED
level-protocol-website,Lint Tweaks,https://github.com/indiedao/level-protocol-website/pull/14,2021-12-27T22:34:25Z,2021-12-27T22:47:58Z,1,4,MERGED
level-protocol-website,Final V1 Smart Contract Updates,https://github.com/indiedao/level-protocol-website/pull/13,2021-12-27T20:20:21Z,2022-01-01T21:00:18Z,3,8,MERGED
level-protocol-website,Storybook > Background,https://github.com/indiedao/level-protocol-website/pull/12,2021-12-24T19:43:47Z,2021-12-29T20:04:38Z,2,2,MERGED
level-protocol-website,Storybook > Typography,https://github.com/indiedao/level-protocol-website/pull/11,2021-12-22T23:59:15Z,2021-12-30T00:22:29Z,5,10,MERGED
level-protocol-website,Storybook > Main Window,https://github.com/indiedao/level-protocol-website/pull/10,2021-12-22T00:03:30Z,2021-12-29T20:04:02Z,9,5,MERGED
level-protocol-website,Storybook > Menu bar,https://github.com/indiedao/level-protocol-website/pull/9,2021-12-21T21:27:42Z,2021-12-29T20:03:29Z,3,3,MERGED
level-protocol-website,Colors,https://github.com/indiedao/level-protocol-website/pull/8,2021-12-16T21:43:34Z,2021-12-20T16:09:06Z,3,3,MERGED
level-protocol-website,Linting; Updates,https://github.com/indiedao/level-protocol-website/pull/7,2021-12-10T23:01:59Z,2021-12-14T21:35:59Z,4,11,MERGED
level-protocol-website,new UI retro components,https://github.com/indiedao/level-protocol-website/pull/6,2021-12-08T05:30:22Z,2021-12-13T16:37:01Z,11,2,MERGED
level-protocol-website,Adds /api/update-member-cache.,https://github.com/indiedao/level-protocol-website/pull/88,2022-03-30T23:02:35Z,2022-03-30T23:03:03Z,1,1,MERGED
level-protocol-website,Nicovalencia/dw 313/access list page,https://github.com/indiedao/level-protocol-website/pull/87,2022-03-30T23:02:16Z,2022-06-14T16:43:25Z,5,17,MERGED
level-protocol-website,Update Ethers + isLoggedIn Sign State,https://github.com/indiedao/level-protocol-website/pull/86,2022-03-29T15:47:47Z,2022-03-29T16:20:43Z,3,2,MERGED
level-protocol-website,Fauna Instructions,https://github.com/indiedao/level-protocol-website/pull/85,2022-03-29T13:00:09Z,2022-03-30T01:53:00Z,1,2,MERGED
level-protocol-website,Refactor Coordinape Integration,https://github.com/indiedao/level-protocol-website/pull/84,2022-03-22T04:18:29Z,2022-04-12T03:17:27Z,16,37,MERGED
level-protocol-website,Making Hue and Lightness Random,https://github.com/indiedao/level-protocol-website/pull/83,2022-03-16T23:51:28Z,2022-03-17T00:09:30Z,3,2,MERGED
level-protocol-website,Fix font spelling and remove unused font.,https://github.com/indiedao/level-protocol-website/pull/82,2022-03-16T23:20:23Z,2022-03-16T23:25:41Z,2,1,MERGED
level-protocol-website,Production Deploy,https://github.com/indiedao/level-protocol-website/pull/81,2022-03-16T21:05:19Z,2022-03-16T21:15:55Z,1,35,MERGED
level-protocol-website,Update readme,https://github.com/indiedao/level-protocol-website/pull/80,2022-03-08T17:19:04Z,2022-03-09T14:59:59Z,2,4,MERGED
level-protocol-website,Fix Hardhat Test Run / Github Action,https://github.com/indiedao/level-protocol-website/pull/79,2022-03-07T19:55:05Z,2022-03-08T00:23:44Z,1,1,MERGED
level-protocol-website,Quick Lint Warning Clear,https://github.com/indiedao/level-protocol-website/pull/78,2022-03-07T19:23:33Z,2022-03-08T00:15:47Z,2,1,MERGED
level-protocol-website,Prod Deploy,https://github.com/indiedao/level-protocol-website/pull/77,2022-03-07T17:20:23Z,2022-03-08T19:55:30Z,2,4,MERGED
level-protocol-website,Update readme to be more specific about dev env setup,https://github.com/indiedao/level-protocol-website/pull/76,2022-03-04T23:07:16Z,2022-03-04T23:19:18Z,2,1,CLOSED
level-protocol-website,Allow Error Messages; Add B Prompt,https://github.com/indiedao/level-protocol-website/pull/75,2022-03-04T01:05:13Z,2022-03-04T18:34:34Z,1,2,MERGED
level-protocol-website,Integrations,https://github.com/indiedao/level-protocol-website/pull/74,2022-02-26T20:16:31Z,2022-03-16T21:04:57Z,4,28,MERGED
