repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
vscode-dvc,Rough table,https://github.com/iterative/vscode-dvc/pull/5,2020-10-30T18:25:28Z,2020-11-13T23:59:10Z,5,28,MERGED
vscode-dvc,Add generalized runCommand w/ output channel,https://github.com/iterative/vscode-dvc/pull/35,2020-12-19T15:29:40Z,2020-12-20T04:48:04Z,3,2,CLOSED
vscode-dvc,Add editor & explorer context for Run Experiment,https://github.com/iterative/vscode-dvc/pull/33,2020-12-18T22:03:36Z,2020-12-19T02:11:22Z,2,1,MERGED
vscode-dvc,Checkpoint nesting,https://github.com/iterative/vscode-dvc/pull/29,2020-12-17T20:36:09Z,2020-12-18T19:38:34Z,6,15,MERGED
vscode-dvc,Add baseline 'Run Experiment' webview integration,https://github.com/iterative/vscode-dvc/pull/28,2020-12-17T19:26:49Z,2021-01-08T18:45:52Z,14,20,MERGED
vscode-dvc,Add extension testing framework,https://github.com/iterative/vscode-dvc/pull/25,2020-12-16T10:42:15Z,2020-12-16T21:08:14Z,1,1,MERGED
vscode-dvc,Add 'dvc exp run' command ,https://github.com/iterative/vscode-dvc/pull/22,2020-12-15T22:38:55Z,2020-12-16T01:44:17Z,6,4,MERGED
vscode-dvc,Improved inferred columns,https://github.com/iterative/vscode-dvc/pull/15,2020-12-04T06:52:00Z,2020-12-16T05:29:31Z,2,8,MERGED
vscode-dvc,"Add editor-agnostic dev scripts, update README and Prettier config",https://github.com/iterative/vscode-dvc/pull/11,2020-11-17T20:09:37Z,2020-11-23T21:03:34Z,1,12,MERGED
vscode-dvc,More table styling,https://github.com/iterative/vscode-dvc/pull/10,2020-11-17T07:44:05Z,2020-11-30T21:44:12Z,0,19,MERGED
vscode-dvc,Use static package filename in Build GH Action.,https://github.com/iterative/vscode-dvc/pull/9,2020-11-16T20:58:52Z,2020-11-16T21:02:27Z,0,1,MERGED
vscode-dvc,Upload VSIX as an artifact in CI,https://github.com/iterative/vscode-dvc/pull/7,2020-11-14T00:15:06Z,2020-11-14T00:32:08Z,2,3,MERGED
vscode-dvc,move scm view into own file,https://github.com/iterative/vscode-dvc/pull/223,2021-03-31T23:25:19Z,2021-04-01T00:34:15Z,1,4,MERGED
vscode-dvc,Update integration tests with new await pattern,https://github.com/iterative/vscode-dvc/pull/219,2021-03-30T22:39:26Z,2021-03-31T01:26:52Z,1,7,MERGED
vscode-dvc,Use `workspaceUri` in `ResourceLocator`,https://github.com/iterative/vscode-dvc/pull/218,2021-03-30T19:56:22Z,2021-04-08T00:29:02Z,0,4,MERGED
vscode-dvc,Spike SCM view,https://github.com/iterative/vscode-dvc/pull/217,2021-03-29T23:42:21Z,2021-04-01T18:27:10Z,3,25,MERGED
vscode-dvc,Cut scope of integration test,https://github.com/iterative/vscode-dvc/pull/216,2021-03-29T22:05:05Z,2021-03-29T22:21:05Z,2,2,MERGED
vscode-dvc,Update yarn lock,https://github.com/iterative/vscode-dvc/pull/215,2021-03-29T00:58:00Z,2021-03-29T01:08:57Z,0,1,MERGED
vscode-dvc,Remove inputBox placeholder,https://github.com/iterative/vscode-dvc/pull/214,2021-03-26T18:38:58Z,2021-03-29T14:33:22Z,2,2,MERGED
vscode-dvc,Manage columns dropdown improvements,https://github.com/iterative/vscode-dvc/pull/213,2021-03-26T15:53:50Z,2021-03-30T21:18:10Z,20,23,CLOSED
vscode-dvc,Add new lint rules,https://github.com/iterative/vscode-dvc/pull/212,2021-03-26T09:44:13Z,2021-03-26T18:26:25Z,0,2,MERGED
vscode-dvc,Patch list speed with `.dvcignore` entry,https://github.com/iterative/vscode-dvc/pull/211,2021-03-26T05:07:23Z,2021-03-26T18:27:28Z,3,3,MERGED
vscode-dvc,Add new experiment,https://github.com/iterative/vscode-dvc/pull/210,2021-03-26T04:13:33Z,2021-04-01T00:57:42Z,3,6,MERGED
vscode-dvc,Update proposed api declarion file,https://github.com/iterative/vscode-dvc/pull/209,2021-03-26T02:43:35Z,2021-03-26T18:28:22Z,0,1,MERGED
vscode-dvc,Hide unneeded input box,https://github.com/iterative/vscode-dvc/pull/208,2021-03-26T02:32:54Z,2021-03-26T18:25:03Z,1,1,MERGED
vscode-dvc,Spike decoration provider,https://github.com/iterative/vscode-dvc/pull/206,2021-03-25T01:08:38Z,2021-03-25T18:21:54Z,4,16,MERGED
vscode-dvc,Fix dev-ui scripts,https://github.com/iterative/vscode-dvc/pull/204,2021-03-23T23:23:57Z,2021-03-24T01:55:27Z,0,5,MERGED
vscode-dvc,Move commands currently being incorrectly run via the `IntegratedTerminal` to the `reader`,https://github.com/iterative/vscode-dvc/pull/203,2021-03-23T23:08:26Z,2021-03-23T23:29:11Z,1,5,MERGED
vscode-dvc,Use Python Extension's `getExecutionDetails` to provide venv to reader,https://github.com/iterative/vscode-dvc/pull/201,2021-03-23T18:03:51Z,2021-03-30T21:34:59Z,22,46,MERGED
vscode-dvc,Improve integration test reliability,https://github.com/iterative/vscode-dvc/pull/198,2021-03-23T05:08:37Z,2021-03-23T13:52:59Z,0,2,MERGED
vscode-dvc,Allow for dvc roots updates,https://github.com/iterative/vscode-dvc/pull/196,2021-03-23T01:15:39Z,2021-03-23T04:38:46Z,0,3,MERGED
vscode-dvc,Wait for Python Extension's `ready` promise in IntegratedTerminal,https://github.com/iterative/vscode-dvc/pull/195,2021-03-23T00:28:16Z,2021-03-23T19:08:41Z,2,2,MERGED
vscode-dvc,Add EventEmitters to Config Class and Convert Existing Manual Updates,https://github.com/iterative/vscode-dvc/pull/194,2021-03-22T21:47:04Z,2021-03-22T21:56:09Z,0,1,MERGED
vscode-dvc,Fix lint in workflow,https://github.com/iterative/vscode-dvc/pull/192,2021-03-22T19:39:07Z,2021-03-22T19:48:53Z,1,2,CLOSED
vscode-dvc,Locate DVC root(s),https://github.com/iterative/vscode-dvc/pull/191,2021-03-22T08:09:52Z,2021-03-23T04:16:46Z,7,28,MERGED
vscode-dvc,Refactor 2/2 - Group cli files,https://github.com/iterative/vscode-dvc/pull/189,2021-03-22T01:19:33Z,2021-03-22T14:39:07Z,0,2,MERGED
vscode-dvc,Refactor - 1/2  Update DVC Reader,https://github.com/iterative/vscode-dvc/pull/188,2021-03-22T01:09:55Z,2021-03-22T15:06:25Z,0,19,MERGED
vscode-dvc,Add a DecorationProvider,https://github.com/iterative/vscode-dvc/pull/185,2021-03-19T19:28:52Z,2021-03-25T18:21:56Z,1,2,MERGED
vscode-dvc,Find absolute path of DVC cli,https://github.com/iterative/vscode-dvc/pull/184,2021-03-19T06:00:03Z,2021-03-22T14:29:40Z,4,13,MERGED
vscode-dvc,#159 3/3 - Add integration tests for dvc.showExperiments command,https://github.com/iterative/vscode-dvc/pull/183,2021-03-18T22:22:59Z,2021-03-18T23:08:42Z,3,2,MERGED
vscode-dvc,#159 2/3 - Update CI to build webview for vscode tests,https://github.com/iterative/vscode-dvc/pull/182,2021-03-18T22:06:25Z,2021-03-18T22:58:58Z,0,2,MERGED
vscode-dvc,#159 2/2 - Add webview integration tests,https://github.com/iterative/vscode-dvc/pull/179,2021-03-17T23:09:16Z,2021-03-18T22:13:54Z,4,27,CLOSED
vscode-dvc,#159 1/3 - Better separate WebviewManager and dvcReader concerns,https://github.com/iterative/vscode-dvc/pull/178,2021-03-17T22:00:59Z,2021-03-18T22:39:08Z,0,7,MERGED
