repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
pharos,docs: update accessibility sections for components,https://github.com/ithaka/pharos/pull/53,2021-05-28T17:03:28Z,2021-06-02T18:39:34Z,3,12,MERGED
pharos,fix(pharos): render link for error image cards and allow subtle state,https://github.com/ithaka/pharos/pull/51,2021-05-28T13:05:59Z,2021-05-28T15:57:29Z,1,2,MERGED
pharos,fix(pharos)!: fire modal events when opened/closed via props,https://github.com/ithaka/pharos/pull/50,2021-05-27T20:28:51Z,2021-06-09T20:04:11Z,2,5,MERGED
pharos,chore: update dependencies,https://github.com/ithaka/pharos/pull/48,2021-05-27T13:09:36Z,2021-05-27T14:21:23Z,1,2,MERGED
pharos,fix: exclude changesets from lint-staged,https://github.com/ithaka/pharos/pull/44,2021-05-26T17:45:34Z,2021-05-26T17:57:00Z,1,1,MERGED
pharos,feat!: remove ie11 support,https://github.com/ithaka/pharos/pull/42,2021-05-26T14:47:55Z,2021-06-09T19:02:38Z,1,6,MERGED
pharos,feat!: add new color tokens and update alerts,https://github.com/ithaka/pharos/pull/36,2021-05-25T19:49:10Z,2021-06-09T20:58:08Z,7,17,MERGED
pharos,Feature/update and implement best practices component,https://github.com/ithaka/pharos/pull/35,2021-05-25T19:10:52Z,2021-05-26T18:30:31Z,4,8,MERGED
pharos,documentation: update component documentation to use PageSection,https://github.com/ithaka/pharos/pull/34,2021-05-25T18:46:30Z,2021-05-26T14:24:58Z,2,26,MERGED
pharos,fix: update Storybook to generate React API tables,https://github.com/ithaka/pharos/pull/33,2021-05-25T12:51:47Z,2021-05-25T19:42:19Z,1,4,MERGED
pharos,fix(pharos-site): update alert and tooltips sections,https://github.com/ithaka/pharos/pull/32,2021-05-24T15:18:15Z,2021-05-25T19:23:53Z,2,6,MERGED
pharos,feat(pharos): add image card component,https://github.com/ithaka/pharos/pull/31,2021-05-24T13:15:07Z,2021-05-25T12:02:10Z,4,14,MERGED
pharos,documentation: revert text input and textarea storybook examples,https://github.com/ithaka/pharos/pull/30,2021-05-20T15:35:27Z,2021-05-20T17:39:26Z,1,4,MERGED
pharos,fix(pharos): increase max-height of sidenav menu,https://github.com/ithaka/pharos/pull/29,2021-05-20T12:35:02Z,2021-05-20T18:36:05Z,1,3,MERGED
pharos,refactor(site): remove /pharos prefix from Gatsby config,https://github.com/ithaka/pharos/pull/28,2021-05-20T12:24:28Z,2021-06-01T18:19:31Z,2,9,MERGED
pharos,Bugfix/update links for site nav,https://github.com/ithaka/pharos/pull/27,2021-05-19T20:22:40Z,2021-05-20T20:08:32Z,2,6,MERGED
pharos,documentation: update component status table to show shadow only when 'stickied',https://github.com/ithaka/pharos/pull/26,2021-05-19T17:44:46Z,2021-05-19T18:21:00Z,6,4,MERGED
pharos,feat: adds toggle button and toggle button group components,https://github.com/ithaka/pharos/pull/25,2021-05-18T18:06:10Z,2021-05-25T20:24:36Z,22,25,MERGED
pharos,documentation: update component status page,https://github.com/ithaka/pharos/pull/24,2021-05-18T16:57:12Z,2021-05-18T19:29:18Z,3,6,MERGED
pharos,refactor(site): replace low res images on the site,https://github.com/ithaka/pharos/pull/22,2021-05-18T12:56:41Z,2021-05-18T17:30:28Z,1,5,MERGED
pharos,fix: resize modal to fill available space on mobile browsers,https://github.com/ithaka/pharos/pull/21,2021-05-18T12:15:59Z,2021-05-18T13:08:14Z,1,3,MERGED
pharos,refactor: remove component guidelines from Storybook,https://github.com/ithaka/pharos/pull/20,2021-05-17T15:48:55Z,2021-05-17T17:11:20Z,2,5,MERGED
pharos,feat!: update to Lit 2,https://github.com/ithaka/pharos/pull/19,2021-05-15T20:12:31Z,2021-06-10T17:09:06Z,1,23,MERGED
pharos,Documentation: Update storybook examples to align with Voice and Tone,https://github.com/ithaka/pharos/pull/18,2021-05-14T17:59:22Z,2021-05-18T14:37:02Z,1,17,MERGED
pharos,feat(pharos): add layout component,https://github.com/ithaka/pharos/pull/17,2021-05-12T20:36:30Z,2021-05-18T12:15:28Z,4,22,MERGED
pharos,ci: instruct yarn to give cache priority and cache node_modules,https://github.com/ithaka/pharos/pull/16,2021-05-08T11:37:39Z,2021-05-08T15:18:31Z,1,10,MERGED
pharos,chore: version packages,https://github.com/ithaka/pharos/pull/15,2021-05-07T21:44:18Z,2021-05-07T21:50:12Z,1,1,MERGED
