repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
kaoto-ui,Adding EPIC issues management,https://github.com/kaoto-archive/kaoto-ui/pull/131,2021-10-27T14:04:59Z,2021-10-27T14:55:15Z,0,1,MERGED
kaoto-ui,add support for automatic step views & step extensions,https://github.com/kaoto-archive/kaoto-ui/pull/123,2021-10-25T17:38:28Z,2021-10-25T17:41:22Z,0,28,MERGED
kaoto-ui,"Revert ""Bump @testing-library/dom from 8.7.2 to 8.10.1""",https://github.com/kaoto-archive/kaoto-ui/pull/121,2021-10-25T14:28:42Z,2021-10-25T14:28:59Z,0,1,MERGED
kaoto-ui,upgrade to Webpack 5,https://github.com/kaoto-archive/kaoto-ui/pull/52,2021-10-01T15:02:43Z,2021-10-01T15:02:51Z,1,4,MERGED
kaoto-ui,fix #18 - move Catalog; Make Connector Catalog and Code Editor collapsable,https://github.com/kaoto-archive/kaoto-ui/pull/46,2021-09-30T16:27:51Z,2021-09-30T17:11:51Z,1,8,MERGED
kaoto-ui,Provide color syntax for Yaml textual editor #37,https://github.com/kaoto-archive/kaoto-ui/pull/38,2021-09-24T12:54:07Z,2021-09-24T13:49:52Z,1,1,MERGED
kaoto-ui,Adding missing LICENSE explicit file,https://github.com/kaoto-archive/kaoto-ui/pull/24,2021-09-13T07:01:07Z,2021-09-13T10:04:21Z,1,1,MERGED
kaoto-ui,Adding `yarn install`,https://github.com/kaoto-archive/kaoto-ui/pull/1,2021-08-17T10:53:31Z,2021-08-17T11:12:42Z,1,1,MERGED
kaoto-ui,auto-generate fields for step parameters,https://github.com/kaoto-archive/kaoto-ui/pull/170,2021-11-30T09:09:01Z,2021-11-30T09:09:11Z,1,8,MERGED
kaoto-ui,implement step replacement from canvas steps,https://github.com/kaoto-archive/kaoto-ui/pull/161,2021-11-15T20:59:27Z,2021-11-15T21:03:56Z,1,6,MERGED
kaoto-ui,visualization: bring step forward on select,https://github.com/kaoto-archive/kaoto-ui/pull/157,2021-11-12T20:27:04Z,2021-11-12T20:27:49Z,1,4,MERGED
kaoto-ui,add ability to replace existing step from catalog,https://github.com/kaoto-archive/kaoto-ui/pull/149,2021-11-09T13:12:06Z,2021-11-09T13:18:33Z,1,9,MERGED
kaoto-ui,updated unit test setup with jest & RTL,https://github.com/kaoto-archive/kaoto-ui/pull/142,2021-11-02T13:07:21Z,2021-11-02T13:07:31Z,0,21,MERGED
kaoto-ui,fix syntax highlight for code editor,https://github.com/kaoto-archive/kaoto-ui/pull/275,2022-03-31T13:47:07Z,2022-03-31T14:02:01Z,2,1,MERGED
kaoto-ui,add support for multiple DSLs,https://github.com/kaoto-archive/kaoto-ui/pull/273,2022-03-29T15:58:07Z,2022-03-29T17:44:00Z,2,10,MERGED
kaoto-ui,Make possible to set KAOTO_API as a parameter for the docker image,https://github.com/kaoto-archive/kaoto-ui/pull/272,2022-03-29T14:48:56Z,2022-04-01T11:50:00Z,3,1,MERGED
kaoto-ui,Upgrading dependencies,https://github.com/kaoto-archive/kaoto-ui/pull/263,2022-03-21T12:47:02Z,2022-04-01T16:15:01Z,4,11,CLOSED
kaoto-ui,Upgrade packages to latest version,https://github.com/kaoto-archive/kaoto-ui/pull/262,2022-03-21T12:27:12Z,2022-03-21T12:46:05Z,3,1,CLOSED
kaoto-ui,Allow using all hosts for the webpack in production.,https://github.com/kaoto-archive/kaoto-ui/pull/261,2022-03-21T09:05:29Z,2022-03-21T10:40:14Z,1,1,MERGED
kaoto-ui,"fix minor issue with enums & jest, `node_modules`",https://github.com/kaoto-archive/kaoto-ui/pull/260,2022-03-18T15:29:33Z,2022-03-22T09:43:56Z,1,10,MERGED
kaoto-ui,reduce docker image size,https://github.com/kaoto-archive/kaoto-ui/pull/258,2022-03-17T18:06:37Z,2022-03-18T15:22:34Z,2,1,MERGED
kaoto-ui,trigger update manually to fix jolty editor,https://github.com/kaoto-archive/kaoto-ui/pull/255,2022-03-16T09:59:42Z,2022-03-16T12:06:55Z,1,6,MERGED
kaoto-ui,switch to patternfly code editor,https://github.com/kaoto-archive/kaoto-ui/pull/250,2022-03-11T14:37:17Z,2022-03-14T12:15:25Z,1,12,MERGED
kaoto-ui,bug fixing & aesthetic enhancements,https://github.com/kaoto-archive/kaoto-ui/pull/249,2022-03-10T13:02:15Z,2022-03-10T14:17:55Z,1,8,MERGED
kaoto-ui,fix issue with deleting source step & step replacement,https://github.com/kaoto-archive/kaoto-ui/pull/245,2022-03-08T10:04:08Z,2022-03-08T10:06:24Z,1,4,MERGED
