repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
smarthr-ui,Update README,https://github.com/kufu/smarthr-ui/pull/218,2019-07-29T10:15:27Z,2019-07-30T01:55:02Z,2,1,MERGED
smarthr-ui,Trigger integration,https://github.com/kufu/smarthr-ui/pull/217,2019-07-29T09:50:19Z,2019-08-14T01:42:42Z,2,16,CLOSED
smarthr-ui,[wip] add Header,https://github.com/kufu/smarthr-ui/pull/216,2019-07-29T09:10:07Z,2019-08-09T07:24:31Z,11,19,CLOSED
smarthr-ui,Skip reg-suit from CI task when aws credential is not exist,https://github.com/kufu/smarthr-ui/pull/212,2019-07-23T08:58:21Z,2019-07-23T09:22:48Z,1,3,MERGED
smarthr-ui,Add button icon option,https://github.com/kufu/smarthr-ui/pull/211,2019-07-22T05:20:56Z,2019-08-14T01:44:36Z,2,4,CLOSED
smarthr-ui,chore(release): 3.9.1,https://github.com/kufu/smarthr-ui/pull/210,2019-07-22T05:07:13Z,2019-07-22T05:18:03Z,1,1,MERGED
smarthr-ui,test PR,https://github.com/kufu/smarthr-ui/pull/209,2019-07-22T02:30:09Z,2019-07-23T07:55:08Z,1,1,CLOSED
smarthr-ui,Modify style that do not shrink the Checkbox,https://github.com/kufu/smarthr-ui/pull/202,2019-07-19T09:34:02Z,2019-07-22T03:03:10Z,1,1,MERGED
smarthr-ui,Update Base Component,https://github.com/kufu/smarthr-ui/pull/200,2019-07-18T10:35:33Z,2019-07-25T07:19:28Z,1,3,MERGED
smarthr-ui,fix button styles,https://github.com/kufu/smarthr-ui/pull/199,2019-07-18T09:09:20Z,2019-07-24T09:47:21Z,1,1,MERGED
smarthr-ui,test: add a test for missing exports in src/index.ts,https://github.com/kufu/smarthr-ui/pull/198,2019-07-15T15:57:45Z,2019-08-01T03:55:14Z,2,1,MERGED
smarthr-ui,test: add a test for missing exports in src/index.ts,https://github.com/kufu/smarthr-ui/pull/197,2019-07-15T15:37:07Z,2019-07-15T15:58:14Z,2,1,CLOSED
