repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ldaf-site,Spin up separate Vercel app for Storybook,https://github.com/la-ldaf/ldaf-site/pull/188,2023-05-31T19:12:23Z,2023-05-31T20:57:13Z,4,3,MERGED
ldaf-site,Add Lighthouse reports to Meta-Site,https://github.com/la-ldaf/ldaf-site/pull/170,2023-05-26T19:21:18Z,2023-06-01T21:24:44Z,5,7,MERGED
ldaf-site,Add Storybook to Meta-Site,https://github.com/la-ldaf/ldaf-site/pull/168,2023-05-25T19:50:46Z,2023-05-30T17:35:16Z,3,23,MERGED
ldaf-site,"Add Contentful connection via SDK, update home page",https://github.com/la-ldaf/ldaf-site/pull/165,2023-05-23T19:20:34Z,2023-06-01T16:24:38Z,9,17,MERGED
ldaf-site,Move Meta-Site from GitHub Pages to Vercel,https://github.com/la-ldaf/ldaf-site/pull/161,2023-05-22T22:42:11Z,2023-05-30T17:05:18Z,9,19,MERGED
ldaf-site,Fully typed GraphQL queries,https://github.com/la-ldaf/ldaf-site/pull/152,2023-05-19T02:36:06Z,2023-06-05T20:23:00Z,4,2,MERGED
ldaf-site,ESLint linting for GraphQL queries,https://github.com/la-ldaf/ldaf-site/pull/151,2023-05-18T22:53:04Z,2023-06-01T21:30:16Z,4,1,MERGED
ldaf-site,Generate GraphQL schema,https://github.com/la-ldaf/ldaf-site/pull/150,2023-05-18T21:57:48Z,2023-06-01T21:05:35Z,4,2,MERGED
ldaf-site,Fetch content for Nav from Contentful,https://github.com/la-ldaf/ldaf-site/pull/132,2023-05-12T20:15:54Z,2023-05-31T23:01:54Z,4,29,MERGED
ldaf-site,Add readme to vite-plugin-import-as-bundle-string,https://github.com/la-ldaf/ldaf-site/pull/131,2023-05-11T01:42:38Z,2023-05-11T18:09:00Z,3,1,MERGED
ldaf-site,Add readme to vite-plugin-ldaf-icon,https://github.com/la-ldaf/ldaf-site/pull/130,2023-05-11T01:34:29Z,2023-05-11T19:06:43Z,4,2,MERGED
ldaf-site,Add readme.md to vite-plugin-blurhash,https://github.com/la-ldaf/ldaf-site/pull/129,2023-05-11T01:10:41Z,2023-05-11T18:08:05Z,3,1,MERGED
ldaf-site,Decision Doc: Preview Authentication,https://github.com/la-ldaf/ldaf-site/pull/128,2023-05-11T00:31:44Z,2023-11-10T00:25:23Z,3,1,CLOSED
ldaf-site,Add Card Component,https://github.com/la-ldaf/ldaf-site/pull/127,2023-05-10T23:32:07Z,2023-05-17T17:10:49Z,10,12,MERGED
ldaf-site,Add support for Vercel Speed Insights API,https://github.com/la-ldaf/ldaf-site/pull/110,2023-05-05T00:34:36Z,2023-08-23T22:29:59Z,6,1,MERGED
ldaf-site,Set a reasonable time for dependabot to run.,https://github.com/la-ldaf/ldaf-site/pull/109,2023-05-04T22:25:23Z,2023-05-05T01:40:46Z,3,1,MERGED
ldaf-site,npm: bump storybook from 7.1.0-alpha.6 to 7.1.0-alpha.12,https://github.com/la-ldaf/ldaf-site/pull/107,2023-05-04T22:03:27Z,2023-05-04T22:12:28Z,3,1,MERGED
ldaf-site,npm: bump vitest from 0.30.1 to 0.31.0,https://github.com/la-ldaf/ldaf-site/pull/105,2023-05-04T20:54:19Z,2023-05-18T18:23:15Z,3,1,CLOSED
ldaf-site,Decision Doc: Image Providers,https://github.com/la-ldaf/ldaf-site/pull/104,2023-05-04T20:03:47Z,2023-05-17T21:39:31Z,3,2,MERGED
ldaf-site,LDAF-249 Set up basic Contentful fetch service and example page,https://github.com/la-ldaf/ldaf-site/pull/103,2023-05-04T18:27:09Z,2023-05-17T17:10:31Z,15,18,MERGED
ldaf-site,Add decision doc for USWDS,https://github.com/la-ldaf/ldaf-site/pull/95,2023-05-03T20:39:25Z,2023-05-10T22:25:48Z,13,6,MERGED
ldaf-site,Add bundle visualizer to meta-site,https://github.com/la-ldaf/ldaf-site/pull/86,2023-05-02T01:51:54Z,2023-05-04T01:52:57Z,3,2,MERGED
ldaf-site,Button: fix unstyled button :hover and :active styles,https://github.com/la-ldaf/ldaf-site/pull/79,2023-04-26T21:34:40Z,2023-05-02T21:50:45Z,6,9,MERGED
ldaf-site,Add lazy image loading Storybook example,https://github.com/la-ldaf/ldaf-site/pull/75,2023-04-26T01:19:34Z,2023-04-27T18:05:16Z,8,6,MERGED
ldaf-site,Make Storybook preview import global app styles,https://github.com/la-ldaf/ldaf-site/pull/74,2023-04-25T22:34:35Z,2023-04-25T22:47:25Z,1,1,MERGED
ldaf-site,Add Svelte search component,https://github.com/la-ldaf/ldaf-site/pull/73,2023-04-25T21:40:51Z,2023-04-27T02:09:06Z,2,5,MERGED
ldaf-site,LDAF-253 Add unit test code coverage reporting in CI and set up deploying reports to GitHub Pages,https://github.com/la-ldaf/ldaf-site/pull/68,2023-04-24T23:06:04Z,2023-05-02T22:01:00Z,7,59,MERGED
ldaf-site,Add Button component,https://github.com/la-ldaf/ldaf-site/pull/63,2023-04-22T02:13:28Z,2023-04-26T21:20:53Z,6,24,MERGED
ldaf-site,Allow building the site without manually creating a .env file,https://github.com/la-ldaf/ldaf-site/pull/62,2023-04-22T00:54:50Z,2023-04-24T18:15:28Z,1,1,MERGED
ldaf-site,Banner: remove console.log statement,https://github.com/la-ldaf/ldaf-site/pull/61,2023-04-21T23:53:41Z,2023-04-24T18:15:49Z,1,1,MERGED
ldaf-site,Refactor IntersectionObserver and add Storybook story,https://github.com/la-ldaf/ldaf-site/pull/60,2023-04-21T23:36:26Z,2023-04-25T17:50:34Z,3,6,MERGED
ldaf-site,LDAF-237 Improve end-to-end testing and run the tests in CI,https://github.com/la-ldaf/ldaf-site/pull/59,2023-04-21T20:23:57Z,2023-04-26T22:05:24Z,8,18,MERGED
ldaf-site,Image: support for responsive images,https://github.com/la-ldaf/ldaf-site/pull/57,2023-04-21T09:16:26Z,2023-04-27T21:54:05Z,3,8,MERGED
ldaf-site,Icon: lots of improvements,https://github.com/la-ldaf/ldaf-site/pull/54,2023-04-21T05:55:14Z,2023-04-26T22:06:22Z,8,10,MERGED
ldaf-site,Stop robots from crawling the site until we're ready to launch,https://github.com/la-ldaf/ldaf-site/pull/51,2023-04-20T00:30:35Z,2023-04-20T01:39:00Z,1,1,MERGED
ldaf-site,"Add Site Header Logo/Title Component, overall styles",https://github.com/la-ldaf/ldaf-site/pull/50,2023-04-19T22:00:43Z,2023-05-02T22:35:08Z,14,24,MERGED
ldaf-site,Run dependabot daily and increase max open PRs to 10.,https://github.com/la-ldaf/ldaf-site/pull/41,2023-04-19T20:42:49Z,2023-04-19T21:20:53Z,1,1,MERGED
ldaf-site,LDAF-231 Configure Vercel,https://github.com/la-ldaf/ldaf-site/pull/40,2023-04-18T22:59:31Z,2023-04-19T22:01:02Z,9,7,MERGED
ldaf-site,Bump Storybook dependencies and configure Dependabot to ignore future updates.,https://github.com/la-ldaf/ldaf-site/pull/33,2023-04-18T17:58:08Z,2023-04-18T22:19:25Z,0,2,MERGED
ldaf-site,Update Storybook intro page and component directory,https://github.com/la-ldaf/ldaf-site/pull/32,2023-04-17T23:23:01Z,2023-04-18T16:12:43Z,0,1,MERGED
ldaf-site,Update Storybook to 7.0.5,https://github.com/la-ldaf/ldaf-site/pull/31,2023-04-17T22:42:54Z,2023-04-17T23:24:53Z,0,1,MERGED
ldaf-site,Remove boilerplate from intro-storybook-svelte-template.,https://github.com/la-ldaf/ldaf-site/pull/29,2023-04-17T20:36:18Z,2023-04-17T21:47:12Z,0,1,MERGED
ldaf-site,Dan/ready for review test,https://github.com/la-ldaf/ldaf-site/pull/23,2023-04-14T17:03:25Z,2023-04-14T17:13:30Z,0,3,CLOSED
ldaf-site,Render Contentful rich text content,https://github.com/la-ldaf/ldaf-site/pull/22,2023-04-14T02:19:15Z,2023-05-05T20:14:30Z,10,23,MERGED
ldaf-site,LDAF-207 Set up Figma design file embeds within Storybook stories,https://github.com/la-ldaf/ldaf-site/pull/21,2023-04-13T21:28:13Z,2023-04-14T19:41:57Z,0,1,MERGED
ldaf-site,LDAF-210 Add SvelteKit decision doc,https://github.com/la-ldaf/ldaf-site/pull/20,2023-04-13T17:52:46Z,2023-04-14T19:41:23Z,0,1,MERGED
ldaf-site,Lazy Image component,https://github.com/la-ldaf/ldaf-site/pull/18,2023-04-13T02:44:37Z,2023-04-20T01:38:33Z,16,28,MERGED
ldaf-site,LDAF-155: Add GitHub Action workflow for pull requests,https://github.com/la-ldaf/ldaf-site/pull/17,2023-04-12T22:49:30Z,2023-04-14T18:25:39Z,3,3,MERGED
ldaf-site,Review suggestions for #2,https://github.com/la-ldaf/ldaf-site/pull/16,2023-04-12T22:42:53Z,2023-04-13T20:06:54Z,3,5,MERGED
ldaf-site,npm: bump @storybook/* to 7.0.4,https://github.com/la-ldaf/ldaf-site/pull/15,2023-04-12T17:22:21Z,2023-04-13T00:30:23Z,0,2,MERGED
ldaf-site,LDAF-216: Refactor USWDS dependency to single global import,https://github.com/la-ldaf/ldaf-site/pull/9,2023-04-11T19:09:58Z,2023-04-17T21:46:58Z,7,6,MERGED
ldaf-site,Set up automatic Dependabot version updates.,https://github.com/la-ldaf/ldaf-site/pull/8,2023-04-10T22:17:13Z,2023-04-12T16:40:23Z,1,3,MERGED
ldaf-site,Add engineering process doc,https://github.com/la-ldaf/ldaf-site/pull/6,2023-04-10T21:22:07Z,2023-04-14T00:56:08Z,1,2,MERGED
ldaf-site,LDAF-199 Implement primary navigation on site,https://github.com/la-ldaf/ldaf-site/pull/4,2023-04-10T19:17:25Z,2023-04-14T21:26:08Z,6,21,MERGED
ldaf-site,LDAF-177 Add Nav component,https://github.com/la-ldaf/ldaf-site/pull/2,2023-04-10T19:06:43Z,2023-04-14T19:37:47Z,11,17,MERGED
ldaf-site,Hard code some content on the licensing and permits page for user testing.,https://github.com/la-ldaf/ldaf-site/pull/342,2023-07-31T20:39:24Z,2023-07-31T21:17:58Z,3,1,MERGED
ldaf-site,Core Content Pages: Render CTAs and contact cards within Service Entries,https://github.com/la-ldaf/ldaf-site/pull/340,2023-07-28T23:07:52Z,2023-08-03T20:01:09Z,2,34,CLOSED
ldaf-site,LDAF-348 Create VideoCard component.,https://github.com/la-ldaf/ldaf-site/pull/339,2023-07-26T23:50:23Z,2023-07-31T23:05:26Z,10,15,MERGED
ldaf-site,Update secondary nav links and stub out 'Licensing and permits' page.,https://github.com/la-ldaf/ldaf-site/pull/338,2023-07-26T21:24:01Z,2023-07-26T21:29:57Z,3,1,MERGED
ldaf-site,LDAF-341 Create Top Tier pages,https://github.com/la-ldaf/ldaf-site/pull/334,2023-07-25T17:32:51Z,2023-07-26T23:26:27Z,9,9,MERGED
ldaf-site,Suppress @rollup/plugin-typescript warnings on +page.server.ts files.,https://github.com/la-ldaf/ldaf-site/pull/330,2023-07-24T23:34:41Z,2023-07-27T19:11:38Z,6,1,MERGED
ldaf-site,Create Service Group Page,https://github.com/la-ldaf/ldaf-site/pull/317,2023-07-18T19:06:40Z,2023-07-26T01:42:29Z,23,35,MERGED
ldaf-site,LDAF-350 Populate side navs using page metadata. ,https://github.com/la-ldaf/ldaf-site/pull/305,2023-07-13T23:55:50Z,2023-07-24T21:53:07Z,6,5,MERGED
ldaf-site,LDAF-350 Populate main menu using page metadata.,https://github.com/la-ldaf/ldaf-site/pull/304,2023-07-13T19:14:32Z,2023-07-24T20:45:42Z,5,2,MERGED
ldaf-site,Update @typescript-eslint/eslint-plugin and @typescript-eslint/parser to 6.0.0,https://github.com/la-ldaf/ldaf-site/pull/294,2023-07-12T15:15:54Z,2023-07-13T19:19:34Z,3,1,MERGED
ldaf-site,LDAF-350 Create and populate breadcrumbs on all pages using a shared layout.,https://github.com/la-ldaf/ldaf-site/pull/293,2023-07-11T21:00:18Z,2023-07-24T19:15:57Z,5,6,MERGED
ldaf-site,Quick fix to reflect change to Office Page model in Contentful.,https://github.com/la-ldaf/ldaf-site/pull/285,2023-07-05T23:07:00Z,2023-07-06T00:27:07Z,4,2,MERGED
ldaf-site,Render Contentful assets,https://github.com/la-ldaf/ldaf-site/pull/279,2023-07-04T04:57:11Z,2023-08-02T19:47:27Z,17,35,MERGED
ldaf-site,Basic header image optimization,https://github.com/la-ldaf/ldaf-site/pull/278,2023-07-04T02:00:53Z,2023-07-21T00:59:37Z,5,11,MERGED
ldaf-site,LDAF-350 Set up foundation for future navigation and routing.,https://github.com/la-ldaf/ldaf-site/pull/273,2023-06-30T17:42:35Z,2023-07-24T15:36:43Z,8,16,MERGED
ldaf-site,Banner components,https://github.com/la-ldaf/ldaf-site/pull/266,2023-06-27T17:28:32Z,2023-07-12T18:29:27Z,8,10,MERGED
ldaf-site,Alert Component,https://github.com/la-ldaf/ldaf-site/pull/260,2023-06-26T17:59:15Z,2023-06-29T16:06:03Z,3,7,MERGED
ldaf-site,Fix type errors in Dan's Algolia PR,https://github.com/la-ldaf/ldaf-site/pull/245,2023-06-21T01:45:16Z,2023-06-27T23:02:40Z,3,5,MERGED
ldaf-site,Remove Chromatic in favor of publishing Storybook to Vercel.,https://github.com/la-ldaf/ldaf-site/pull/233,2023-06-14T17:36:18Z,2023-06-15T17:48:05Z,4,2,MERGED
ldaf-site,Run prebuild before dev,https://github.com/la-ldaf/ldaf-site/pull/219,2023-06-08T00:42:55Z,2023-06-08T19:21:46Z,3,1,MERGED
ldaf-site,Attempt to upload artifacts even if the artifact creation step exited with an error,https://github.com/la-ldaf/ldaf-site/pull/218,2023-06-07T23:22:04Z,2023-06-08T22:34:28Z,3,3,MERGED
ldaf-site,Add search page,https://github.com/la-ldaf/ldaf-site/pull/212,2023-06-06T16:00:30Z,2023-07-26T02:37:21Z,22,36,MERGED
