repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
wme,[FRAME-13] Column links,https://github.com/liquidweb/wme/pull/10,2022-03-31T18:37:54Z,2022-03-31T20:04:04Z,1,3,MERGED
wme,Button Group,https://github.com/liquidweb/wme/pull/9,2022-03-30T22:20:19Z,2022-03-31T15:48:47Z,1,3,MERGED
wme,[FRAME-10]: add spacing as documentation page,https://github.com/liquidweb/wme/pull/8,2022-03-29T16:54:39Z,2022-03-29T18:52:47Z,4,4,MERGED
wme,Buttons + Color Palette Updates,https://github.com/liquidweb/wme/pull/7,2022-03-29T14:50:29Z,2022-03-29T17:02:59Z,1,5,MERGED
wme,[FRAME-7] Setup Card Tasks,https://github.com/liquidweb/wme/pull/6,2022-03-29T04:16:35Z,2022-03-29T16:42:22Z,0,10,MERGED
wme,Feature: add eslint,https://github.com/liquidweb/wme/pull/5,2022-03-28T11:43:09Z,2022-03-28T15:11:36Z,0,10,MERGED
wme,Feature: fix theming,https://github.com/liquidweb/wme/pull/4,2022-03-24T18:07:13Z,2022-03-24T19:03:26Z,0,2,MERGED
wme,[FRAME-7] Setup Card Components and Theme Fix,https://github.com/liquidweb/wme/pull/3,2022-03-24T17:18:27Z,2022-03-24T20:29:19Z,0,6,MERGED
wme,Theming Storybook by changing the logo and link,https://github.com/liquidweb/wme/pull/2,2022-03-23T13:13:43Z,2022-03-23T13:13:49Z,0,1,MERGED
wme,[WME-224] Various Fixes for Setup Cards,https://github.com/liquidweb/wme/pull/46,2022-05-31T21:04:32Z,2022-05-31T21:12:55Z,0,7,MERGED
wme,Footer Fixes + additional class,https://github.com/liquidweb/wme/pull/45,2022-05-27T21:04:24Z,2022-05-27T21:19:41Z,0,1,MERGED
wme,Add classNames to Styled Components,https://github.com/liquidweb/wme/pull/44,2022-05-26T22:48:06Z,2022-05-27T14:53:38Z,1,3,MERGED
wme,"Bug Fixes, Footer Positioning",https://github.com/liquidweb/wme/pull/43,2022-05-24T22:29:07Z,2022-05-25T14:46:43Z,0,2,MERGED
wme,version bump to 0.1.12,https://github.com/liquidweb/wme/pull/42,2022-05-24T15:30:26Z,2022-05-24T15:31:45Z,0,1,MERGED
wme,Wizard Fixes,https://github.com/liquidweb/wme/pull/41,2022-05-23T20:49:41Z,2022-05-24T15:21:38Z,1,3,MERGED
