repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,Release v0.4.4,https://github.com/livechat/design-system/pull/104,2019-07-31T09:18:02Z,2019-08-05T07:21:47Z,0,3,MERGED
design-system,"Revert ""fixed btn line height""",https://github.com/livechat/design-system/pull/103,2019-07-29T07:19:08Z,2019-07-29T08:00:08Z,0,1,MERGED
design-system,added missing interfaces for form,https://github.com/livechat/design-system/pull/102,2019-07-26T10:54:37Z,2019-08-05T07:10:52Z,5,6,MERGED
design-system,Introducing Guide Tooltips,https://github.com/livechat/design-system/pull/101,2019-07-23T13:05:39Z,2019-07-26T14:56:40Z,15,15,MERGED
design-system,Tooltip themes,https://github.com/livechat/design-system/pull/100,2019-07-18T09:16:03Z,2019-07-19T08:47:06Z,9,6,MERGED
design-system,typography,https://github.com/livechat/design-system/pull/99,2019-07-18T08:23:58Z,2019-12-13T08:17:22Z,0,1,CLOSED
design-system,fixed btn line height,https://github.com/livechat/design-system/pull/98,2019-07-16T14:01:58Z,2019-07-22T07:57:35Z,6,9,MERGED
design-system,allow to pass node as error for inputs,https://github.com/livechat/design-system/pull/97,2019-07-16T11:13:29Z,2021-09-24T11:38:39Z,0,1,CLOSED
design-system,fix radio button on ie11,https://github.com/livechat/design-system/pull/96,2019-07-16T10:31:50Z,2019-07-22T07:58:28Z,2,2,MERGED
design-system,Release v0.4.3,https://github.com/livechat/design-system/pull/95,2019-07-15T14:03:15Z,2019-07-15T14:04:54Z,0,1,MERGED
design-system,fix switch interface,https://github.com/livechat/design-system/pull/94,2019-07-15T13:40:49Z,2019-07-15T13:56:43Z,0,2,MERGED
design-system,Added no wrap to toast action,https://github.com/livechat/design-system/pull/93,2019-07-12T06:54:28Z,2019-07-15T13:57:20Z,0,1,MERGED
design-system,Tooltip highlight PoC,https://github.com/livechat/design-system/pull/92,2019-07-09T14:22:05Z,2019-08-19T07:53:06Z,1,1,CLOSED
design-system,Release 0.4.2,https://github.com/livechat/design-system/pull/91,2019-06-19T09:43:48Z,2019-06-19T09:50:58Z,0,1,MERGED
design-system,Extending DropdownList component,https://github.com/livechat/design-system/pull/90,2019-06-19T08:59:33Z,2019-06-19T09:33:51Z,0,7,MERGED
