repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,feat(grid): use css classes instead of attributes,https://github.com/lumapps/design-system/pull/117,2019-07-30T14:42:10Z,2019-08-13T13:32:00Z,2,2,MERGED
design-system,feat(icon): add color variant parameter,https://github.com/lumapps/design-system/pull/116,2019-07-25T15:18:49Z,2019-08-22T07:57:11Z,1,2,MERGED
design-system,feat(editable-media): add component,https://github.com/lumapps/design-system/pull/115,2019-07-24T12:57:38Z,2019-08-21T06:18:21Z,0,1,MERGED
design-system,Version/7.1,https://github.com/lumapps/design-system/pull/114,2019-07-23T14:05:08Z,2019-07-23T14:47:35Z,0,2,MERGED
design-system,feat(grid): add angularjs component,https://github.com/lumapps/design-system/pull/113,2019-07-23T07:11:33Z,2019-07-24T09:34:25Z,1,1,MERGED
design-system,fix(config): fix failing imports due to multiple package.json files,https://github.com/lumapps/design-system/pull/112,2019-07-22T14:47:33Z,2019-07-23T07:05:51Z,0,1,MERGED
design-system,feat(slider): react component,https://github.com/lumapps/design-system/pull/111,2019-07-18T13:57:26Z,2019-09-23T14:24:54Z,25,9,MERGED
design-system,feat(demo): new demo layout,https://github.com/lumapps/design-system/pull/110,2019-07-18T13:24:48Z,2019-08-22T07:25:27Z,1,29,MERGED
design-system,feat(comment-block): pr review,https://github.com/lumapps/design-system/pull/109,2019-07-18T08:07:31Z,2019-07-19T08:50:47Z,2,2,MERGED
design-system,Update generators to v0.0.3 (and publish to npm),https://github.com/lumapps/design-system/pull/108,2019-07-18T07:14:48Z,2019-07-23T08:35:30Z,0,2,MERGED
design-system,feat(radio-button): react component,https://github.com/lumapps/design-system/pull/107,2019-07-17T14:54:44Z,2019-07-23T13:36:41Z,9,7,MERGED
design-system,fix(expansion-panel): fix default theme,https://github.com/lumapps/design-system/pull/106,2019-07-17T14:08:59Z,2019-07-23T13:34:19Z,1,1,MERGED
design-system,Created Grid component,https://github.com/lumapps/design-system/pull/105,2019-07-17T11:37:43Z,2019-07-17T14:18:13Z,7,3,MERGED
design-system,chore(release): release new patch version for @lumx/react,https://github.com/lumapps/design-system/pull/104,2019-07-10T10:11:47Z,2019-07-10T10:14:13Z,1,1,MERGED
design-system,Feat/react textfield,https://github.com/lumapps/design-system/pull/103,2019-07-10T09:22:35Z,2019-07-15T08:38:10Z,2,2,MERGED
design-system,fix(test): limit memory,https://github.com/lumapps/design-system/pull/102,2019-07-09T09:19:26Z,2019-07-09T12:48:51Z,0,1,CLOSED
design-system,fix(config): remove cd when unnecessary,https://github.com/lumapps/design-system/pull/101,2019-07-09T08:35:50Z,2019-07-09T12:08:55Z,0,1,MERGED
design-system,Feat/block comment react,https://github.com/lumapps/design-system/pull/100,2019-07-09T07:53:46Z,2019-07-10T08:16:59Z,7,12,MERGED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/99,2019-07-09T07:26:39Z,2019-07-09T07:26:41Z,0,1,MERGED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/98,2019-07-09T07:26:36Z,2019-07-09T07:26:37Z,0,1,CLOSED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/97,2019-07-09T07:26:33Z,2019-07-09T07:26:34Z,0,1,CLOSED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/96,2019-07-09T07:22:45Z,2019-07-09T07:24:38Z,0,1,MERGED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/95,2019-07-09T07:22:42Z,2019-07-09T07:22:44Z,0,1,CLOSED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/94,2019-07-09T07:22:39Z,2019-07-09T07:22:40Z,0,1,CLOSED
design-system,Adding CODEOWNERS file,https://github.com/lumapps/design-system/pull/93,2019-07-09T07:22:37Z,2019-07-09T07:22:38Z,0,1,CLOSED
