repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
marzneshin,chore(project): code of conduct,https://github.com/marzneshin/marzneshin/pull/180,2024-03-26T09:32:18Z,2024-03-26T11:06:17Z,1,1,CLOSED
marzneshin,"feat(dashbaord): hosts page, services page",https://github.com/marzneshin/marzneshin/pull/179,2024-03-26T01:34:41Z,2024-03-31T09:47:24Z,1,42,MERGED
marzneshin,improve(nodes-config): style json output of the editor,https://github.com/marzneshin/marzneshin/pull/175,2024-03-24T19:30:17Z,2024-03-24T19:33:00Z,1,1,MERGED
marzneshin,fix: minor UI dialog bug ,https://github.com/marzneshin/marzneshin/pull/174,2024-03-24T19:07:27Z,2024-03-24T19:08:53Z,1,4,MERGED
marzneshin,feat(nodes): nodes page,https://github.com/marzneshin/marzneshin/pull/169,2024-03-21T20:13:09Z,2024-03-24T13:37:18Z,1,29,MERGED
marzneshin,improve(login-form): refine username and password fields,https://github.com/marzneshin/marzneshin/pull/168,2024-03-21T18:13:46Z,2024-03-21T18:15:49Z,2,1,MERGED
marzneshin,"feat(dashboard): dashboard layout with responsive and collapsible sidebar, header, theme toggle",https://github.com/marzneshin/marzneshin/pull/167,2024-03-21T14:02:50Z,2024-03-21T14:26:12Z,1,14,MERGED
marzneshin,chore(lint): format using black,https://github.com/marzneshin/marzneshin/pull/166,2024-03-21T07:55:01Z,2024-03-21T14:38:47Z,2,1,MERGED
marzneshin,feat(login-page): login form for authentication - new ui rewrite,https://github.com/marzneshin/marzneshin/pull/165,2024-03-19T09:46:20Z,2024-03-19T15:16:26Z,1,11,MERGED
marzneshin,ci: adapt new ui rewrite,https://github.com/marzneshin/marzneshin/pull/164,2024-03-19T01:10:02Z,2024-03-19T01:15:58Z,0,3,MERGED
marzneshin,feat(ui-rewrite): internationalization,https://github.com/marzneshin/marzneshin/pull/163,2024-03-19T00:05:09Z,2024-03-19T00:05:32Z,0,1,MERGED
marzneshin,chore: git ignore update,https://github.com/marzneshin/marzneshin/pull/162,2024-03-18T23:39:37Z,2024-03-18T23:39:58Z,0,1,MERGED
marzneshin,feat: dashboard rewrite setup and theme switch,https://github.com/marzneshin/marzneshin/pull/160,2024-03-18T23:33:57Z,2024-03-18T23:36:55Z,0,3,MERGED
marzneshin,feat: api pagination,https://github.com/marzneshin/marzneshin/pull/144,2024-03-17T00:58:07Z,2024-03-18T21:56:20Z,0,8,MERGED
marzneshin,feat: Painless deployment,https://github.com/marzneshin/marzneshin/pull/143,2024-03-15T05:06:45Z,2024-03-15T05:55:44Z,0,5,MERGED
marzneshin,feat: Marznode Logs and configuration,https://github.com/marzneshin/marzneshin/pull/139,2024-03-11T23:09:18Z,2024-03-11T23:11:36Z,0,13,MERGED
marzneshin,fix: refetch certifcate when nothing is loaded,https://github.com/marzneshin/marzneshin/pull/132,2024-03-07T10:37:00Z,2024-03-07T10:45:12Z,0,1,MERGED
marzneshin,"improv(hosts-page): correct refetching, callout, pre-selecting at page startup ",https://github.com/marzneshin/marzneshin/pull/130,2024-03-06T19:09:48Z,2024-03-11T09:25:50Z,0,12,MERGED
marzneshin,fix: hosts dialog crash,https://github.com/marzneshin/marzneshin/pull/129,2024-03-06T16:57:43Z,2024-03-06T17:12:04Z,0,4,MERGED
marzneshin,fix(hosts-table): assigned value never used,https://github.com/marzneshin/marzneshin/pull/125,2024-03-06T12:31:59Z,2024-03-06T12:33:41Z,0,1,MERGED
marzneshin,chore(readme): dashboard and package badge,https://github.com/marzneshin/marzneshin/pull/124,2024-03-06T12:28:16Z,2024-03-06T12:28:22Z,0,1,MERGED
