repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
open-archiefbeheer,Docker image ,https://github.com/maykinmedia/open-archiefbeheer/pull/57,2024-05-31T14:58:23Z,2024-06-03T13:27:36Z,0,2,MERGED
open-archiefbeheer,[#45] Improvements backend,https://github.com/maykinmedia/open-archiefbeheer/pull/55,2024-05-29T13:08:23Z,2024-05-30T08:50:34Z,0,5,MERGED
open-archiefbeheer,[#45] Destruction list detail view,https://github.com/maykinmedia/open-archiefbeheer/pull/54,2024-05-23T15:29:51Z,2024-06-07T14:11:08Z,8,19,MERGED
open-archiefbeheer,[#51] Track list status change,https://github.com/maykinmedia/open-archiefbeheer/pull/53,2024-05-23T09:27:21Z,2024-05-23T12:16:29Z,0,2,MERGED
open-archiefbeheer,[#51] Return 'created' field for the destruction list,https://github.com/maykinmedia/open-archiefbeheer/pull/52,2024-05-23T08:49:05Z,2024-05-23T12:08:51Z,0,1,MERGED
open-archiefbeheer,[#49] Add user information to destruction list endpoint,https://github.com/maykinmedia/open-archiefbeheer/pull/50,2024-05-23T08:34:43Z,2024-05-23T12:05:11Z,0,1,MERGED
open-archiefbeheer,[#45] Update list endpoint,https://github.com/maykinmedia/open-archiefbeheer/pull/48,2024-05-22T09:55:27Z,2024-05-23T15:34:59Z,0,2,MERGED
open-archiefbeheer,Endpoints destruction list items,https://github.com/maykinmedia/open-archiefbeheer/pull/47,2024-05-21T14:56:58Z,2024-05-23T08:25:54Z,0,6,MERGED
open-archiefbeheer,:sparkles: Add admin for destruction lists,https://github.com/maykinmedia/open-archiefbeheer/pull/46,2024-05-21T09:36:07Z,2024-05-21T09:38:50Z,0,1,MERGED
open-archiefbeheer,:sparkles: Show a modal when creating a destructin list allowing the …,https://github.com/maykinmedia/open-archiefbeheer/pull/44,2024-05-17T16:03:23Z,2024-05-22T11:20:23Z,3,2,MERGED
open-archiefbeheer,[#41] Retrieve zaken with geometry,https://github.com/maykinmedia/open-archiefbeheer/pull/43,2024-05-17T14:09:06Z,2024-05-17T14:41:12Z,0,3,MERGED
open-archiefbeheer,:sparkles: Allow submitting selection to the create destruction list endpoint,https://github.com/maykinmedia/open-archiefbeheer/pull/42,2024-05-17T13:59:50Z,2024-05-17T15:21:10Z,0,2,MERGED
open-archiefbeheer,:bug: Missing headers for second page,https://github.com/maykinmedia/open-archiefbeheer/pull/40,2024-05-17T12:57:15Z,2024-05-17T13:58:53Z,0,1,MERGED
open-archiefbeheer,:sparkles: Add multi page selection to destruction list create page,https://github.com/maykinmedia/open-archiefbeheer/pull/39,2024-05-17T12:23:33Z,2024-05-17T12:50:41Z,0,1,MERGED
open-archiefbeheer,:sparkles: - landing page implementation,https://github.com/maykinmedia/open-archiefbeheer/pull/38,2024-05-17T10:53:22Z,2024-06-03T10:35:41Z,17,6,MERGED
open-archiefbeheer,[#34] Archiefnominatie can be nullable,https://github.com/maykinmedia/open-archiefbeheer/pull/37,2024-05-17T10:35:23Z,2024-05-17T12:26:33Z,0,2,MERGED
open-archiefbeheer,:sparkles: Support selecting zaaktype from list in filter in destruct…,https://github.com/maykinmedia/open-archiefbeheer/pull/36,2024-05-17T10:07:41Z,2024-05-17T11:48:35Z,1,1,MERGED
