repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
marble,Ghost button v0,https://github.com/metmuseum/marble/pull/9,2020-03-30T23:26:59Z,2020-03-31T14:51:54Z,1,2,MERGED
marble,add ghost-buttons,https://github.com/metmuseum/marble/pull/8,2020-03-30T20:24:46Z,2020-03-31T14:52:08Z,0,1,MERGED
marble,Added Shadows to Marble,https://github.com/metmuseum/marble/pull/7,2020-03-30T17:17:29Z,2020-03-30T23:23:55Z,1,2,MERGED
marble,Sass fix,https://github.com/metmuseum/marble/pull/6,2020-03-19T01:03:54Z,2020-03-19T13:08:15Z,1,2,MERGED
marble,"Add small ""info-label"" text size",https://github.com/metmuseum/marble/pull/5,2020-03-11T21:13:54Z,2020-03-11T22:48:31Z,1,1,MERGED
marble,Fix Broken Selection Highlighting,https://github.com/metmuseum/marble/pull/4,2020-03-05T21:52:32Z,2020-03-06T19:14:27Z,0,1,MERGED
marble,Rename this mixin,https://github.com/metmuseum/marble/pull/3,2020-03-02T21:21:23Z,2020-03-02T21:32:55Z,0,1,MERGED
marble,Storybook,https://github.com/metmuseum/marble/pull/2,2020-02-06T00:34:36Z,2020-02-06T20:27:29Z,0,2,MERGED
marble,Include JS ,https://github.com/metmuseum/marble/pull/1,2020-02-04T19:05:26Z,2020-02-04T19:15:16Z,0,2,MERGED
marble,include featured component fixes in ghidorah,https://github.com/metmuseum/marble/pull/31,2020-05-27T20:39:15Z,2020-05-27T20:39:22Z,0,7,MERGED
marble,Design feedback 5 27,https://github.com/metmuseum/marble/pull/30,2020-05-27T19:40:26Z,2020-05-27T20:38:16Z,0,5,MERGED
marble,Fixed alignment issues with other components,https://github.com/metmuseum/marble/pull/29,2020-05-19T18:37:49Z,2020-05-20T14:39:37Z,0,3,MERGED
marble,Notifcation banner padding fix,https://github.com/metmuseum/marble/pull/28,2020-05-13T19:28:11Z,2020-05-13T21:09:13Z,0,3,MERGED
marble,Section header,https://github.com/metmuseum/marble/pull/27,2020-05-08T22:11:55Z,2020-05-13T21:01:19Z,1,9,MERGED
marble,Featured knobs,https://github.com/metmuseum/marble/pull/26,2020-05-05T21:48:59Z,2020-05-13T14:23:37Z,0,5,MERGED
marble,Featured card,https://github.com/metmuseum/marble/pull/25,2020-05-01T17:16:39Z,2020-05-04T19:51:47Z,0,4,MERGED
