repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
examples,Adds a usage example with Storybook,https://github.com/mswjs/examples/pull/5,2020-05-29T11:51:55Z,2020-06-03T10:34:48Z,0,7,MERGED
examples,Adds msw to dependencies,https://github.com/mswjs/examples/pull/3,2020-05-21T06:00:09Z,2020-05-21T07:11:00Z,1,1,MERGED
examples,Adds GraphQL example with React,https://github.com/mswjs/examples/pull/1,2020-05-19T14:40:05Z,2020-05-20T08:12:46Z,2,7,MERGED
examples,chore: install always last version of MSW,https://github.com/mswjs/examples/pull/25,2020-07-31T11:48:33Z,2020-08-01T16:36:26Z,1,8,MERGED
examples,"Updates ""msw"" to version 0.20.0",https://github.com/mswjs/examples/pull/23,2020-07-30T13:21:27Z,2020-07-30T13:25:03Z,0,1,MERGED
examples,"Adds ""Example structure"" section to the root README",https://github.com/mswjs/examples/pull/22,2020-07-17T10:30:18Z,2020-07-17T11:53:46Z,0,1,MERGED
examples,add redux-saga example,https://github.com/mswjs/examples/pull/21,2020-07-09T09:25:29Z,2020-07-10T11:09:47Z,2,2,MERGED
examples,"Updates the worker file during ""use-packed-msw"" command",https://github.com/mswjs/examples/pull/20,2020-07-04T09:27:38Z,2020-07-04T09:29:40Z,0,1,MERGED
examples,"Updates to ""msw@0.19.5""",https://github.com/mswjs/examples/pull/19,2020-07-01T10:27:34Z,2020-07-02T07:30:57Z,3,2,MERGED
examples,"Adds a shell script to use locally packed ""msw"" package",https://github.com/mswjs/examples/pull/18,2020-06-30T08:18:47Z,2020-06-30T08:21:20Z,0,1,MERGED
examples,add graphql-react-apollo query example,https://github.com/mswjs/examples/pull/17,2020-06-24T20:24:47Z,2020-07-17T11:57:12Z,3,1,CLOSED
examples,REST (React): separate setupWorker/setupServer calls from handlers,https://github.com/mswjs/examples/pull/16,2020-06-24T18:43:54Z,2020-06-25T07:27:36Z,1,2,MERGED
examples,"GraphQL (Apollo): Improves the example, fixes initial request interception",https://github.com/mswjs/examples/pull/15,2020-06-22T15:05:26Z,2020-06-22T15:18:28Z,0,2,MERGED
examples,Mention service worker file in the readme — REST example,https://github.com/mswjs/examples/pull/13,2020-06-20T16:53:34Z,2020-06-20T17:02:33Z,0,1,MERGED
examples,Mention service worker file in the readme,https://github.com/mswjs/examples/pull/12,2020-06-20T16:32:21Z,2020-06-20T16:45:00Z,3,2,MERGED
examples,Updates examples to reflect bootstrap changes since 0.19.0,https://github.com/mswjs/examples/pull/9,2020-06-06T18:16:54Z,2020-06-06T18:52:11Z,0,1,MERGED
examples,Adds usage example with NextJS,https://github.com/mswjs/examples/pull/8,2020-06-03T11:50:47Z,2020-06-04T19:01:32Z,3,3,CLOSED
