repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
msw-storybook-addon,use mocks to test stories,https://github.com/mswjs/msw-storybook-addon/pull/6,2020-12-27T11:18:13Z,2020-12-27T11:23:13Z,0,2,MERGED
msw-storybook-addon,debug commit,https://github.com/mswjs/msw-storybook-addon/pull/5,2020-12-27T06:21:24Z,2020-12-27T06:23:54Z,0,1,CLOSED
msw-storybook-addon,switch to CSS grid bcoz chromatic doesn't support flex gap,https://github.com/mswjs/msw-storybook-addon/pull/4,2020-12-27T05:58:05Z,2020-12-27T06:17:40Z,0,1,MERGED
msw-storybook-addon,add chromatic gha,https://github.com/mswjs/msw-storybook-addon/pull/3,2020-12-26T13:28:30Z,2020-12-27T05:26:29Z,0,1,MERGED
msw-storybook-addon,use correct addon version,https://github.com/mswjs/msw-storybook-addon/pull/2,2020-12-25T18:21:21Z,2020-12-25T18:23:27Z,0,1,MERGED
msw-storybook-addon,moved addon to workspace,https://github.com/mswjs/msw-storybook-addon/pull/1,2020-12-25T10:22:06Z,2020-12-25T10:30:15Z,0,1,MERGED
msw-storybook-addon,debug commit,https://github.com/mswjs/msw-storybook-addon/pull/24,2021-03-27T11:51:36Z,2021-06-14T09:23:16Z,2,2,CLOSED
msw-storybook-addon,Update Storybook addon metadata,https://github.com/mswjs/msw-storybook-addon/pull/23,2021-03-22T23:06:17Z,2021-09-05T23:10:08Z,9,3,MERGED
msw-storybook-addon,return worker from initializeWorker,https://github.com/mswjs/msw-storybook-addon/pull/21,2021-03-17T23:49:19Z,2021-08-03T21:31:59Z,8,1,CLOSED
msw-storybook-addon,add storybook catalog metadata & release worker.start options feature,https://github.com/mswjs/msw-storybook-addon/pull/17,2021-02-02T05:26:10Z,2021-02-02T05:35:47Z,0,1,MERGED
msw-storybook-addon,Allow start options to be passed in,https://github.com/mswjs/msw-storybook-addon/pull/15,2021-01-28T03:27:10Z,2021-02-02T05:01:45Z,1,1,MERGED
msw-storybook-addon,use MDX only for documenting component,https://github.com/mswjs/msw-storybook-addon/pull/14,2021-01-21T08:54:45Z,2021-11-27T13:23:51Z,0,2,CLOSED
msw-storybook-addon,throw proper error in React Query,https://github.com/mswjs/msw-storybook-addon/pull/13,2021-01-16T09:30:16Z,2021-01-16T09:36:06Z,0,1,MERGED
msw-storybook-addon,allow passing args to msw parameter,https://github.com/mswjs/msw-storybook-addon/pull/12,2021-01-16T09:20:46Z,2021-11-27T13:24:11Z,1,1,CLOSED
msw-storybook-addon,use router hooks instead of hoc,https://github.com/mswjs/msw-storybook-addon/pull/10,2021-01-09T13:11:45Z,2021-01-09T13:37:13Z,0,1,MERGED
msw-storybook-addon,non-working: added responsive addon,https://github.com/mswjs/msw-storybook-addon/pull/9,2021-01-09T09:22:58Z,2021-01-16T08:27:30Z,0,1,CLOSED
msw-storybook-addon,added apollo example,https://github.com/mswjs/msw-storybook-addon/pull/8,2021-01-09T06:22:51Z,2021-01-09T07:34:29Z,0,1,MERGED
msw-storybook-addon,demo for mocking react-router app,https://github.com/mswjs/msw-storybook-addon/pull/7,2021-01-02T19:08:11Z,2021-01-03T13:52:24Z,0,2,MERGED
msw-storybook-addon,Add support for setting default requestHandlers,https://github.com/mswjs/msw-storybook-addon/pull/30,2021-05-21T12:44:58Z,2021-07-15T09:47:54Z,1,3,CLOSED
msw-storybook-addon,chore: update all stories to CSF hoisted format,https://github.com/mswjs/msw-storybook-addon/pull/28,2021-05-11T21:35:16Z,2021-05-12T11:16:49Z,2,2,MERGED
