repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
denhaag,Fix inconsistent imports in story files,https://github.com/nl-design-system/denhaag/pull/119,2021-03-27T13:49:57Z,2021-03-27T14:36:49Z,1,3,MERGED
denhaag,Storybook show code fix,https://github.com/nl-design-system/denhaag/pull/117,2021-03-25T19:21:56Z,2021-04-24T12:08:07Z,15,28,MERGED
denhaag,Relative imports fix,https://github.com/nl-design-system/denhaag/pull/116,2021-03-25T18:46:00Z,2021-03-27T14:18:51Z,3,15,CLOSED
denhaag,Sprint 7 merge 2,https://github.com/nl-design-system/denhaag/pull/108,2021-03-20T09:57:07Z,2021-03-27T14:57:04Z,7,6,MERGED
denhaag,Fix/storybook documentation,https://github.com/nl-design-system/denhaag/pull/105,2021-03-13T11:22:33Z,2021-03-20T09:11:43Z,2,8,MERGED
denhaag,Sprint 7 merge 1,https://github.com/nl-design-system/denhaag/pull/97,2021-03-06T13:26:53Z,2021-03-19T14:22:39Z,0,15,MERGED
denhaag,Going public with component library,https://github.com/nl-design-system/denhaag/pull/53,2021-02-27T11:11:18Z,2021-03-18T12:52:58Z,1,6,MERGED
denhaag,Fix/meta packages,https://github.com/nl-design-system/denhaag/pull/52,2021-02-22T19:54:11Z,2021-03-06T12:37:29Z,6,46,MERGED
denhaag,Fix/incorrect storybook imports,https://github.com/nl-design-system/denhaag/pull/50,2021-02-22T17:29:36Z,2021-03-20T09:54:03Z,8,11,MERGED
denhaag,Link component,https://github.com/nl-design-system/denhaag/pull/49,2021-02-20T15:38:59Z,2021-02-27T13:58:00Z,1,6,MERGED
denhaag,uncommented missing imports in index,https://github.com/nl-design-system/denhaag/pull/48,2021-02-20T15:29:40Z,2021-02-20T15:42:32Z,0,1,MERGED
denhaag,Sprint 6 merge 1 ,https://github.com/nl-design-system/denhaag/pull/47,2021-02-20T13:50:47Z,2021-02-27T13:18:14Z,0,34,MERGED
denhaag,Fix/restructure directories,https://github.com/nl-design-system/denhaag/pull/45,2021-02-20T12:59:49Z,2021-02-20T13:34:59Z,0,9,MERGED
denhaag,Add type property to Button,https://github.com/nl-design-system/denhaag/pull/41,2021-02-19T09:59:59Z,2021-02-20T10:13:52Z,0,1,MERGED
denhaag,Poc design tokens,https://github.com/nl-design-system/denhaag/pull/40,2021-02-19T09:32:30Z,2021-05-12T11:39:34Z,12,18,CLOSED
denhaag,Fixed with missing property for MenuItem,https://github.com/nl-design-system/denhaag/pull/39,2021-02-17T12:23:42Z,2021-02-20T10:13:19Z,0,1,MERGED
denhaag,Remove lingering mention of nlds from storybook,https://github.com/nl-design-system/denhaag/pull/38,2021-02-17T12:03:14Z,2021-02-17T12:28:11Z,0,1,MERGED
denhaag,Fix ListItem button prop not usable,https://github.com/nl-design-system/denhaag/pull/36,2021-02-13T12:46:36Z,2021-02-17T11:54:06Z,1,2,MERGED
denhaag,Add files to .prettierignore,https://github.com/nl-design-system/denhaag/pull/35,2021-02-13T10:41:41Z,2021-02-17T12:51:26Z,1,2,MERGED
denhaag,Fix/prettierignore,https://github.com/nl-design-system/denhaag/pull/34,2021-02-13T10:33:30Z,2021-02-13T10:34:07Z,0,28,CLOSED
denhaag,Feature/GitHub actions,https://github.com/nl-design-system/denhaag/pull/31,2021-02-08T12:58:13Z,2021-02-08T13:09:32Z,0,32,MERGED
denhaag,Feature/GitHub actions,https://github.com/nl-design-system/denhaag/pull/30,2021-02-08T12:37:29Z,2021-02-08T12:43:39Z,0,29,MERGED
denhaag,Added eupl license,https://github.com/nl-design-system/denhaag/pull/20,2021-02-06T10:44:30Z,2021-02-17T11:45:39Z,5,10,MERGED
denhaag,Sprint 5,https://github.com/nl-design-system/denhaag/pull/18,2021-01-30T14:15:27Z,2021-02-08T13:21:04Z,0,49,MERGED
denhaag,Feature/use prettier,https://github.com/nl-design-system/denhaag/pull/17,2021-01-30T10:08:40Z,2021-02-06T10:15:15Z,4,15,MERGED
denhaag,Add github actions yml,https://github.com/nl-design-system/denhaag/pull/16,2021-01-28T08:09:12Z,2021-02-08T10:59:27Z,3,26,MERGED
denhaag,Fix: cleanup linters,https://github.com/nl-design-system/denhaag/pull/14,2021-01-23T12:21:06Z,2021-01-28T08:56:22Z,1,3,CLOSED
denhaag,Fix: local package import,https://github.com/nl-design-system/denhaag/pull/10,2021-01-16T11:44:22Z,2021-01-23T13:53:17Z,6,8,MERGED
denhaag,Add GitHub actions yml,https://github.com/nl-design-system/denhaag/pull/9,2021-01-14T14:09:43Z,2021-01-27T12:05:54Z,7,18,MERGED
denhaag,WIP: Contributing license agreement,https://github.com/nl-design-system/denhaag/pull/3,2021-01-09T15:55:38Z,2021-05-22T08:53:46Z,2,6,CLOSED
denhaag,Feature/mdh 4539 renaming components,https://github.com/nl-design-system/denhaag/pull/2,2021-01-09T10:30:02Z,2021-01-09T15:57:18Z,2,14,MERGED
denhaag,Development,https://github.com/nl-design-system/denhaag/pull/1,2021-01-07T08:29:22Z,2021-01-07T13:01:03Z,0,8,MERGED
denhaag,Install accessibility plugin for Storybook,https://github.com/nl-design-system/denhaag/pull/209,2021-05-30T09:50:06Z,2021-06-02T10:33:04Z,0,1,MERGED
denhaag,Fix button primary action disabled style,https://github.com/nl-design-system/denhaag/pull/208,2021-05-29T13:09:08Z,2021-05-29T14:32:32Z,0,2,MERGED
denhaag,Introduced disallow any rule,https://github.com/nl-design-system/denhaag/pull/206,2021-05-29T10:59:09Z,2021-05-29T11:51:53Z,1,2,MERGED
denhaag,Add prettier to lint-staged and CI,https://github.com/nl-design-system/denhaag/pull/205,2021-05-29T09:40:00Z,2021-05-29T14:27:08Z,0,8,MERGED
denhaag,Add type to onClick function in ButtonProps,https://github.com/nl-design-system/denhaag/pull/204,2021-05-29T08:59:47Z,2021-05-29T11:45:52Z,1,1,MERGED
denhaag,Storybook theme,https://github.com/nl-design-system/denhaag/pull/202,2021-05-26T16:14:02Z,2021-05-27T14:04:21Z,0,3,MERGED
denhaag,Update github configs to use master branch instead of development,https://github.com/nl-design-system/denhaag/pull/201,2021-05-26T13:14:42Z,2021-05-29T08:38:17Z,1,3,MERGED
denhaag,Documentation for Brand Identity colors,https://github.com/nl-design-system/denhaag/pull/200,2021-05-26T11:56:51Z,2021-06-11T20:39:42Z,3,13,MERGED
denhaag,fix babel warning,https://github.com/nl-design-system/denhaag/pull/196,2021-05-26T08:00:00Z,2021-05-29T11:37:02Z,2,1,MERGED
denhaag,Fix babel warning,https://github.com/nl-design-system/denhaag/pull/195,2021-05-26T07:56:26Z,2021-05-26T07:56:40Z,0,1,CLOSED
denhaag,Reproducible builds using exact version from Yarn lockfile,https://github.com/nl-design-system/denhaag/pull/193,2021-05-26T07:46:36Z,2021-05-29T10:12:02Z,3,1,MERGED
denhaag,Release 0.1.16,https://github.com/nl-design-system/denhaag/pull/192,2021-05-25T09:22:31Z,2021-05-26T12:34:56Z,0,0,MERGED
denhaag,Added the tabindex property to IconButton,https://github.com/nl-design-system/denhaag/pull/191,2021-05-25T08:40:10Z,2021-05-26T09:39:40Z,1,2,MERGED
denhaag,Added onClick prop to IconButton,https://github.com/nl-design-system/denhaag/pull/189,2021-05-25T08:20:08Z,2021-05-26T09:34:47Z,4,3,MERGED
denhaag,Release,https://github.com/nl-design-system/denhaag/pull/184,2021-05-22T10:53:48Z,2021-05-22T10:56:23Z,0,44,CLOSED
denhaag,Feature/issue templates 1,https://github.com/nl-design-system/denhaag/pull/183,2021-05-22T08:51:54Z,2021-05-22T08:57:15Z,0,3,MERGED
denhaag,"Split design tokens and styles into Components, Common and Proprietary",https://github.com/nl-design-system/denhaag/pull/180,2021-05-19T10:29:41Z,2021-05-22T09:32:01Z,6,12,MERGED
denhaag,Add font-family token to globals,https://github.com/nl-design-system/denhaag/pull/179,2021-05-19T09:42:43Z,2021-05-19T09:48:31Z,0,1,MERGED
denhaag,Add issue templates,https://github.com/nl-design-system/denhaag/pull/176,2021-05-15T14:52:18Z,2021-05-22T08:52:41Z,4,4,CLOSED
denhaag,Add hyphen to font-fize css variables,https://github.com/nl-design-system/denhaag/pull/175,2021-05-15T12:32:23Z,2021-05-15T13:10:40Z,0,1,MERGED
denhaag,global design tokens for focus border,https://github.com/nl-design-system/denhaag/pull/173,2021-05-15T10:49:14Z,2021-05-15T10:52:29Z,0,1,MERGED
denhaag,Implemented design for Divider component.,https://github.com/nl-design-system/denhaag/pull/172,2021-05-15T09:27:31Z,2021-06-12T12:31:27Z,21,25,MERGED
denhaag,Fix typos in icon names,https://github.com/nl-design-system/denhaag/pull/170,2021-05-12T14:53:07Z,2021-05-15T09:04:15Z,0,1,MERGED
denhaag,Feature/#65 list design,https://github.com/nl-design-system/denhaag/pull/169,2021-05-12T12:24:36Z,2021-06-19T11:09:07Z,24,63,MERGED
denhaag,Update usage section in README,https://github.com/nl-design-system/denhaag/pull/168,2021-05-12T07:49:48Z,2021-05-12T11:36:57Z,0,1,MERGED
denhaag,Release - 0.1.15,https://github.com/nl-design-system/denhaag/pull/166,2021-05-08T13:03:53Z,2021-05-22T10:47:24Z,1,16,MERGED
denhaag,add defaults to icon button,https://github.com/nl-design-system/denhaag/pull/165,2021-05-08T12:18:03Z,2021-05-12T11:33:06Z,0,1,MERGED
denhaag,Fix/#91 group components,https://github.com/nl-design-system/denhaag/pull/161,2021-05-05T19:03:38Z,2021-05-08T12:56:46Z,3,15,MERGED
denhaag,Feature/#107 testing strategy cypress,https://github.com/nl-design-system/denhaag/pull/160,2021-05-05T09:31:10Z,2021-05-26T08:02:11Z,5,25,MERGED
denhaag,Feature/#46 icons,https://github.com/nl-design-system/denhaag/pull/158,2021-05-01T21:47:54Z,2021-05-05T13:28:20Z,4,22,MERGED
denhaag,Fix/#156 separate design tokens from brand,https://github.com/nl-design-system/denhaag/pull/157,2021-05-01T13:13:13Z,2021-05-08T11:26:27Z,2,4,MERGED
denhaag,Merge,https://github.com/nl-design-system/denhaag/pull/150,2021-04-28T13:24:55Z,2021-04-28T13:25:40Z,0,8,CLOSED
denhaag,Hot fix,https://github.com/nl-design-system/denhaag/pull/149,2021-04-28T13:09:34Z,2021-05-01T09:25:49Z,0,6,MERGED
denhaag,Merge conflicts,https://github.com/nl-design-system/denhaag/pull/148,2021-04-28T08:41:38Z,2021-04-28T09:28:49Z,0,8,MERGED
denhaag,Sprint 8 Merge,https://github.com/nl-design-system/denhaag/pull/147,2021-04-28T08:21:56Z,2021-05-08T19:02:13Z,1,20,CLOSED
denhaag,Defined prettifier scripts which run in specified directories only,https://github.com/nl-design-system/denhaag/pull/145,2021-04-24T12:27:22Z,2021-06-12T13:08:38Z,7,6,CLOSED
denhaag,feature/#107-testing-strategy,https://github.com/nl-design-system/denhaag/pull/144,2021-04-24T12:13:37Z,2021-05-05T14:41:04Z,0,6,CLOSED
denhaag,Update badges in README.md,https://github.com/nl-design-system/denhaag/pull/143,2021-04-24T11:23:20Z,2021-04-24T11:58:40Z,0,1,MERGED
denhaag,Fix/update readme badges,https://github.com/nl-design-system/denhaag/pull/142,2021-04-24T11:20:56Z,2021-04-24T11:21:13Z,0,8,CLOSED
denhaag,Fix/#42 fix installation files,https://github.com/nl-design-system/denhaag/pull/137,2021-04-17T11:23:57Z,2021-04-28T07:51:46Z,11,58,MERGED
denhaag,Feature/#79 cards case,https://github.com/nl-design-system/denhaag/pull/134,2021-04-14T14:54:46Z,2021-06-19T12:04:36Z,51,104,MERGED
