repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,Remove label attribute on buttons,https://github.com/nulogy/design-system/pull/355,2019-07-31T16:36:46Z,2019-08-01T13:34:37Z,3,3,MERGED
design-system,[NDS-1031] Reduce sizing in NavBar submenu,https://github.com/nulogy/design-system/pull/354,2019-07-31T12:54:18Z,2019-07-31T16:27:56Z,0,7,MERGED
design-system,Remove the table page in the docs site as it's causing confusion,https://github.com/nulogy/design-system/pull/353,2019-07-30T17:50:19Z,2019-07-31T11:43:19Z,0,1,MERGED
design-system,[NDS-1015] document ButtonGroup component,https://github.com/nulogy/design-system/pull/352,2019-07-30T13:08:00Z,2019-07-31T14:48:07Z,0,9,MERGED
design-system,Update Button styles to match UI Kit ,https://github.com/nulogy/design-system/pull/351,2019-07-26T14:38:28Z,2019-07-26T15:29:39Z,0,2,MERGED
design-system,[NDS-995] Add accessibility testing to storybook ,https://github.com/nulogy/design-system/pull/350,2019-07-26T13:28:39Z,2019-07-26T15:09:07Z,0,10,MERGED
design-system,Fixing navbar focus styling,https://github.com/nulogy/design-system/pull/349,2019-07-25T13:52:06Z,2019-07-25T15:26:15Z,0,4,MERGED
design-system,"[RFC, NO MERGE] Typescript For Components",https://github.com/nulogy/design-system/pull/348,2019-07-22T20:45:38Z,2019-08-13T20:47:37Z,1,9,CLOSED
design-system,Modal component,https://github.com/nulogy/design-system/pull/347,2019-07-22T20:28:13Z,2019-07-31T14:24:01Z,5,100,MERGED
design-system,Nds 1016 navbar make third level submenus open on hover,https://github.com/nulogy/design-system/pull/346,2019-07-19T17:44:10Z,2019-07-25T13:01:20Z,0,29,MERGED
design-system,[NDS-989] Add Select improvements ,https://github.com/nulogy/design-system/pull/345,2019-07-17T17:53:24Z,2019-08-26T15:32:09Z,7,47,CLOSED
design-system,[NDS-996] Disabled DropdownButtons aren't actually disabled,https://github.com/nulogy/design-system/pull/344,2019-07-15T16:05:45Z,2019-07-15T17:26:51Z,0,3,MERGED
design-system,Add disabled prop to DropdownMenu,https://github.com/nulogy/design-system/pull/343,2019-07-11T18:52:44Z,2019-07-12T12:47:40Z,0,8,MERGED
design-system,Use the correct cursor for DropdownButton when disabled,https://github.com/nulogy/design-system/pull/342,2019-07-11T17:15:28Z,2019-07-11T18:43:59Z,7,1,CLOSED
design-system,[NDS-955] Build tokens when running storyshots,https://github.com/nulogy/design-system/pull/341,2019-07-11T14:44:07Z,2019-07-12T13:08:27Z,1,1,MERGED
design-system,Use blackBlue instead of darkBlue for docs site nav,https://github.com/nulogy/design-system/pull/340,2019-07-10T19:43:44Z,2019-07-11T11:29:12Z,0,1,MERGED
design-system,Fix docs site accessibility issues,https://github.com/nulogy/design-system/pull/339,2019-07-09T16:08:36Z,2019-07-10T13:30:37Z,1,8,MERGED
design-system,Clear select component current selection when value set to empty string,https://github.com/nulogy/design-system/pull/338,2019-06-27T17:21:58Z,2019-06-27T20:29:50Z,0,6,MERGED
design-system,Add error and maintenance pages,https://github.com/nulogy/design-system/pull/337,2019-06-27T12:23:51Z,2019-07-04T12:23:42Z,0,32,MERGED
design-system,Add hover label to iconic button,https://github.com/nulogy/design-system/pull/336,2019-06-24T20:09:11Z,2019-06-25T20:02:00Z,0,13,MERGED
design-system,Add support for custom links on the branding image in the NavBar component.,https://github.com/nulogy/design-system/pull/335,2019-06-21T19:05:12Z,2019-06-21T19:40:56Z,0,2,MERGED
design-system,Supports non-link text in the NavBar,https://github.com/nulogy/design-system/pull/334,2019-06-21T14:06:15Z,2019-06-21T19:16:01Z,0,13,MERGED
design-system,[WIP] don't review,https://github.com/nulogy/design-system/pull/333,2019-06-21T13:33:58Z,2019-06-21T19:29:13Z,0,4,CLOSED
