repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
FormSG,build: merge release 4.43.2 into master,https://github.com/opengovsg/FormSG/pull/554,2020-10-30T12:29:26Z,2020-11-03T03:06:52Z,0,33,MERGED
FormSG,"chore: shift webhook field to bottom of settings page, update copy",https://github.com/opengovsg/FormSG/pull/553,2020-10-30T11:48:04Z,2020-11-03T02:12:31Z,0,1,MERGED
FormSG,build: merge release 4.43.2 into develop,https://github.com/opengovsg/FormSG/pull/552,2020-10-30T11:15:00Z,2020-10-30T12:25:53Z,0,1,MERGED
FormSG,build: release 4.43.2,https://github.com/opengovsg/FormSG/pull/551,2020-10-30T11:14:07Z,2020-10-30T11:50:21Z,0,3,MERGED
FormSG,fix(prefill): implement flag to restrict prefillable form fields and disallow prefilling for myinfo fields,https://github.com/opengovsg/FormSG/pull/550,2020-10-30T06:26:02Z,2020-10-30T11:03:16Z,3,7,MERGED
FormSG,build: merge Release 4.43.1 into master,https://github.com/opengovsg/FormSG/pull/547,2020-10-29T15:37:34Z,2020-11-02T01:19:08Z,1,30,CLOSED
FormSG,"build: Release 4.43.1 - Allow edits to prefilled textfields, tighten checks for protected routes",https://github.com/opengovsg/FormSG/pull/546,2020-10-29T14:16:33Z,2020-10-29T14:52:22Z,0,8,MERGED
FormSG,build: merge 4.43.1 to develop branch,https://github.com/opengovsg/FormSG/pull/545,2020-10-29T14:15:17Z,2020-10-29T14:52:38Z,0,1,MERGED
FormSG,[develop] Release 4.43.1,https://github.com/opengovsg/FormSG/pull/544,2020-10-29T13:49:45Z,2020-10-29T14:12:12Z,0,25,CLOSED
FormSG,Release 4.43.1 - Avoid disabling textfield on prefill,https://github.com/opengovsg/FormSG/pull/543,2020-10-29T13:48:35Z,2020-10-29T14:12:43Z,2,2,CLOSED
FormSG,fix(prefill): allow prefill only if allowPrefill flag is set to true,https://github.com/opengovsg/FormSG/pull/541,2020-10-29T12:09:39Z,2020-10-29T12:23:39Z,2,1,CLOSED
FormSG,fix(prefill): do not disable textfield due to phishing concerns,https://github.com/opengovsg/FormSG/pull/540,2020-10-29T10:26:56Z,2020-10-29T11:09:51Z,0,1,MERGED
FormSG,build: merge Release 4.43.0 to develop,https://github.com/opengovsg/FormSG/pull/537,2020-10-29T06:23:59Z,2020-10-29T11:08:27Z,0,1,MERGED
FormSG,fix: local builds failing to transpile due to breaking change in tsnd + Travis JS heap increase,https://github.com/opengovsg/FormSG/pull/533,2020-10-29T05:55:21Z,2020-10-29T06:52:28Z,0,2,MERGED
FormSG,feat: tighten isUserInSession conditional for protected routes,https://github.com/opengovsg/FormSG/pull/532,2020-10-29T04:14:38Z,2020-10-29T09:54:46Z,0,3,MERGED
FormSG,build: merge Release 4.43.0 to develop,https://github.com/opengovsg/FormSG/pull/530,2020-10-29T03:26:44Z,2020-10-29T06:13:56Z,2,24,CLOSED
FormSG,build: Release 4.43.0,https://github.com/opengovsg/FormSG/pull/529,2020-10-28T14:24:11Z,2020-10-29T03:26:13Z,3,3,MERGED
FormSG,build: merge Release 4.42.0 into master,https://github.com/opengovsg/FormSG/pull/528,2020-10-28T14:21:16Z,2020-11-02T01:07:51Z,0,19,MERGED
