repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
elements,chore: license checker,https://github.com/ory/elements/pull/38,2022-10-28T22:31:54Z,2022-11-02T11:15:27Z,1,5,MERGED
elements,fix: consent remember checkbox,https://github.com/ory/elements/pull/37,2022-10-25T14:38:32Z,2022-10-25T14:45:11Z,0,1,MERGED
elements,fix: bump package version,https://github.com/ory/elements/pull/36,2022-10-25T12:29:13Z,2022-10-25T12:32:32Z,0,1,MERGED
elements,feat: add OAuth2 consent card,https://github.com/ory/elements/pull/35,2022-10-25T11:34:07Z,2022-10-25T12:23:38Z,0,3,MERGED
elements,fix: card breakpoint increased,https://github.com/ory/elements/pull/34,2022-10-24T10:43:01Z,2022-10-24T10:46:04Z,0,1,MERGED
elements,chore: include docs,https://github.com/ory/elements/pull/32,2022-10-20T08:49:52Z,2022-10-20T09:09:19Z,0,2,MERGED
elements,chore: update codedocs on react example,https://github.com/ory/elements/pull/31,2022-10-19T19:52:26Z,2022-10-20T07:28:35Z,0,6,MERGED
elements,feat: update Readme,https://github.com/ory/elements/pull/30,2022-10-17T21:14:09Z,2022-10-18T07:01:23Z,0,2,MERGED
elements,fix: z index on card-gradient,https://github.com/ory/elements/pull/29,2022-10-14T09:06:19Z,2022-10-14T09:48:23Z,1,5,MERGED
elements,fix: lerna version command,https://github.com/ory/elements/pull/28,2022-10-13T15:32:16Z,2022-10-13T16:05:22Z,0,5,MERGED
elements,fix: workflow,https://github.com/ory/elements/pull/27,2022-10-13T15:23:11Z,2022-10-13T15:27:25Z,0,2,MERGED
elements,fix: use correct command,https://github.com/ory/elements/pull/26,2022-10-13T14:39:15Z,2022-10-13T14:42:07Z,0,1,MERGED
elements,fix: use node 16 instead of 14,https://github.com/ory/elements/pull/25,2022-10-13T14:28:04Z,2022-10-13T14:31:37Z,0,1,MERGED
elements,fix: safari gradient card hover,https://github.com/ory/elements/pull/24,2022-10-13T13:33:43Z,2022-10-13T13:37:07Z,0,1,MERGED
elements,chore: code documentation and usage,https://github.com/ory/elements/pull/23,2022-10-13T10:43:51Z,2022-10-19T09:58:07Z,21,16,MERGED
elements,ci: add release step,https://github.com/ory/elements/pull/21,2022-10-12T14:36:18Z,2022-10-13T06:41:12Z,0,1,MERGED
elements,fix: checkbox helper text and label,https://github.com/ory/elements/pull/20,2022-10-12T09:13:01Z,2022-10-12T09:22:07Z,0,1,MERGED
elements,fix: use lower-case abbreviations,https://github.com/ory/elements/pull/19,2022-10-07T11:05:35Z,2022-10-07T15:09:30Z,0,1,MERGED
elements,chore: delete intellij file,https://github.com/ory/elements/pull/18,2022-10-07T10:58:38Z,2022-10-07T10:58:49Z,0,1,MERGED
elements,fix: component styling and spacing,https://github.com/ory/elements/pull/17,2022-10-06T15:22:28Z,2022-10-12T08:44:28Z,2,18,MERGED
