repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
owncast,Chat updates,https://github.com/owncast/owncast/pull/92,2020-07-28T06:11:16Z,2020-07-29T04:30:04Z,2,9,MERGED
owncast,Support separate S3 serving endpoint,https://github.com/owncast/owncast/pull/91,2020-07-28T02:28:19Z,2020-07-28T20:17:40Z,3,8,MERGED
owncast,Add ACL option to s3 config,https://github.com/owncast/owncast/pull/89,2020-07-26T16:21:19Z,2020-07-28T04:41:52Z,2,1,MERGED
owncast,Add: Config Key when changing ffmpeg.,https://github.com/owncast/owncast/pull/80,2020-07-21T19:58:00Z,2020-07-21T20:13:01Z,1,1,MERGED
owncast,Set Content-Type on status endpoint,https://github.com/owncast/owncast/pull/70,2020-07-19T16:11:10Z,2020-07-19T17:26:06Z,1,1,MERGED
owncast,Show in the UI how long the user has been streaming for.,https://github.com/owncast/owncast/pull/69,2020-07-18T22:09:52Z,2020-07-19T23:15:20Z,4,6,MERGED
owncast,Plz can we have desktop layout on wide enough tablets?,https://github.com/owncast/owncast/pull/68,2020-07-17T04:05:13Z,2020-07-18T23:52:26Z,1,1,CLOSED
owncast,Use endpoint for chat history instead of websocket,https://github.com/owncast/owncast/pull/67,2020-07-17T03:46:17Z,2020-07-19T00:27:05Z,1,5,MERGED
owncast,App Javascript refactor,https://github.com/owncast/owncast/pull/56,2020-07-13T10:22:54Z,2020-07-16T19:17:06Z,7,20,MERGED
owncast,Correct indenting,https://github.com/owncast/owncast/pull/55,2020-07-12T22:50:21Z,2020-07-12T22:59:00Z,1,1,MERGED
owncast,Add gcc dependency to build process,https://github.com/owncast/owncast/pull/53,2020-07-12T20:35:45Z,2020-07-12T20:38:56Z,1,1,MERGED
owncast,New video transcoder,https://github.com/owncast/owncast/pull/27,2020-06-24T07:36:29Z,2020-06-26T00:44:48Z,13,9,MERGED
owncast,Decouple chat from core and add chat rest api,https://github.com/owncast/owncast/pull/25,2020-06-23T07:29:44Z,2020-06-23T20:11:02Z,2,2,MERGED
owncast,Add a launch.json to enable vscode debugging,https://github.com/owncast/owncast/pull/24,2020-06-23T07:27:59Z,2020-06-23T07:42:57Z,1,1,MERGED
owncast,Fix a memory leak with the chat,https://github.com/owncast/owncast/pull/23,2020-06-23T06:29:29Z,2020-06-23T06:52:51Z,1,1,MERGED
owncast,Project restructure,https://github.com/owncast/owncast/pull/18,2020-06-20T03:33:29Z,2020-06-23T01:11:57Z,11,6,MERGED
owncast,Update the module path,https://github.com/owncast/owncast/pull/17,2020-06-19T21:40:40Z,2020-06-20T01:05:28Z,1,1,MERGED
owncast,Reject second stream attempting to overtake existing stream,https://github.com/owncast/owncast/pull/15,2020-06-19T17:01:24Z,2020-06-19T17:29:09Z,2,1,MERGED
owncast,Fix initial offline state,https://github.com/owncast/owncast/pull/10,2020-06-19T00:40:58Z,2020-06-19T01:08:26Z,2,3,MERGED
owncast,Add a gitignore file,https://github.com/owncast/owncast/pull/5,2020-06-18T21:45:38Z,2020-06-18T22:00:42Z,2,1,MERGED
owncast,changed duration format to also represent days,https://github.com/owncast/owncast/pull/309,2020-10-29T11:48:04Z,2020-10-30T01:29:26Z,0,1,MERGED
owncast,Create a production build of Tailwind at release time,https://github.com/owncast/owncast/pull/292,2020-10-25T19:40:02Z,2020-10-26T15:49:34Z,1,2,MERGED
owncast,Stop rtmp from reaching back into core,https://github.com/owncast/owncast/pull/290,2020-10-24T22:55:14Z,2020-10-29T21:09:29Z,3,2,MERGED
owncast,First pass at centralized database reference. Closes #282,https://github.com/owncast/owncast/pull/289,2020-10-24T21:45:37Z,2020-10-26T15:55:31Z,1,8,MERGED
owncast,Custom thumbnail poster component,https://github.com/owncast/owncast/pull/281,2020-10-22T07:53:46Z,2020-10-22T21:14:45Z,1,8,MERGED
owncast,Add Javascript update Github Actions workflow,https://github.com/owncast/owncast/pull/275,2020-10-20T22:39:40Z,2020-10-21T01:38:37Z,1,3,MERGED
owncast,Update chat styling,https://github.com/owncast/owncast/pull/264,2020-10-17T01:26:45Z,2020-10-18T02:22:54Z,0,3,MERGED
owncast,Variable collisions; Possible use of nil value,https://github.com/owncast/owncast/pull/256,2020-10-15T21:21:40Z,2020-10-16T22:04:31Z,3,3,MERGED
owncast,Remove Chat Avatars,https://github.com/owncast/owncast/pull/241,2020-10-14T12:00:05Z,2020-10-14T18:16:59Z,0,2,MERGED
owncast,Update extra page content API,https://github.com/owncast/owncast/pull/240,2020-10-14T00:52:47Z,2020-10-14T16:38:49Z,0,2,MERGED
owncast,Add Docker-compose,https://github.com/owncast/owncast/pull/238,2020-10-12T20:17:02Z,2020-11-20T07:32:50Z,8,1,MERGED
owncast,Render and sanitize chat messages server-side.,https://github.com/owncast/owncast/pull/237,2020-10-11T21:27:06Z,2020-10-13T23:45:53Z,0,5,MERGED
owncast,Add system chat message type,https://github.com/owncast/owncast/pull/233,2020-10-09T04:10:50Z,2020-10-09T21:05:03Z,5,3,CLOSED
owncast,Remove additional viewer counts from status bar.,https://github.com/owncast/owncast/pull/231,2020-10-08T23:41:09Z,2020-10-09T04:44:28Z,1,1,MERGED
owncast,ADD: Save volume settings in localstorage,https://github.com/owncast/owncast/pull/228,2020-10-06T20:06:41Z,2020-10-07T05:54:58Z,3,6,MERGED
owncast,fix: prevents messages ending with spaces to exceed the msg limit,https://github.com/owncast/owncast/pull/226,2020-10-05T05:50:43Z,2020-10-06T20:46:08Z,1,1,MERGED
owncast,Initial OpenAPIv3 Spec,https://github.com/owncast/owncast/pull/223,2020-10-04T21:12:35Z,2020-10-05T01:59:43Z,1,1,MERGED
owncast,Fixes #211: Update mod paths,https://github.com/owncast/owncast/pull/221,2020-10-04T16:56:56Z,2020-10-05T17:07:09Z,3,1,MERGED
owncast,Move all remote dependencies to be local,https://github.com/owncast/owncast/pull/220,2020-10-04T02:11:38Z,2020-10-05T01:43:32Z,6,4,MERGED
owncast,Fix: Optional socialHandles and tags,https://github.com/owncast/owncast/pull/219,2020-10-02T19:44:54Z,2020-10-07T08:06:58Z,5,5,MERGED
owncast,Hardware status admin api,https://github.com/owncast/owncast/pull/218,2020-10-02T19:11:19Z,2020-10-02T19:18:09Z,0,3,MERGED
owncast,Connected clients admin API,https://github.com/owncast/owncast/pull/217,2020-10-02T17:03:59Z,2020-10-07T06:14:34Z,11,10,MERGED
owncast,"Simplify config, remove custom paths and add constants",https://github.com/owncast/owncast/pull/216,2020-10-02T02:37:19Z,2020-10-03T21:35:04Z,0,1,MERGED
owncast,Make video segment filename unique,https://github.com/owncast/owncast/pull/214,2020-10-01T10:57:34Z,2020-10-02T06:34:30Z,2,3,MERGED
owncast,Add timestamp to title chat,https://github.com/owncast/owncast/pull/213,2020-10-01T09:15:07Z,2020-10-04T08:15:46Z,7,7,MERGED
owncast,First pass at YP registration/configuration,https://github.com/owncast/owncast/pull/209,2020-09-30T17:37:09Z,2020-10-02T06:55:39Z,5,13,MERGED
owncast,Viewer metrics api,https://github.com/owncast/owncast/pull/208,2020-09-30T01:39:58Z,2020-10-02T07:06:15Z,0,4,MERGED
owncast,Add server config admin endpoint,https://github.com/owncast/owncast/pull/207,2020-09-30T00:30:02Z,2020-10-02T07:02:43Z,0,3,MERGED
owncast,Current broadcaster details admin api,https://github.com/owncast/owncast/pull/206,2020-09-29T22:44:10Z,2020-10-02T07:12:48Z,0,6,MERGED
owncast,Disconnect stream Admin API + HTTP Basic Auth,https://github.com/owncast/owncast/pull/204,2020-09-28T23:30:19Z,2020-10-02T01:16:59Z,3,3,MERGED
owncast,Create release docker image without shipping source and go toolchain.,https://github.com/owncast/owncast/pull/188,2020-09-25T23:03:39Z,2020-09-26T07:44:44Z,5,4,MERGED
owncast,Update caching logic/headers,https://github.com/owncast/owncast/pull/184,2020-09-25T05:16:42Z,2020-09-30T21:14:40Z,0,2,MERGED
owncast,Remove player progress bar.  Closes #159,https://github.com/owncast/owncast/pull/171,2020-09-21T21:30:53Z,2020-09-28T05:03:41Z,1,1,MERGED
owncast,chat fixes v3 or 5 or 123,https://github.com/owncast/owncast/pull/168,2020-09-21T04:42:10Z,2020-09-22T03:11:10Z,11,19,MERGED
owncast,Limit the length of pasted text.,https://github.com/owncast/owncast/pull/163,2020-09-19T06:36:45Z,2020-09-19T21:20:26Z,0,1,CLOSED
owncast,"Preconnect preact, emoji. Defer some js.",https://github.com/owncast/owncast/pull/162,2020-09-19T06:12:07Z,2020-09-20T17:03:55Z,2,1,MERGED
owncast,Reset the directories when the stream gets disconnected,https://github.com/owncast/owncast/pull/152,2020-09-16T18:20:03Z,2020-09-16T20:31:22Z,9,2,MERGED
owncast,HLS video handling/storage/state refactor,https://github.com/owncast/owncast/pull/151,2020-09-16T18:09:16Z,2020-10-14T21:07:39Z,7,38,MERGED
owncast,Misc web updates,https://github.com/owncast/owncast/pull/147,2020-09-13T23:18:36Z,2020-09-14T05:02:05Z,3,7,MERGED
owncast,Fix chat not coming back after server comes back. ,https://github.com/owncast/owncast/pull/146,2020-09-13T01:49:52Z,2020-09-13T01:57:09Z,0,1,MERGED
owncast,Player loads path from Config,https://github.com/owncast/owncast/pull/121,2020-08-25T02:36:48Z,2020-10-02T21:25:31Z,5,8,CLOSED
owncast,frontend refactor with Preact,https://github.com/owncast/owncast/pull/120,2020-08-24T05:01:17Z,2020-08-26T08:03:41Z,15,39,MERGED
owncast,Remove cache-control header from HLS queries,https://github.com/owncast/owncast/pull/118,2020-08-20T23:48:49Z,2020-08-21T00:49:12Z,1,1,MERGED
owncast,Simple hardware metrics collection + alerting,https://github.com/owncast/owncast/pull/115,2020-08-18T05:34:13Z,2020-08-27T07:37:32Z,3,4,MERGED
owncast,Terminal stats and status UI,https://github.com/owncast/owncast/pull/111,2020-08-11T04:39:15Z,2020-08-17T18:24:06Z,10,9,CLOSED
owncast,Merge of emoji + autolink + embed + etc,https://github.com/owncast/owncast/pull/108,2020-08-06T06:33:04Z,2020-08-13T04:56:42Z,6,33,MERGED
owncast,Transcoder updates for bitrate validator warnings ,https://github.com/owncast/owncast/pull/106,2020-08-05T06:48:41Z,2020-08-06T19:19:35Z,4,7,MERGED
owncast,Stop storing messages in memory and pull from db instead. Closes #81,https://github.com/owncast/owncast/pull/105,2020-08-05T06:39:40Z,2020-08-06T04:01:07Z,0,1,MERGED
owncast,Websocket refactor: Pull it out of the UI and support callbacks,https://github.com/owncast/owncast/pull/104,2020-08-05T01:49:21Z,2020-08-06T17:55:33Z,4,3,MERGED
owncast,Add username tab completion,https://github.com/owncast/owncast/pull/98,2020-08-03T17:06:11Z,2020-08-08T08:06:54Z,12,3,MERGED
owncast,Fix handling newlines in messages,https://github.com/owncast/owncast/pull/97,2020-08-02T10:10:42Z,2020-08-03T03:16:44Z,3,1,MERGED
owncast,"#515 switched to SVG icons, #525 added Ko-Fi platform",https://github.com/owncast/owncast/pull/528,2020-12-27T12:03:30Z,2021-01-09T20:59:44Z,8,3,MERGED
owncast,Update chat message visibility for moderation,https://github.com/owncast/owncast/pull/524,2020-12-26T09:14:15Z,2020-12-29T21:35:34Z,1,16,MERGED
owncast,Added new endpoints to modify settings in-memory,https://github.com/owncast/owncast/pull/517,2020-12-23T21:40:41Z,2020-12-29T22:03:58Z,1,2,MERGED
owncast,wrap tags so they don't extend off the view,https://github.com/owncast/owncast/pull/501,2020-12-22T18:08:28Z,2020-12-22T18:28:07Z,1,1,MERGED
owncast,misc issue fixes,https://github.com/owncast/owncast/pull/496,2020-12-22T11:21:11Z,2020-12-23T01:43:35Z,1,4,MERGED
owncast,Auto play when stream is live,https://github.com/owncast/owncast/pull/495,2020-12-22T10:01:54Z,2020-12-30T03:58:25Z,22,1,CLOSED
owncast,Log and abort when listening on RTMP port fails,https://github.com/owncast/owncast/pull/478,2020-12-20T01:19:21Z,2020-12-20T06:17:10Z,0,1,MERGED
owncast,Update docker-compose.yaml example,https://github.com/owncast/owncast/pull/476,2020-12-19T20:11:58Z,2020-12-20T20:25:33Z,4,2,MERGED
owncast,Add webfinger,https://github.com/owncast/owncast/pull/466,2020-12-17T23:08:41Z,2022-01-12T23:52:05Z,1,2,CLOSED
owncast,Add custom RTMP port number support,https://github.com/owncast/owncast/pull/462,2020-12-16T08:27:03Z,2020-12-17T17:56:05Z,0,2,MERGED
