repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
storybook-taskbox,remove not used stories,https://github.com/peterwb1/storybook-taskbox/pull/11,2024-10-24T08:24:42Z,2024-10-24T08:24:49Z,0,1,MERGED
storybook-taskbox,git action test 3,https://github.com/peterwb1/storybook-taskbox/pull/10,2024-10-24T08:21:22Z,2024-10-24T08:21:29Z,0,1,MERGED
storybook-taskbox,git action test,https://github.com/peterwb1/storybook-taskbox/pull/9,2024-10-24T08:17:42Z,2024-10-24T08:17:52Z,0,1,MERGED
storybook-taskbox,git action test,https://github.com/peterwb1/storybook-taskbox/pull/8,2024-10-24T08:13:19Z,2024-10-24T08:13:32Z,0,1,MERGED
storybook-taskbox,gg,https://github.com/peterwb1/storybook-taskbox/pull/7,2024-10-23T16:30:11Z,2024-10-23T16:30:18Z,0,1,MERGED
storybook-taskbox,chore: Move into the taskbox directory in the Chromatic workflow,https://github.com/peterwb1/storybook-taskbox/pull/6,2024-10-23T16:26:18Z,2024-10-23T16:28:51Z,0,2,MERGED
storybook-taskbox,move git folder,https://github.com/peterwb1/storybook-taskbox/pull/5,2024-10-23T16:22:27Z,2024-10-23T16:23:10Z,0,1,MERGED
storybook-taskbox,following the tutoral. am merging to use the github actions ,https://github.com/peterwb1/storybook-taskbox/pull/3,2024-10-23T16:09:22Z,2024-10-23T16:12:27Z,0,6,MERGED
storybook-taskbox,update project to be typescript,https://github.com/peterwb1/storybook-taskbox/pull/2,2024-10-23T10:55:38Z,2024-10-23T10:55:46Z,0,1,MERGED
storybook-taskbox,Setup,https://github.com/peterwb1/storybook-taskbox/pull/1,2024-10-23T10:31:08Z,2024-10-23T10:31:47Z,0,2,MERGED
