repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ui,Color tokens,https://github.com/praxis-isncsci/ui/pull/10,2023-07-25T15:59:32Z,2023-08-17T16:57:26Z,3,1,MERGED
ui,Input layout component,https://github.com/praxis-isncsci/ui/pull/8,2023-07-12T18:31:48Z,2023-08-31T18:06:26Z,0,1,MERGED
ui,Add Storybook,https://github.com/praxis-isncsci/ui/pull/7,2023-07-02T15:21:52Z,2023-07-04T04:48:10Z,0,2,MERGED
ui,Setup Docker for Ionic development,https://github.com/praxis-isncsci/ui/pull/6,2023-06-30T21:21:12Z,2023-06-30T21:21:54Z,0,1,MERGED
ui,[Classification dialog] Responsive dialog,https://github.com/praxis-isncsci/ui/pull/82,2023-10-28T06:11:09Z,2023-10-28T06:14:29Z,1,2,MERGED
ui,Dialog header,https://github.com/praxis-isncsci/ui/pull/81,2023-10-28T05:33:06Z,2023-10-28T05:35:25Z,1,1,MERGED
ui,Chromatic CI build is failing,https://github.com/praxis-isncsci/ui/pull/80,2023-10-27T06:24:14Z,2023-10-27T16:33:38Z,4,1,MERGED
ui,App bar,https://github.com/praxis-isncsci/ui/pull/78,2023-10-26T23:41:30Z,2023-10-27T17:30:17Z,2,3,MERGED
ui,+ Calculator icon,https://github.com/praxis-isncsci/ui/pull/76,2023-10-24T17:05:30Z,2023-10-24T17:07:54Z,1,1,MERGED
ui,Hamburger menu icon,https://github.com/praxis-isncsci/ui/pull/75,2023-10-23T23:34:23Z,2023-10-23T23:45:33Z,2,1,MERGED
ui,Classification grid,https://github.com/praxis-isncsci/ui/pull/71,2023-10-21T01:08:02Z,2023-10-21T01:18:06Z,2,3,MERGED
ui,+ upload artifact,https://github.com/praxis-isncsci/ui/pull/69,2023-10-18T00:24:32Z,2024-01-13T01:00:18Z,2,7,CLOSED
ui,[bug] App package does not include all files,https://github.com/praxis-isncsci/ui/pull/67,2023-10-17T00:07:18Z,2023-10-17T00:09:39Z,1,1,MERGED
ui,Added store and provider exports to package,https://github.com/praxis-isncsci/ui/pull/65,2023-10-16T22:10:43Z,2023-10-16T22:14:27Z,1,1,MERGED
