repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,MVP: Fonts & Typography,https://github.com/prenda-school/design-system/pull/16,2021-03-29T21:48:32Z,2021-04-20T15:30:31Z,4,24,MERGED
design-system,Fix warnings,https://github.com/prenda-school/design-system/pull/15,2021-03-29T16:29:32Z,2021-03-30T16:54:00Z,1,3,MERGED
design-system,Icons,https://github.com/prenda-school/design-system/pull/13,2021-03-15T21:50:19Z,2021-04-20T15:55:03Z,15,9,MERGED
design-system,Update components to use theme.,https://github.com/prenda-school/design-system/pull/11,2021-03-13T00:59:09Z,2021-03-16T16:17:24Z,5,15,MERGED
design-system,Implement illustration,https://github.com/prenda-school/design-system/pull/10,2021-03-11T23:48:12Z,2021-03-12T16:17:45Z,1,3,MERGED
design-system,updated index to include newly created additions for palette,https://github.com/prenda-school/design-system/pull/9,2021-03-11T13:41:39Z,2021-03-11T17:12:52Z,1,1,MERGED
design-system,Convert JS Theme to TS.,https://github.com/prenda-school/design-system/pull/8,2021-03-11T00:33:06Z,2021-03-11T05:29:10Z,0,6,MERGED
design-system,Add color constants and use in buttons,https://github.com/prenda-school/design-system/pull/7,2021-03-08T19:02:08Z,2021-03-11T18:34:45Z,1,2,CLOSED
design-system,Added success state to Input.,https://github.com/prenda-school/design-system/pull/5,2021-03-03T01:20:44Z,2021-03-03T01:21:04Z,0,3,MERGED
design-system,Add radio component,https://github.com/prenda-school/design-system/pull/4,2021-02-23T15:21:04Z,2021-02-23T22:49:52Z,0,1,MERGED
design-system,Change storybook imports,https://github.com/prenda-school/design-system/pull/3,2021-02-20T00:14:29Z,2021-02-22T16:18:32Z,0,2,MERGED
design-system,Moving from create-react-library to TSDX,https://github.com/prenda-school/design-system/pull/2,2021-02-16T20:22:56Z,2021-02-16T20:29:15Z,0,16,MERGED
design-system,Nx rewrite,https://github.com/prenda-school/design-system/pull/39,2021-05-17T21:07:37Z,2021-05-21T20:24:52Z,28,19,MERGED
design-system,Add: CI testing flow for PR's and Pushes to main,https://github.com/prenda-school/design-system/pull/30,2021-05-05T21:59:55Z,2021-05-10T15:47:47Z,0,3,MERGED
design-system,New: Dropdown,https://github.com/prenda-school/design-system/pull/29,2021-05-04T16:40:14Z,2021-05-10T22:32:29Z,1,7,MERGED
design-system,Fix tests,https://github.com/prenda-school/design-system/pull/28,2021-05-03T18:36:22Z,2021-05-05T18:54:23Z,0,2,MERGED
design-system,"Refactor: Button - styling updates, pass thru props, stricter API (breaking)",https://github.com/prenda-school/design-system/pull/27,2021-05-03T18:16:09Z,2021-05-10T21:56:24Z,4,12,MERGED
design-system,Refactor: Checkbox - better icons & props handling,https://github.com/prenda-school/design-system/pull/26,2021-04-30T14:35:54Z,2021-05-10T22:24:59Z,0,5,MERGED
design-system,Refactor: Radio - proper icons & improved prop handling,https://github.com/prenda-school/design-system/pull/25,2021-04-29T19:49:26Z,2021-05-10T22:16:57Z,0,8,MERGED
design-system,Override TSDX; Upgrade storybook; Fix build errors,https://github.com/prenda-school/design-system/pull/24,2021-04-28T17:23:56Z,2021-05-10T21:48:19Z,4,15,MERGED
design-system,"Revert ""Add logos""",https://github.com/prenda-school/design-system/pull/23,2021-04-28T00:18:17Z,2021-04-28T17:19:27Z,1,1,CLOSED
design-system,Rewrite: Input,https://github.com/prenda-school/design-system/pull/22,2021-04-27T22:23:21Z,2021-05-03T17:35:32Z,3,8,MERGED
design-system,Nunito fonts,https://github.com/prenda-school/design-system/pull/21,2021-04-26T22:53:00Z,2021-04-27T22:15:59Z,0,3,MERGED
design-system,Button props,https://github.com/prenda-school/design-system/pull/20,2021-04-23T20:49:31Z,2021-05-08T21:07:43Z,3,7,MERGED
design-system,Icons -- theme usage update,https://github.com/prenda-school/design-system/pull/19,2021-04-22T16:03:51Z,2021-04-26T18:57:25Z,1,14,MERGED
design-system,Add logos,https://github.com/prenda-school/design-system/pull/18,2021-04-08T16:06:58Z,2021-04-28T00:13:06Z,3,3,MERGED
design-system,npm audit autofix,https://github.com/prenda-school/design-system/pull/17,2021-04-01T15:48:29Z,2021-04-20T15:20:58Z,1,1,MERGED
design-system,chore(release): 0.9.0,https://github.com/prenda-school/design-system/pull/176,2021-07-29T18:16:33Z,2021-07-30T13:03:30Z,3,3,MERGED
design-system,feat(SvgIcon): make default color 'inherit'; use in @prenda/spark-icons; expand colors; improve props,https://github.com/prenda-school/design-system/pull/174,2021-07-29T16:47:33Z,2021-07-29T17:30:57Z,0,4,MERGED
design-system,"feat(IconButton)!: update prop values, favor overrides, update styles",https://github.com/prenda-school/design-system/pull/173,2021-07-28T19:19:47Z,2021-07-29T13:51:32Z,1,2,MERGED
design-system,fix: overlapping class name generation with consumers,https://github.com/prenda-school/design-system/pull/171,2021-07-28T16:08:58Z,2021-07-28T23:32:27Z,1,2,MERGED
design-system,feat: simplify dependency narrative,https://github.com/prenda-school/design-system/pull/169,2021-07-28T04:14:51Z,2021-07-28T16:00:25Z,3,14,MERGED
design-system,chore(gha): add steps to publish @prenda/spark-icons,https://github.com/prenda-school/design-system/pull/168,2021-07-22T21:21:23Z,2021-07-26T14:19:47Z,2,1,MERGED
design-system,feat(NavBarLink)!: renamed to NavBarButton; improved styles,https://github.com/prenda-school/design-system/pull/166,2021-07-22T19:28:28Z,2021-07-23T22:23:08Z,7,11,MERGED
design-system,feat(ListItem): transfer disabled class style overrides from MenuItem,https://github.com/prenda-school/design-system/pull/163,2021-07-22T16:17:02Z,2021-07-23T20:56:42Z,0,1,MERGED
design-system,chore(spark): internalize icons,https://github.com/prenda-school/design-system/pull/161,2021-07-16T20:29:20Z,2021-07-21T16:57:57Z,0,2,MERGED
design-system,chore(spark): add media avatar assets,https://github.com/prenda-school/design-system/pull/160,2021-07-16T18:35:51Z,2021-07-20T17:45:38Z,0,1,MERGED
design-system,feat(Button): update styles,https://github.com/prenda-school/design-system/pull/158,2021-07-15T20:43:21Z,2021-07-20T17:46:48Z,0,1,MERGED
design-system,chore(ci): reduce chromatic workflow runs,https://github.com/prenda-school/design-system/pull/155,2021-07-15T13:20:44Z,2021-07-15T16:07:15Z,0,1,MERGED
design-system,feat(TextField): add theme-level style overrides,https://github.com/prenda-school/design-system/pull/153,2021-07-13T14:46:46Z,2021-07-14T15:10:48Z,0,1,MERGED
design-system,feat(spark)!: remove illustrations and logos,https://github.com/prenda-school/design-system/pull/146,2021-07-12T14:27:06Z,2021-07-16T19:46:17Z,0,2,MERGED
design-system,feat(IconButton)!: remove custom implementation in favor of overrides,https://github.com/prenda-school/design-system/pull/145,2021-07-12T14:23:29Z,2021-07-28T19:41:10Z,2,3,CLOSED
design-system,feat(Button)!: remove custom implementation in favor of overrides,https://github.com/prenda-school/design-system/pull/144,2021-07-12T14:20:41Z,2021-07-14T15:13:42Z,0,5,MERGED
design-system,feat(IconButton): update stylings,https://github.com/prenda-school/design-system/pull/143,2021-07-12T14:17:59Z,2021-07-13T14:47:38Z,0,1,MERGED
design-system,feat(Button): update stylings,https://github.com/prenda-school/design-system/pull/142,2021-07-12T14:15:46Z,2021-07-13T14:25:09Z,0,2,MERGED
design-system,feat(spark-icons): add illustrations and logos,https://github.com/prenda-school/design-system/pull/141,2021-07-12T13:54:31Z,2021-07-16T17:29:58Z,1,2,MERGED
