repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
qgds-bootstrap5,Initial setup,https://github.com/qld-gov-au/qgds-bootstrap5/pull/2,2023-12-19T00:27:40Z,2023-12-19T00:27:45Z,0,1,MERGED
qgds-bootstrap5,Initial commit POC with templates,https://github.com/qld-gov-au/qgds-bootstrap5/pull/1,2023-12-18T23:53:07Z,2023-12-18T23:53:36Z,0,1,MERGED
qgds-bootstrap5,Add CICD - Develop branch edition,https://github.com/qld-gov-au/qgds-bootstrap5/pull/23,2024-03-29T04:44:11Z,2024-04-02T02:10:44Z,2,3,MERGED
qgds-bootstrap5,Add CICD,https://github.com/qld-gov-au/qgds-bootstrap5/pull/21,2024-03-29T03:43:31Z,2024-04-02T01:07:31Z,0,2,MERGED
qgds-bootstrap5,QOLOE-11 Blockquote Component,https://github.com/qld-gov-au/qgds-bootstrap5/pull/20,2024-03-27T23:06:09Z,2024-03-31T09:58:52Z,2,5,MERGED
qgds-bootstrap5,QOLOE-53 Typography,https://github.com/qld-gov-au/qgds-bootstrap5/pull/19,2024-03-27T07:10:37Z,2024-03-28T00:17:24Z,0,10,MERGED
qgds-bootstrap5,QOLOE-13 Button,https://github.com/qld-gov-au/qgds-bootstrap5/pull/18,2024-03-26T06:50:54Z,2024-04-03T06:32:25Z,3,7,CLOSED
qgds-bootstrap5,QOLOE-20 Accordion,https://github.com/qld-gov-au/qgds-bootstrap5/pull/17,2024-03-26T06:11:21Z,2024-03-27T05:17:10Z,1,7,MERGED
qgds-bootstrap5,QOLOE-12 Breadcrumbs,https://github.com/qld-gov-au/qgds-bootstrap5/pull/15,2024-03-13T06:27:34Z,2024-03-15T00:00:15Z,0,10,MERGED
qgds-bootstrap5,QOLOE-14 Callout,https://github.com/qld-gov-au/qgds-bootstrap5/pull/14,2024-03-13T04:36:43Z,2024-03-15T00:17:10Z,1,6,MERGED
qgds-bootstrap5,Storybook upgrade to 8.0.0,https://github.com/qld-gov-au/qgds-bootstrap5/pull/13,2024-03-12T05:20:19Z,2024-03-13T01:23:51Z,0,1,MERGED
qgds-bootstrap5,QOLOE-23 Global Alert component,https://github.com/qld-gov-au/qgds-bootstrap5/pull/12,2024-03-06T23:51:27Z,2024-03-12T22:45:03Z,0,3,MERGED
qgds-bootstrap5,QOLOE-53 typography updates,https://github.com/qld-gov-au/qgds-bootstrap5/pull/11,2024-03-05T03:24:33Z,2024-03-05T03:27:27Z,0,2,MERGED
qgds-bootstrap5,QOLOE-24 Introducing Tag component,https://github.com/qld-gov-au/qgds-bootstrap5/pull/10,2024-02-29T11:39:10Z,2024-03-06T00:19:32Z,0,12,MERGED
qgds-bootstrap5,QOLOE-55 replacing mustache with HBS and cleaning up component filenames,https://github.com/qld-gov-au/qgds-bootstrap5/pull/8,2024-02-20T12:46:56Z,2024-02-20T12:47:50Z,0,1,MERGED
qgds-bootstrap5,QOLOE-52 ESbuild build script and config,https://github.com/qld-gov-au/qgds-bootstrap5/pull/7,2024-02-20T11:19:49Z,2024-02-20T11:24:47Z,0,3,MERGED
qgds-bootstrap5,QOLOE-8 Commit a baseline to main branch,https://github.com/qld-gov-au/qgds-bootstrap5/pull/5,2024-02-12T15:43:25Z,2024-02-13T11:52:32Z,0,8,MERGED
qgds-bootstrap5,Readme,https://github.com/qld-gov-au/qgds-bootstrap5/pull/4,2024-01-16T04:59:29Z,2024-02-13T01:11:59Z,1,3,CLOSED
qgds-bootstrap5,Add eslint to the project,https://github.com/qld-gov-au/qgds-bootstrap5/pull/3,2024-01-02T04:35:15Z,2024-01-11T13:21:41Z,0,1,MERGED
qgds-bootstrap5,QOLOE-22 Customising gutter value,https://github.com/qld-gov-au/qgds-bootstrap5/pull/180,2024-05-31T06:57:29Z,2024-06-12T23:16:13Z,8,5,MERGED
qgds-bootstrap5,QOLOE-172 Action tag QA,https://github.com/qld-gov-au/qgds-bootstrap5/pull/179,2024-05-31T06:38:32Z,2024-05-31T07:14:55Z,0,2,MERGED
