repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
plasma,Генерация токенов и вычисление device scale,https://github.com/sberdevices/plasma/pull/36,2020-10-30T18:34:06Z,2020-11-05T11:46:02Z,11,3,MERGED
plasma,Добавить шаг prepare в публикацию пакетов,https://github.com/sberdevices/plasma/pull/34,2020-10-30T11:58:11Z,2020-10-30T12:32:10Z,2,2,MERGED
plasma,feat(ui): Переход на общий фокус-миксин,https://github.com/sberdevices/plasma/pull/33,2020-10-30T11:28:09Z,2020-10-30T15:53:47Z,4,1,MERGED
plasma,"Убраны зависимости от приватных пакетов, заменен logo",https://github.com/sberdevices/plasma/pull/32,2020-10-30T09:43:57Z,2020-10-30T12:04:42Z,3,3,MERGED
plasma,fix: add bootstrap in deploy script [skip ci],https://github.com/sberdevices/plasma/pull/31,2020-10-29T11:24:27Z,2020-10-29T12:15:26Z,1,1,MERGED
plasma,Добавлен скрипт и конфиг для деплоя документации,https://github.com/sberdevices/plasma/pull/30,2020-10-29T09:53:05Z,2020-10-29T11:02:49Z,1,3,MERGED
plasma,feat(ui): переработаны Button и ActionButton,https://github.com/sberdevices/plasma/pull/29,2020-10-29T09:26:09Z,2020-10-29T13:28:31Z,0,1,MERGED
plasma,feat(ui): add Cell component,https://github.com/sberdevices/plasma/pull/28,2020-10-28T19:48:25Z,2020-11-10T13:49:57Z,2,1,CLOSED
plasma,ci: add gh-pages action [skip ci],https://github.com/sberdevices/plasma/pull/27,2020-10-28T10:53:06Z,2020-10-28T10:55:02Z,0,1,MERGED
plasma,"Добавлен eslint в CI, фикс линтовых ошибок в пакетах",https://github.com/sberdevices/plasma/pull/26,2020-10-28T06:34:28Z,2020-10-30T15:33:21Z,6,9,MERGED
plasma,feat(ui): использование Button beforeFocusOutline,https://github.com/sberdevices/plasma/pull/22,2020-10-27T15:25:36Z,2020-10-28T11:41:35Z,0,1,MERGED
plasma,fix(ui): Button-clear:focus background,https://github.com/sberdevices/plasma/pull/20,2020-10-27T14:24:00Z,2020-10-28T13:20:00Z,1,1,CLOSED
plasma,Выносим общие стили views из Button,https://github.com/sberdevices/plasma/pull/17,2020-10-27T11:14:59Z,2020-10-27T13:44:24Z,0,1,MERGED
plasma,Добавить иконки для новостей,https://github.com/sberdevices/plasma/pull/16,2020-10-27T09:34:20Z,2020-10-27T10:15:53Z,0,1,MERGED
plasma,Create CONTRIBUTING.md [skip ci],https://github.com/sberdevices/plasma/pull/15,2020-10-27T08:51:57Z,2020-10-29T05:07:26Z,2,2,MERGED
plasma,Общий фокус-миксин,https://github.com/sberdevices/plasma/pull/11,2020-10-26T21:40:49Z,2020-10-30T11:04:02Z,8,1,MERGED
plasma,test: test commit,https://github.com/sberdevices/plasma/pull/10,2020-10-26T21:18:31Z,2020-10-26T21:22:38Z,0,1,CLOSED
plasma,ci: add chromatic to ui,https://github.com/sberdevices/plasma/pull/9,2020-10-26T18:49:22Z,2020-10-26T21:13:21Z,0,1,MERGED
plasma,TEST CI,https://github.com/sberdevices/plasma/pull/8,2020-10-26T15:22:52Z,2020-10-26T21:17:22Z,0,2,CLOSED
plasma,fix: license,https://github.com/sberdevices/plasma/pull/7,2020-10-26T15:07:37Z,2020-10-26T15:15:57Z,0,1,MERGED
plasma,fix(ui): url to repo,https://github.com/sberdevices/plasma/pull/6,2020-10-26T14:33:43Z,2020-10-26T14:51:52Z,0,1,MERGED
plasma,TEST CI,https://github.com/sberdevices/plasma/pull/5,2020-10-26T13:44:10Z,2020-10-26T17:57:44Z,0,1,CLOSED
plasma,ci: fix deps,https://github.com/sberdevices/plasma/pull/4,2020-10-26T13:41:09Z,2020-10-26T14:00:37Z,1,4,MERGED
plasma,Переводим Grid на абсолютные размеры,https://github.com/sberdevices/plasma/pull/3,2020-10-26T13:03:40Z,2020-10-27T09:48:55Z,1,1,MERGED
plasma,ci: fix actions,https://github.com/sberdevices/plasma/pull/2,2020-10-26T13:00:36Z,2020-10-26T13:11:26Z,0,1,MERGED
plasma,Изменения для Card (и немного для Button и Badge),https://github.com/sberdevices/plasma/pull/1,2020-10-26T12:45:08Z,2020-10-27T11:01:37Z,3,5,MERGED
plasma,ci: рефакторинг билда документации,https://github.com/sberdevices/plasma/pull/134,2020-12-30T12:19:47Z,2021-01-11T08:47:11Z,2,1,MERGED
plasma,feat(plasma-icons): новые иконки,https://github.com/sberdevices/plasma/pull/133,2020-12-30T08:52:12Z,2020-12-30T10:48:27Z,2,1,MERGED
plasma,fix(ui): Типизация пропсов Button,https://github.com/sberdevices/plasma/pull/132,2020-12-28T19:02:54Z,2020-12-29T15:10:31Z,2,1,MERGED
plasma,feat(ui): Определение/Увеличение центрального элемента в Carousel,https://github.com/sberdevices/plasma/pull/131,2020-12-28T16:24:19Z,2020-12-30T14:08:13Z,10,1,MERGED
plasma,feat(ui): Определение/Увеличение центрального элемента в Carousel (2),https://github.com/sberdevices/plasma/pull/130,2020-12-28T16:21:15Z,2020-12-28T16:22:11Z,0,1,CLOSED
plasma,feat(ui): проброс реф в компонент Carousel,https://github.com/sberdevices/plasma/pull/129,2020-12-28T15:16:44Z,2020-12-29T10:39:01Z,1,1,MERGED
plasma,fix: ошибка при работе auto-плагина,https://github.com/sberdevices/plasma/pull/128,2020-12-25T12:21:46Z,2020-12-25T12:32:57Z,1,1,MERGED
plasma,ci: добавлен билд документации,https://github.com/sberdevices/plasma/pull/127,2020-12-25T12:02:14Z,2020-12-29T13:03:02Z,8,3,MERGED
plasma,feat(plasma-icons): добавлена иконка feedback,https://github.com/sberdevices/plasma/pull/126,2020-12-23T10:17:27Z,2020-12-25T07:19:22Z,1,1,MERGED
plasma,feat(ui): добавлен компонент Toast,https://github.com/sberdevices/plasma/pull/125,2020-12-23T07:23:36Z,2020-12-28T09:13:09Z,4,4,MERGED
plasma,Убраны rem-ы из html svg,https://github.com/sberdevices/plasma/pull/122,2020-12-18T11:13:37Z,2020-12-21T09:14:41Z,2,2,MERGED
plasma,Обновление токенов плазмы,https://github.com/sberdevices/plasma/pull/121,2020-12-18T10:36:19Z,2020-12-21T10:45:46Z,8,3,MERGED
plasma,Обновлен readme для иконок,https://github.com/sberdevices/plasma/pull/120,2020-12-17T09:58:54Z,2020-12-18T07:31:52Z,1,1,MERGED
