repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
scm-manager,Simplified secondary navigation,https://github.com/scm-manager/scm-manager/pull/1086,2020-03-31T11:53:09Z,2020-03-31T15:16:35Z,0,13,MERGED
scm-manager,Feature/collapsible container,https://github.com/scm-manager/scm-manager/pull/1085,2020-03-31T09:19:13Z,2020-03-31T12:41:46Z,4,4,CLOSED
scm-manager,[Snyk] Upgrade org.kohsuke.metainf-services:metainf-services from 1.7 to 1.8,https://github.com/scm-manager/scm-manager/pull/1084,2020-03-31T06:35:07Z,2020-03-31T07:47:34Z,0,1,MERGED
scm-manager,[Snyk] Upgrade @pmmmwh/react-refresh-webpack-plugin from 0.1.3 to 0.2.0,https://github.com/scm-manager/scm-manager/pull/1083,2020-03-31T04:41:41Z,2020-03-31T12:19:49Z,0,1,MERGED
scm-manager,[Snyk] Upgrade com.fasterxml.jackson.core:jackson-databind from 2.10.2 to 2.10.3,https://github.com/scm-manager/scm-manager/pull/1082,2020-03-30T22:15:58Z,2020-03-31T06:54:26Z,0,1,MERGED
scm-manager,Fix authentication for repositories with anonymous read access,https://github.com/scm-manager/scm-manager/pull/1081,2020-03-30T10:38:10Z,2020-03-30T12:32:40Z,0,1,MERGED
scm-manager,Feature/favourite repository,https://github.com/scm-manager/scm-manager/pull/1080,2020-03-26T10:47:21Z,2020-03-26T11:54:13Z,0,18,MERGED
scm-manager,Feature/real jvm restart,https://github.com/scm-manager/scm-manager/pull/1079,2020-03-25T07:49:42Z,2020-03-26T07:36:42Z,0,19,MERGED
scm-manager,Bugfix/text overflow,https://github.com/scm-manager/scm-manager/pull/1078,2020-03-24T11:06:03Z,2020-03-26T07:33:05Z,0,6,MERGED
scm-manager,Added ErrorBoundary to MarkdownView,https://github.com/scm-manager/scm-manager/pull/1077,2020-03-24T06:46:39Z,2020-03-24T10:09:26Z,0,11,MERGED
scm-manager,[Snyk] Upgrade react-refresh from 0.7.2 to 0.8.0,https://github.com/scm-manager/scm-manager/pull/1076,2020-03-23T04:43:00Z,2020-03-30T16:44:43Z,0,1,MERGED
scm-manager,[Snyk] Upgrade mini-css-extract-plugin from 0.8.2 to 0.9.0,https://github.com/scm-manager/scm-manager/pull/1075,2020-03-23T04:42:55Z,2020-03-30T16:54:22Z,0,2,MERGED
scm-manager,[Snyk] Upgrade javax.xml.bind:jaxb-api from 2.3.0 to 2.3.1,https://github.com/scm-manager/scm-manager/pull/1074,2020-03-22T01:37:36Z,2020-03-30T13:06:38Z,0,1,MERGED
scm-manager,[Snyk] Upgrade commons-codec:commons-codec from 1.13 to 1.14,https://github.com/scm-manager/scm-manager/pull/1073,2020-03-22T01:37:32Z,2020-03-22T09:06:22Z,0,1,MERGED
scm-manager,[Snyk] Upgrade org.hibernate.validator:hibernate-validator from 6.1.0.Final to 6.1.2.Final,https://github.com/scm-manager/scm-manager/pull/1072,2020-03-22T01:37:27Z,2020-03-22T07:17:40Z,0,1,MERGED
scm-manager,[Snyk] Upgrade org.jboss.resteasy:resteasy-jackson2-provider from 4.4.2.Final to 4.5.1.Final,https://github.com/scm-manager/scm-manager/pull/1071,2020-03-21T03:23:40Z,2020-03-30T16:30:13Z,1,1,CLOSED
scm-manager,[Snyk] Upgrade io.jsonwebtoken:jjwt-api from 0.10.5 to 0.11.0,https://github.com/scm-manager/scm-manager/pull/1070,2020-03-21T01:35:23Z,2020-03-21T16:53:21Z,0,1,MERGED
scm-manager,[Snyk] Upgrade org.junit-pioneer:junit-pioneer from 0.3.0 to 0.5.4,https://github.com/scm-manager/scm-manager/pull/1069,2020-03-21T01:00:14Z,2020-03-21T16:53:51Z,0,1,MERGED
scm-manager,[Snyk] Upgrade org.eclipse.jetty:jetty-jmx from 9.4.26.v20200117 to 9.4.27.v20200227,https://github.com/scm-manager/scm-manager/pull/1068,2020-03-20T21:16:12Z,2020-03-21T16:52:55Z,0,1,MERGED
scm-manager,Changeover to MIT license,https://github.com/scm-manager/scm-manager/pull/1066,2020-03-20T13:08:31Z,2020-03-23T14:35:59Z,0,26,MERGED
scm-manager,Feature/use buildin eventsource,https://github.com/scm-manager/scm-manager/pull/1065,2020-03-20T11:40:13Z,2020-03-23T08:59:13Z,2,6,MERGED
scm-manager,Update jaxb version,https://github.com/scm-manager/scm-manager/pull/1064,2020-03-20T11:01:17Z,2020-03-20T11:32:03Z,0,1,MERGED
scm-manager,Feature/speed up ci,https://github.com/scm-manager/scm-manager/pull/1063,2020-03-20T07:38:54Z,2020-03-20T09:53:05Z,0,11,MERGED
scm-manager,[Snyk] Upgrade org.assertj:assertj-core from 3.10.0 to 3.15.0,https://github.com/scm-manager/scm-manager/pull/1062,2020-03-20T01:00:11Z,2020-03-20T11:27:36Z,0,2,MERGED
