repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react,Add missing return types,https://github.com/seamapi/react/pull/200,2023-05-31T05:01:28Z,2023-05-31T06:01:01Z,0,6,MERGED
react,Bundle custom elements (web components),https://github.com/seamapi/react/pull/199,2023-05-30T22:37:55Z,2023-06-02T15:35:53Z,6,23,MERGED
react,Add hooks entrypoint,https://github.com/seamapi/react/pull/197,2023-05-30T21:39:49Z,2023-05-30T21:55:32Z,0,7,MERGED
react,feat: Add issue icon to access code row,https://github.com/seamapi/react/pull/196,2023-05-30T20:34:15Z,2023-05-30T21:49:22Z,4,7,MERGED
react,ci: Use JS-DevTools/npm-publish action,https://github.com/seamapi/react/pull/195,2023-05-30T20:33:03Z,2023-05-30T21:47:52Z,0,1,MERGED
react,Use fixed seed dates for storybook,https://github.com/seamapi/react/pull/194,2023-05-30T20:31:58Z,2023-05-30T21:48:04Z,0,3,MERGED
react,fix: Lock icons swapped,https://github.com/seamapi/react/pull/193,2023-05-30T16:52:57Z,2023-05-30T17:16:37Z,0,2,MERGED
react,feat(`AccessCodeTable`): add search,https://github.com/seamapi/react/pull/192,2023-05-29T04:54:02Z,2023-05-29T19:23:30Z,0,1,MERGED
react,fix: avoid style injection,https://github.com/seamapi/react/pull/191,2023-05-28T08:04:17Z,2023-05-28T08:25:59Z,5,3,CLOSED
react,Use correct CSS version when injecting link tag,https://github.com/seamapi/react/pull/187,2023-05-27T01:22:01Z,2023-05-27T02:02:47Z,7,5,MERGED
react,Minor prop and name fixes,https://github.com/seamapi/react/pull/185,2023-05-27T00:29:11Z,2023-05-27T17:26:52Z,1,19,MERGED
react,docs: Proxy unpkg,https://github.com/seamapi/react/pull/184,2023-05-27T00:11:41Z,2023-05-27T00:54:06Z,2,7,MERGED
react,feat: Automatic style loading,https://github.com/seamapi/react/pull/182,2023-05-26T22:27:31Z,2023-05-26T23:19:29Z,3,4,MERGED
react,feat(`DeviceTable`): Add search,https://github.com/seamapi/react/pull/180,2023-05-26T08:47:01Z,2023-05-26T14:40:53Z,0,4,MERGED
react,Followups to pull requests,https://github.com/seamapi/react/pull/178,2023-05-25T23:34:48Z,2023-05-26T02:49:13Z,0,24,MERGED
react,Update CSP documentation,https://github.com/seamapi/react/pull/177,2023-05-25T22:34:06Z,2023-05-26T00:04:28Z,0,1,MERGED
react,fix(`AccessCodeTable`): device name was always hardcoded as Unit 110,https://github.com/seamapi/react/pull/176,2023-05-25T10:00:41Z,2023-05-25T18:33:00Z,0,1,MERGED
react,feat(`AccessCodeTable` & `DeviceTable`): truncate long names,https://github.com/seamapi/react/pull/175,2023-05-25T09:57:23Z,2023-05-25T19:00:51Z,0,7,MERGED
react,feat(`DeviceTable`): Add health bar filter,https://github.com/seamapi/react/pull/174,2023-05-25T03:20:52Z,2023-05-25T18:31:53Z,9,13,MERGED
react,feat(`DeviceTable` & `AccessCodeTable`): show empty placeholders,https://github.com/seamapi/react/pull/172,2023-05-24T08:37:20Z,2023-05-25T01:57:54Z,3,5,MERGED
react,csp image fix,https://github.com/seamapi/react/pull/171,2023-05-23T22:57:22Z,2023-05-23T23:02:44Z,0,1,MERGED
react,another image url fix,https://github.com/seamapi/react/pull/170,2023-05-23T22:32:35Z,2023-05-23T22:53:51Z,0,1,MERGED
react,feat: Add filter and search area to `<SupportedDevices />`,https://github.com/seamapi/react/pull/169,2023-05-23T21:45:18Z,2023-05-26T18:58:53Z,27,72,MERGED
react,Fix CSP,https://github.com/seamapi/react/pull/168,2023-05-23T21:41:40Z,2023-05-23T21:56:58Z,0,2,MERGED
react,feat: Export `<SupportedDevices />`,https://github.com/seamapi/react/pull/167,2023-05-23T21:41:06Z,2023-05-23T22:00:26Z,0,3,MERGED
react,temporarily disable csp plugin,https://github.com/seamapi/react/pull/166,2023-05-23T20:59:03Z,2023-05-23T21:08:49Z,0,2,MERGED
react,fix: Disable `no-descending-specificity` lint rule,https://github.com/seamapi/react/pull/165,2023-05-23T17:15:03Z,2023-05-23T19:25:41Z,1,1,MERGED
react,feat: Add `SupportedDevices` component,https://github.com/seamapi/react/pull/164,2023-05-22T21:04:28Z,2023-05-23T19:26:18Z,5,24,MERGED
react,Access code Table - Add ability to copy code & <Menu/>,https://github.com/seamapi/react/pull/163,2023-05-19T08:01:56Z,2023-05-19T10:49:06Z,3,7,MERGED
react,fix: Bump `fake-seam-connect`,https://github.com/seamapi/react/pull/162,2023-05-19T03:33:02Z,2023-05-19T15:05:25Z,0,1,MERGED
react,make it possible to use client session tokens with SeamProvider,https://github.com/seamapi/react/pull/161,2023-05-19T02:07:52Z,2023-05-19T02:19:20Z,1,1,MERGED
react,<SupportedDevices /> component,https://github.com/seamapi/react/pull/160,2023-05-19T01:03:12Z,2023-05-22T21:04:50Z,3,15,CLOSED
react,Device / Access Code - add more fake data,https://github.com/seamapi/react/pull/159,2023-05-18T03:00:21Z,2023-05-18T09:10:35Z,0,1,MERGED
react,Always use the fake (unless very explicitly opted out),https://github.com/seamapi/react/pull/155,2023-05-17T12:12:47Z,2023-05-19T00:02:26Z,7,14,MERGED
react,Hard-code IDs in storybook,https://github.com/seamapi/react/pull/154,2023-05-17T00:36:38Z,2023-05-17T10:37:41Z,2,13,MERGED
react,Enable read-only fake api for production storybook,https://github.com/seamapi/react/pull/153,2023-05-17T00:13:17Z,2023-05-17T10:36:40Z,1,5,MERGED
react,AccessCodeTable - use <AccessCodeTable/> in story,https://github.com/seamapi/react/pull/151,2023-05-16T03:32:25Z,2023-05-16T03:48:21Z,0,1,MERGED
react,feat: Add `Alert` component,https://github.com/seamapi/react/pull/149,2023-05-15T17:17:42Z,2023-05-23T21:36:45Z,4,40,MERGED
react,Device - Add lock/unlock,https://github.com/seamapi/react/pull/148,2023-05-15T13:14:09Z,2023-05-16T03:25:18Z,13,13,MERGED
react,Move icons to assets folder,https://github.com/seamapi/react/pull/147,2023-05-13T03:17:17Z,2023-05-15T01:22:17Z,0,2,MERGED
react,Move logic dependent on current time to hook,https://github.com/seamapi/react/pull/146,2023-05-13T02:14:01Z,2023-05-14T00:16:51Z,0,1,MERGED
react,Various updates to follow up recent PRs,https://github.com/seamapi/react/pull/145,2023-05-13T00:22:08Z,2023-05-13T02:39:55Z,1,22,MERGED
react,feat: Remove useFakeDevice,https://github.com/seamapi/react/pull/142,2023-05-12T18:59:04Z,2023-05-13T00:42:18Z,0,1,CLOSED
react,"Revert ""feat: Merge pull request #136 from seamapi/navigation""",https://github.com/seamapi/react/pull/140,2023-05-12T18:32:24Z,2023-05-12T18:39:04Z,1,1,MERGED
react,Nested Navigation,https://github.com/seamapi/react/pull/139,2023-05-12T18:13:45Z,2023-05-12T18:51:28Z,1,4,MERGED
react,Add <NavigationProvider/> to <SeamProvider/>,https://github.com/seamapi/react/pull/138,2023-05-12T14:17:52Z,2023-05-12T18:46:49Z,2,1,CLOSED
react,Nested Component Navigation,https://github.com/seamapi/react/pull/137,2023-05-12T14:03:01Z,2023-05-12T16:01:56Z,2,3,MERGED
react,Component Navigation,https://github.com/seamapi/react/pull/136,2023-05-12T12:37:18Z,2023-05-12T16:01:54Z,8,11,MERGED
react,Access code details,https://github.com/seamapi/react/pull/135,2023-05-12T10:17:04Z,2023-05-12T11:58:21Z,1,11,MERGED
react,Export all components and hooks,https://github.com/seamapi/react/pull/132,2023-05-12T06:10:23Z,2023-05-12T07:49:12Z,0,14,MERGED
react,Always use open/toggleOpen,https://github.com/seamapi/react/pull/130,2023-05-12T05:45:42Z,2023-05-12T06:51:34Z,0,1,MERGED
react,Replace DeviceManager with DeviceTable,https://github.com/seamapi/react/pull/129,2023-05-12T05:42:43Z,2023-05-12T07:27:17Z,0,9,MERGED
react,Strict CSP,https://github.com/seamapi/react/pull/128,2023-05-11T21:55:34Z,2023-05-12T23:21:56Z,1,14,MERGED
react,Limit semantic release branch triggers,https://github.com/seamapi/react/pull/126,2023-05-11T18:06:12Z,2023-05-12T15:56:04Z,0,1,MERGED
react,Device Table,https://github.com/seamapi/react/pull/124,2023-05-11T16:00:31Z,2023-05-12T04:28:58Z,13,13,MERGED
