repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
evergreen,Fix doc comment for isNumber prop,https://github.com/segmentio/evergreen/pull/600,2019-07-18T08:24:32Z,2019-08-19T16:41:53Z,2,1,MERGED
evergreen,Add types to Textarea,https://github.com/segmentio/evergreen/pull/599,2019-07-17T13:33:57Z,2019-07-25T13:38:12Z,6,4,MERGED
evergreen,Add types to majorScale & minorScale,https://github.com/segmentio/evergreen/pull/598,2019-07-17T12:53:48Z,2019-07-18T02:16:51Z,1,2,MERGED
evergreen,Add textAlign prop to TextTableCell,https://github.com/segmentio/evergreen/pull/596,2019-07-15T13:30:26Z,2019-07-18T08:21:30Z,4,1,CLOSED
evergreen,Allow string props in SelectMenuContent dimensions,https://github.com/segmentio/evergreen/pull/594,2019-07-11T13:36:49Z,2019-07-11T15:53:19Z,0,1,MERGED
evergreen,Make correct oneOfType arguments,https://github.com/segmentio/evergreen/pull/593,2019-07-09T17:45:18Z,2019-07-09T17:58:53Z,0,1,MERGED
evergreen,chore(storybook/Dialog): Rename of the dialog title,https://github.com/segmentio/evergreen/pull/591,2019-07-05T01:29:50Z,2019-07-05T02:19:33Z,0,1,MERGED
evergreen,Fix spelling in table.mdx,https://github.com/segmentio/evergreen/pull/590,2019-07-02T11:34:06Z,2019-07-02T15:07:51Z,0,1,MERGED
evergreen,Add closeOnSelect prop to SelectMenu,https://github.com/segmentio/evergreen/pull/588,2019-06-19T10:13:18Z,2019-06-20T15:58:18Z,5,2,MERGED
evergreen,Allow TableHead height to be a string,https://github.com/segmentio/evergreen/pull/587,2019-06-17T20:11:57Z,2019-07-09T16:04:09Z,0,1,MERGED
evergreen,Expose onBodyClick to popover,https://github.com/segmentio/evergreen/pull/586,2019-06-13T19:46:04Z,2019-07-08T16:31:22Z,4,2,MERGED
evergreen,Fix src of the avatar documentation,https://github.com/segmentio/evergreen/pull/585,2019-06-13T18:52:07Z,2019-06-17T16:23:35Z,1,1,MERGED
evergreen,Fix selected proptype,https://github.com/segmentio/evergreen/pull/583,2019-06-13T15:46:50Z,2019-06-13T18:53:16Z,1,1,MERGED
evergreen,Some spelling fixes,https://github.com/segmentio/evergreen/pull/580,2019-06-11T07:35:32Z,2019-06-11T14:40:09Z,0,1,MERGED
evergreen,Allow dimensions in SelectMenu to be strings,https://github.com/segmentio/evergreen/pull/579,2019-06-10T20:25:46Z,2019-06-11T14:34:11Z,0,1,MERGED
evergreen,expose the`ThemeContext` to use the new context hook,https://github.com/segmentio/evergreen/pull/578,2019-06-08T11:23:55Z,2019-06-16T23:27:47Z,1,1,MERGED
evergreen,Add proper types for Badge and a bunch of the theme code,https://github.com/segmentio/evergreen/pull/577,2019-06-06T20:04:14Z,2019-10-12T00:01:07Z,6,2,CLOSED
evergreen,Remove `selected` restraint,https://github.com/segmentio/evergreen/pull/576,2019-06-06T15:17:50Z,2019-07-09T16:05:27Z,4,3,MERGED
evergreen,Remove forced overflow,https://github.com/segmentio/evergreen/pull/573,2019-06-04T16:26:33Z,2019-06-11T17:03:09Z,0,1,MERGED
evergreen,Add proper types for the Button components,https://github.com/segmentio/evergreen/pull/572,2019-06-04T02:46:40Z,2019-06-05T18:59:29Z,4,3,MERGED
evergreen,implement types for Avatar,https://github.com/segmentio/evergreen/pull/571,2019-06-03T14:43:36Z,2019-06-03T20:38:46Z,3,3,MERGED
evergreen,fix(Positioner): Correctly overflow bottom's,https://github.com/segmentio/evergreen/pull/570,2019-06-03T09:40:47Z,2019-06-17T14:35:33Z,3,3,MERGED
evergreen,add types for Alert and InlineAlert,https://github.com/segmentio/evergreen/pull/569,2019-06-03T03:00:25Z,2019-06-03T20:12:48Z,2,4,MERGED
evergreen,start fixing stories,https://github.com/segmentio/evergreen/pull/568,2019-06-03T02:11:54Z,2019-06-03T02:16:30Z,0,2,MERGED
evergreen,actually include typings in bundle,https://github.com/segmentio/evergreen/pull/664,2019-10-31T21:25:43Z,2019-10-31T21:28:55Z,0,1,MERGED
evergreen,update AutocompleteItem typedefs,https://github.com/segmentio/evergreen/pull/663,2019-10-31T20:00:03Z,2019-10-31T20:29:41Z,0,1,MERGED
evergreen,add typedefs for CornerDialog,https://github.com/segmentio/evergreen/pull/662,2019-10-31T19:36:09Z,2019-10-31T19:45:39Z,0,2,MERGED
evergreen,add more typedefs,https://github.com/segmentio/evergreen/pull/661,2019-10-31T02:18:35Z,2019-10-31T18:01:25Z,0,2,MERGED
evergreen,add more types and docs!,https://github.com/segmentio/evergreen/pull/660,2019-10-30T20:13:10Z,2019-10-30T23:36:38Z,2,9,MERGED
evergreen,update ci docker to node 10,https://github.com/segmentio/evergreen/pull/657,2019-10-25T03:48:27Z,2019-10-25T03:50:56Z,0,1,MERGED
evergreen,rm onClick Table.Row warning since it is supported,https://github.com/segmentio/evergreen/pull/656,2019-10-24T04:15:05Z,2019-10-24T15:20:57Z,0,1,MERGED
