repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
joy-treasury,Block/card upload document,https://github.com/siriwatknp/joy-treasury/pull/95,2023-10-29T08:32:36Z,2023-10-31T16:49:32Z,9,5,MERGED
joy-treasury,feat: add card-social-post,https://github.com/siriwatknp/joy-treasury/pull/91,2023-10-28T06:45:17Z,2023-10-28T17:26:09Z,6,2,MERGED
joy-treasury,feat: add card-news-coffee,https://github.com/siriwatknp/joy-treasury/pull/90,2023-10-28T03:43:59Z,2023-10-28T17:25:26Z,5,2,MERGED
joy-treasury,Add card social comment component,https://github.com/siriwatknp/joy-treasury/pull/70,2023-10-22T09:30:14Z,2023-10-24T15:21:56Z,14,5,MERGED
joy-treasury,add card-preview-cafe3,https://github.com/siriwatknp/joy-treasury/pull/69,2023-10-21T17:23:11Z,2023-10-23T02:54:32Z,3,1,MERGED
joy-treasury,Add card-social-profile,https://github.com/siriwatknp/joy-treasury/pull/67,2023-10-16T16:03:27Z,2023-10-23T02:45:29Z,3,3,MERGED
joy-treasury,components: card-grid-course,https://github.com/siriwatknp/joy-treasury/pull/66,2023-10-15T05:01:43Z,2023-10-28T17:36:37Z,8,3,MERGED
joy-treasury,update Joy UI to beta9,https://github.com/siriwatknp/joy-treasury/pull/65,2023-10-05T02:10:40Z,2023-10-05T02:27:56Z,0,1,MERGED
joy-treasury,Add card-social-suggestions,https://github.com/siriwatknp/joy-treasury/pull/63,2023-09-25T11:10:35Z,2023-09-26T03:05:30Z,4,4,MERGED
joy-treasury,Add `card-social-reply`,https://github.com/siriwatknp/joy-treasury/pull/61,2023-09-24T10:38:43Z,2023-09-26T02:53:07Z,5,5,MERGED
joy-treasury,chore: Update Joy UI to beta7,https://github.com/siriwatknp/joy-treasury/pull/60,2023-09-22T09:09:32Z,2023-09-22T12:05:53Z,0,3,MERGED
joy-treasury,card-preview-cafe,https://github.com/siriwatknp/joy-treasury/pull/33,2023-09-16T21:20:47Z,2023-09-26T03:42:26Z,3,9,MERGED
joy-treasury,CardPricingPlan2 PR,https://github.com/siriwatknp/joy-treasury/pull/4,2023-08-26T19:52:17Z,2023-09-16T08:05:27Z,5,8,MERGED
joy-treasury,feat: add card-blog-technology,https://github.com/siriwatknp/joy-treasury/pull/98,2023-11-02T13:41:42Z,2023-11-03T07:43:49Z,5,2,MERGED
joy-treasury,feat: card-people-mentor,https://github.com/siriwatknp/joy-treasury/pull/97,2023-11-01T18:24:42Z,2023-11-03T07:39:47Z,5,2,MERGED
