repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
solid,docs: 📚 add figma connect,https://github.com/solid-design-system/solid/pull/99,2023-05-23T14:01:37Z,2023-05-24T08:59:51Z,0,3,MERGED
solid,feat(#74): add 0-spacing,https://github.com/solid-design-system/solid/pull/98,2023-05-23T13:59:33Z,2023-05-24T09:40:57Z,0,5,MERGED
solid,feat: update tokens,https://github.com/solid-design-system/solid/pull/96,2023-05-22T14:51:36Z,2023-05-24T10:09:21Z,2,5,MERGED
solid,docs: 📚 improve storybook-helper,https://github.com/solid-design-system/solid/pull/91,2023-05-22T09:57:53Z,2023-05-22T14:46:11Z,0,22,MERGED
solid,ci(close #34): Integrate tests in CI system (Quality Gate),https://github.com/solid-design-system/solid/pull/84,2023-05-16T14:43:12Z,2023-05-17T09:21:32Z,2,16,MERGED
solid,build(close #72): ignore unused components,https://github.com/solid-design-system/solid/pull/83,2023-05-16T12:47:20Z,2023-05-16T13:29:52Z,5,4,MERGED
solid,build: 📦 improve build setup for browser incl. versioning,https://github.com/solid-design-system/solid/pull/70,2023-05-08T18:40:33Z,2023-05-12T07:45:14Z,7,19,MERGED
solid,ci: improve chromatic ci speed,https://github.com/solid-design-system/solid/pull/69,2023-05-08T09:22:11Z,2023-05-08T09:35:42Z,0,2,MERGED
solid,feat: add ui-styles to sd-spinner component,https://github.com/solid-design-system/solid/pull/59,2023-05-03T15:49:39Z,2023-06-15T10:22:43Z,13,17,MERGED
solid,Feat/UI styling,https://github.com/solid-design-system/solid/pull/17,2023-04-17T12:08:40Z,2023-04-17T12:09:47Z,0,43,MERGED
solid,ci: 👷 use dist for tests on GitHub,https://github.com/solid-design-system/solid/pull/295,2023-07-31T09:32:23Z,2023-07-31T11:32:30Z,1,6,MERGED
solid,ci: 👷 fix tests on GitHub,https://github.com/solid-design-system/solid/pull/294,2023-07-31T09:09:16Z,2023-07-31T09:31:32Z,0,18,CLOSED
solid,ci: remove azure pipelines from GitHub repo,https://github.com/solid-design-system/solid/pull/293,2023-07-28T14:08:35Z,2023-08-08T10:03:02Z,3,2,MERGED
solid,ci: fix feature branch deployment pipeline,https://github.com/solid-design-system/solid/pull/292,2023-07-28T10:24:11Z,2023-07-28T10:33:52Z,0,1,MERGED
solid,ci: 👷 fix tests on GitHub,https://github.com/solid-design-system/solid/pull/291,2023-07-27T16:27:47Z,2023-07-31T09:08:44Z,0,16,CLOSED
solid,ci: improve pipelines,https://github.com/solid-design-system/solid/pull/290,2023-07-27T15:10:12Z,2023-07-28T07:48:56Z,0,2,MERGED
solid,ci: 👷 fix tests,https://github.com/solid-design-system/solid/pull/288,2023-07-27T09:47:02Z,2023-07-27T09:49:51Z,0,2,CLOSED
solid,docs: ✏️ add storybook integration guide,https://github.com/solid-design-system/solid/pull/287,2023-07-27T09:15:57Z,2023-07-27T09:54:57Z,0,1,MERGED
solid,feat: ✨ sd teaser,https://github.com/solid-design-system/solid/pull/286,2023-07-27T07:19:13Z,2023-08-03T13:30:47Z,26,14,MERGED
solid,ci: purge all folders after deployment (hotfix),https://github.com/solid-design-system/solid/pull/268,2023-07-26T14:42:55Z,2023-07-28T07:49:27Z,5,1,CLOSED
solid,chore: 🔧 update issue templates,https://github.com/solid-design-system/solid/pull/253,2023-07-25T14:21:41Z,2023-07-28T08:28:08Z,10,8,MERGED
solid,feat: sd-brandshape,https://github.com/solid-design-system/solid/pull/252,2023-07-24T08:08:04Z,2023-08-04T14:13:37Z,12,28,MERGED
solid,feat: ✨ sd divider,https://github.com/solid-design-system/solid/pull/248,2023-07-21T11:06:51Z,2023-07-27T15:23:16Z,7,11,MERGED
solid,"feat: ✨ add styles (paragraph, mark, display, meta, leadtext)",https://github.com/solid-design-system/solid/pull/247,2023-07-20T13:37:45Z,2023-08-24T09:05:15Z,10,54,MERGED
solid,feat: add css-components,https://github.com/solid-design-system/solid/pull/246,2023-07-20T13:26:19Z,2023-07-20T13:36:58Z,0,1,CLOSED
solid,draft!,https://github.com/solid-design-system/solid/pull/240,2023-07-18T12:57:39Z,2023-07-18T13:13:46Z,0,4,CLOSED
solid,docs: 📚 add migration guide for ui-accordion-panel and ui-accordion,https://github.com/solid-design-system/solid/pull/237,2023-07-13T04:14:14Z,2023-07-17T10:58:29Z,4,4,MERGED
solid,chore: 🔧 create Contributing.md,https://github.com/solid-design-system/solid/pull/236,2023-07-11T14:42:35Z,2023-07-17T11:06:16Z,8,16,MERGED
