repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
spark-app,Use HAR to record LiFi calls,https://github.com/sparkdotfi/spark-app/pull/67,2024-05-31T16:25:18Z,2024-06-03T10:52:36Z,5,7,MERGED
spark-app,Do not use sentry for tracking,https://github.com/sparkdotfi/spark-app/pull/66,2024-05-31T13:35:35Z,2024-06-03T08:31:18Z,3,4,MERGED
spark-app,Improve chromatic stories snapshots,https://github.com/sparkdotfi/spark-app/pull/65,2024-05-31T09:33:34Z,2024-06-03T08:06:20Z,3,12,MERGED
spark-app,Test CORS,https://github.com/sparkdotfi/spark-app/pull/64,2024-05-31T08:25:31Z,2024-05-31T08:28:36Z,2,1,CLOSED
spark-app,Update chromatic tablet viewport value,https://github.com/sparkdotfi/spark-app/pull/63,2024-05-31T05:53:01Z,2024-05-31T09:27:50Z,3,1,MERGED
spark-app,Migrate to new endpoints,https://github.com/sparkdotfi/spark-app/pull/62,2024-05-29T13:04:04Z,2024-05-31T06:27:31Z,3,2,MERGED
spark-app,Sort imports with biome,https://github.com/sparkdotfi/spark-app/pull/61,2024-05-29T12:26:58Z,2024-05-29T12:34:18Z,3,1,MERGED
spark-app,"Simplify eslint config, migrate to biome linter",https://github.com/sparkdotfi/spark-app/pull/60,2024-05-29T06:38:29Z,2024-05-29T12:15:10Z,5,15,MERGED
spark-app,Do not display airdrop amounts,https://github.com/sparkdotfi/spark-app/pull/59,2024-05-28T15:53:39Z,2024-05-31T09:47:18Z,5,10,MERGED
spark-app,Upgrade storybook to v8,https://github.com/sparkdotfi/spark-app/pull/58,2024-05-28T14:13:36Z,2024-05-29T10:02:59Z,6,3,MERGED
spark-app,Improve sentry integration,https://github.com/sparkdotfi/spark-app/pull/57,2024-05-28T10:54:24Z,2024-05-29T10:22:44Z,7,9,MERGED
spark-app,Enable retries in react-query,https://github.com/sparkdotfi/spark-app/pull/56,2024-05-27T16:08:09Z,2024-05-29T11:49:35Z,6,1,MERGED
spark-app,Migrate prettier to biome,https://github.com/sparkdotfi/spark-app/pull/55,2024-05-27T12:16:28Z,2024-05-27T13:53:24Z,4,6,MERGED
spark-app,Disable sentry integration on preview environments,https://github.com/sparkdotfi/spark-app/pull/54,2024-05-27T11:50:28Z,2024-05-27T14:20:17Z,3,5,MERGED
spark-app,Fix exchange objective key generation,https://github.com/sparkdotfi/spark-app/pull/53,2024-05-20T13:45:27Z,2024-05-20T13:54:21Z,3,1,MERGED
spark-app,Enable action settings on production,https://github.com/sparkdotfi/spark-app/pull/52,2024-05-17T13:33:22Z,2024-05-27T10:43:32Z,3,10,MERGED
spark-app,Enable waiving LiFi fees on Gnosis chain,https://github.com/sparkdotfi/spark-app/pull/51,2024-05-17T12:44:52Z,2024-05-17T14:24:17Z,3,1,MERGED
spark-app,Add Spark airdrop info to market details,https://github.com/sparkdotfi/spark-app/pull/50,2024-05-17T10:26:19Z,2024-05-17T12:32:27Z,3,3,MERGED
