repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
builder-vite,Simple manual CI,https://github.com/storybookjs/builder-vite/pull/17,2021-05-25T00:25:09Z,2021-05-25T17:31:53Z,1,2,MERGED
builder-vite,remove vite/dynamic-import-polyfill,https://github.com/storybookjs/builder-vite/pull/15,2021-05-16T03:34:47Z,2021-05-16T12:25:45Z,1,1,MERGED
builder-vite,Update install instructions,https://github.com/storybookjs/builder-vite/pull/1,2021-04-18T00:58:03Z,2021-04-18T10:02:30Z,0,1,MERGED
builder-vite,Attempt to add support for CSF3 render preset,https://github.com/storybookjs/builder-vite/pull/76,2021-07-23T09:46:33Z,2022-01-05T07:50:33Z,7,6,CLOSED
builder-vite,Allow passing options to vite-plugin-svelte,https://github.com/storybookjs/builder-vite/pull/72,2021-07-18T07:50:55Z,2021-07-19T17:52:54Z,2,1,MERGED
builder-vite,Add remark about autoreload for stories to README,https://github.com/storybookjs/builder-vite/pull/70,2021-07-15T19:25:21Z,2021-07-18T11:31:28Z,5,1,MERGED
builder-vite,Link root README to show in NPM,https://github.com/storybookjs/builder-vite/pull/67,2021-07-10T13:57:02Z,2021-07-10T15:02:46Z,0,1,MERGED
builder-vite,storybook-builder-vite-parent@0.0.13 - Adding vue2 support and updating yarn workspaces,https://github.com/storybookjs/builder-vite/pull/66,2021-07-09T19:51:46Z,2022-01-07T17:10:45Z,21,6,CLOSED
builder-vite,Sort stories by their export order,https://github.com/storybookjs/builder-vite/pull/54,2021-06-28T21:57:10Z,2021-07-02T15:13:58Z,7,5,MERGED
builder-vite,Fix React HMR in story files,https://github.com/storybookjs/builder-vite/pull/53,2021-06-28T13:48:14Z,2021-06-28T19:10:44Z,2,1,MERGED
builder-vite,Ensure examples build in CI,https://github.com/storybookjs/builder-vite/pull/51,2021-06-28T13:13:07Z,2021-06-28T13:24:37Z,1,2,MERGED
builder-vite,Added docgen info to Vite output for SFC components,https://github.com/storybookjs/builder-vite/pull/47,2021-06-25T04:42:36Z,2021-07-02T15:20:48Z,4,2,CLOSED
builder-vite,Fix windows build,https://github.com/storybookjs/builder-vite/pull/45,2021-06-24T09:58:48Z,2021-06-28T13:32:45Z,6,1,MERGED
builder-vite,Do not depend on framework plugins (mostly),https://github.com/storybookjs/builder-vite/pull/42,2021-06-23T04:22:27Z,2021-06-27T14:12:54Z,2,1,MERGED
builder-vite,Add build examples workflow,https://github.com/storybookjs/builder-vite/pull/34,2021-06-18T15:21:48Z,2021-06-23T04:25:07Z,5,5,MERGED
builder-vite,Tweak Vite setup so we use the correct working directory,https://github.com/storybookjs/builder-vite/pull/28,2021-06-11T21:54:49Z,2021-06-15T19:55:58Z,3,3,MERGED
builder-vite,"Move to yarn, fix examples",https://github.com/storybookjs/builder-vite/pull/27,2021-06-11T15:30:36Z,2021-06-11T17:33:54Z,0,4,MERGED
builder-vite,Upgrade to storybook/csf-tools for MDX processing,https://github.com/storybookjs/builder-vite/pull/26,2021-06-11T12:44:29Z,2021-06-11T13:40:15Z,8,1,MERGED
builder-vite,fix usage with svelte,https://github.com/storybookjs/builder-vite/pull/25,2021-06-10T18:19:35Z,2021-06-10T21:15:50Z,1,2,MERGED
builder-vite,Add github links to package.json,https://github.com/storybookjs/builder-vite/pull/24,2021-06-10T04:15:53Z,2021-06-10T10:05:36Z,0,1,MERGED
builder-vite,Add support for argsEnhancers,https://github.com/storybookjs/builder-vite/pull/23,2021-06-10T03:51:31Z,2021-06-10T10:06:40Z,0,1,MERGED
builder-vite,Move import of framework code to top,https://github.com/storybookjs/builder-vite/pull/22,2021-06-09T19:41:30Z,2021-06-10T21:17:27Z,1,1,MERGED
builder-vite,Return totalTime and bail function,https://github.com/storybookjs/builder-vite/pull/21,2021-06-09T13:49:52Z,2021-06-10T10:07:50Z,0,1,MERGED
builder-vite,Support `features.storyStoreV7`,https://github.com/storybookjs/builder-vite/pull/126,2021-10-26T00:42:31Z,2021-11-18T01:12:08Z,32,1,MERGED
builder-vite,Add `@base2/pretty-print-object` and `react-is` as optimized dependencies,https://github.com/storybookjs/builder-vite/pull/124,2021-10-23T19:29:22Z,2021-10-23T20:03:07Z,1,1,MERGED
builder-vite,Support feature flags,https://github.com/storybookjs/builder-vite/pull/121,2021-10-22T12:56:12Z,2021-10-24T11:17:16Z,4,1,MERGED
builder-vite,Update storybook in examples,https://github.com/storybookjs/builder-vite/pull/118,2021-10-19T03:16:16Z,2021-10-26T13:16:13Z,4,3,MERGED
builder-vite,Fix rollup warning about sourcemaps from inject-export-order-plugin,https://github.com/storybookjs/builder-vite/pull/117,2021-10-18T17:50:53Z,2021-10-22T12:36:10Z,1,1,MERGED
builder-vite,Adding vue2 support,https://github.com/storybookjs/builder-vite/pull/115,2021-10-14T09:27:31Z,2022-01-07T17:10:29Z,15,3,CLOSED
builder-vite,Widen vite peer dep range,https://github.com/storybookjs/builder-vite/pull/110,2021-10-06T17:20:32Z,2021-10-06T19:04:43Z,0,1,MERGED
builder-vite,Provide glob-promise's peer dependency on glob - Fix for Yarn 2+ users,https://github.com/storybookjs/builder-vite/pull/107,2021-10-05T12:24:53Z,2021-10-05T12:48:10Z,1,1,MERGED
builder-vite,Inject storybook environment variables,https://github.com/storybookjs/builder-vite/pull/105,2021-09-29T01:58:59Z,2021-09-29T12:28:02Z,4,3,MERGED
