repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
components-marketing,Feature list,https://github.com/storybookjs/components-marketing/pull/10,2022-07-29T12:29:17Z,2022-08-05T01:41:54Z,0,3,CLOSED
components-marketing,SectionLede: Forgot to add this max-width,https://github.com/storybookjs/components-marketing/pull/9,2022-07-28T15:51:44Z,2022-07-28T16:23:14Z,1,1,MERGED
components-marketing,Home page components,https://github.com/storybookjs/components-marketing/pull/8,2022-07-27T15:25:26Z,2022-07-28T00:55:43Z,1,9,MERGED
components-marketing,Footer,https://github.com/storybookjs/components-marketing/pull/7,2022-07-24T16:51:21Z,2022-07-26T14:00:53Z,1,2,MERGED
components-marketing,Sub nav,https://github.com/storybookjs/components-marketing/pull/6,2022-07-20T17:18:38Z,2022-07-25T19:48:04Z,1,11,MERGED
components-marketing,Nav and related components,https://github.com/storybookjs/components-marketing/pull/5,2022-06-28T02:05:49Z,2022-07-11T19:07:45Z,2,7,MERGED
components-marketing,refactor to import icons from SDS,https://github.com/storybookjs/components-marketing/pull/4,2022-06-28T01:59:28Z,2022-06-28T02:01:42Z,1,1,MERGED
components-marketing,Icon refactor,https://github.com/storybookjs/components-marketing/pull/3,2022-06-28T01:24:11Z,2022-06-28T01:49:23Z,0,2,MERGED
components-marketing,update chromatic link,https://github.com/storybookjs/components-marketing/pull/1,2022-06-17T17:08:50Z,2022-06-17T18:22:58Z,1,2,MERGED
components-marketing,fix eyebrow link styling,https://github.com/storybookjs/components-marketing/pull/53,2022-10-14T14:12:44Z,2022-10-14T14:16:45Z,1,1,MERGED
components-marketing,adjust social card styling on mobile,https://github.com/storybookjs/components-marketing/pull/52,2022-10-14T02:18:20Z,2022-10-14T02:22:25Z,1,1,MERGED
components-marketing,v2 tweaks,https://github.com/storybookjs/components-marketing/pull/51,2022-10-07T15:50:22Z,2022-10-07T16:28:32Z,1,2,MERGED
components-marketing,add active state to nav,https://github.com/storybookjs/components-marketing/pull/50,2022-09-25T21:45:47Z,2022-09-25T21:49:30Z,1,1,MERGED
components-marketing,remove max width from SupportFeatureGrid,https://github.com/storybookjs/components-marketing/pull/49,2022-09-23T16:36:19Z,2022-09-23T16:42:28Z,1,1,MERGED
components-marketing,export community components,https://github.com/storybookjs/components-marketing/pull/48,2022-09-23T04:49:59Z,2022-09-23T04:53:34Z,1,1,MERGED
components-marketing,SupportFeature and SearchBlock,https://github.com/storybookjs/components-marketing/pull/47,2022-09-22T23:50:03Z,2022-09-22T23:53:56Z,1,1,MERGED
components-marketing,Drawer fix,https://github.com/storybookjs/components-marketing/pull/46,2022-09-15T14:21:07Z,2022-09-15T14:24:51Z,1,2,MERGED
components-marketing,close mobile menu on click,https://github.com/storybookjs/components-marketing/pull/45,2022-09-14T19:24:30Z,2022-09-14T19:33:16Z,1,1,MERGED
components-marketing,Misc updates,https://github.com/storybookjs/components-marketing/pull/44,2022-09-14T18:15:38Z,2022-09-14T19:16:45Z,1,4,MERGED
components-marketing,Visual tweak of social card button + cardinal spacing,https://github.com/storybookjs/components-marketing/pull/43,2022-09-14T14:23:14Z,2022-09-14T14:31:15Z,1,1,MERGED
components-marketing,Shrink the Testimonial quote on mobile,https://github.com/storybookjs/components-marketing/pull/42,2022-09-13T18:07:26Z,2022-09-13T18:10:27Z,1,2,MERGED
components-marketing,Update `whyStorybook` URL,https://github.com/storybookjs/components-marketing/pull/41,2022-09-13T14:02:21Z,2022-09-13T14:09:08Z,1,1,MERGED
components-marketing,Misc updates,https://github.com/storybookjs/components-marketing/pull/40,2022-09-12T17:20:41Z,2022-09-12T17:31:04Z,1,2,MERGED
components-marketing,Bug fixes,https://github.com/storybookjs/components-marketing/pull/39,2022-09-11T22:42:54Z,2022-09-11T22:45:32Z,1,2,MERGED
components-marketing,Misc updates,https://github.com/storybookjs/components-marketing/pull/38,2022-09-11T00:13:47Z,2022-09-11T00:14:50Z,1,4,MERGED
components-marketing,IntegrationsCarousel remove auto animation,https://github.com/storybookjs/components-marketing/pull/37,2022-09-09T20:50:11Z,2022-09-09T20:54:00Z,1,2,MERGED
components-marketing,Fix visual bugs,https://github.com/storybookjs/components-marketing/pull/36,2022-09-09T19:23:09Z,2022-09-09T19:28:07Z,1,1,MERGED
components-marketing,Remove local search and export NotFoundScreen,https://github.com/storybookjs/components-marketing/pull/34,2022-09-09T17:06:27Z,2022-09-09T17:16:41Z,1,1,MERGED
components-marketing,NotFoundScreen,https://github.com/storybookjs/components-marketing/pull/33,2022-09-09T16:53:39Z,2022-09-09T16:58:08Z,1,1,MERGED
components-marketing,Local search,https://github.com/storybookjs/components-marketing/pull/32,2022-09-09T14:16:22Z,2022-09-09T14:25:55Z,1,2,MERGED
components-marketing,better defaults for links-context,https://github.com/storybookjs/components-marketing/pull/31,2022-09-08T17:54:49Z,2022-09-08T17:56:51Z,1,1,MERGED
components-marketing,menu fixes,https://github.com/storybookjs/components-marketing/pull/30,2022-09-06T16:24:41Z,2022-09-06T16:28:42Z,1,1,MERGED
components-marketing,fix twitter link in footer,https://github.com/storybookjs/components-marketing/pull/29,2022-09-06T00:31:55Z,2022-09-06T00:41:22Z,1,1,MERGED
components-marketing,fix LinkWithWrapper and fetch github stars from dx-data fn,https://github.com/storybookjs/components-marketing/pull/28,2022-09-04T14:47:46Z,2022-09-04T14:54:16Z,1,1,MERGED
components-marketing,Misc updates,https://github.com/storybookjs/components-marketing/pull/27,2022-09-03T21:31:53Z,2022-09-03T21:37:10Z,1,2,MERGED
components-marketing,Fix nav borders,https://github.com/storybookjs/components-marketing/pull/26,2022-09-03T03:09:07Z,2022-09-03T03:13:57Z,1,1,MERGED
components-marketing,Nav ia,https://github.com/storybookjs/components-marketing/pull/25,2022-09-02T20:51:14Z,2022-09-02T21:23:44Z,1,3,MERGED
components-marketing,Fix type of `version` prop for Search,https://github.com/storybookjs/components-marketing/pull/24,2022-09-01T20:41:28Z,2022-09-01T20:52:25Z,1,1,MERGED
components-marketing,Nav updates,https://github.com/storybookjs/components-marketing/pull/23,2022-09-01T18:32:28Z,2022-09-01T19:05:10Z,1,2,MERGED
components-marketing,Fixes for integration,https://github.com/storybookjs/components-marketing/pull/22,2022-08-31T16:57:10Z,2022-09-01T00:30:46Z,1,1,MERGED
components-marketing,go back to free form sizing of the integration carousel,https://github.com/storybookjs/components-marketing/pull/21,2022-08-22T23:56:04Z,2022-08-23T00:08:57Z,1,1,MERGED
