repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
frontpage,Disable remote playback to hide chromecast button,https://github.com/storybookjs/frontpage/pull/53,2019-07-03T16:23:34Z,2019-07-09T13:35:55Z,1,1,CLOSED
frontpage,Restore community examples page,https://github.com/storybookjs/frontpage/pull/52,2019-06-27T09:33:57Z,2019-07-13T06:22:40Z,0,1,MERGED
frontpage,Add storybook-design-token addon to list of community addons,https://github.com/storybookjs/frontpage/pull/51,2019-06-13T11:43:42Z,2019-06-17T19:05:05Z,3,3,MERGED
frontpage,Update algolia logo,https://github.com/storybookjs/frontpage/pull/50,2019-06-06T11:42:32Z,2019-06-06T15:37:12Z,1,1,MERGED
frontpage,Maintenance and bugfixes,https://github.com/storybookjs/frontpage/pull/49,2019-06-01T01:20:22Z,2019-06-01T01:42:45Z,0,5,MERGED
frontpage,Minor tweaks to showcase SB docs addon more,https://github.com/storybookjs/frontpage/pull/70,2019-10-09T20:02:04Z,2019-10-09T20:09:56Z,0,1,MERGED
frontpage,"Upgrade design system, remove GlobalStyle duplication",https://github.com/storybookjs/frontpage/pull/69,2019-10-08T22:53:31Z,2019-10-08T23:14:18Z,1,2,MERGED
frontpage,5.2 frontpage update,https://github.com/storybookjs/frontpage/pull/68,2019-09-14T20:19:04Z,2019-09-17T16:21:34Z,0,3,MERGED
frontpage,"Update Storybook, design system & adjust font loading strategy",https://github.com/storybookjs/frontpage/pull/67,2019-09-12T23:03:45Z,2019-09-13T16:06:11Z,7,4,MERGED
frontpage,Remove Medium integration so we can deploy again,https://github.com/storybookjs/frontpage/pull/65,2019-09-09T16:54:15Z,2019-09-09T17:01:20Z,0,2,MERGED
frontpage,Update job title in testimonial,https://github.com/storybookjs/frontpage/pull/64,2019-09-09T16:01:30Z,2019-09-09T17:08:26Z,0,2,MERGED
frontpage,Add GitHub link to header,https://github.com/storybookjs/frontpage/pull/61,2019-08-20T12:00:09Z,2019-09-09T18:19:35Z,6,7,MERGED
frontpage,Add Community Addon / AMP,https://github.com/storybookjs/frontpage/pull/60,2019-08-20T01:17:17Z,2019-09-09T18:20:30Z,0,1,MERGED
frontpage,fix: addon alt text,https://github.com/storybookjs/frontpage/pull/59,2019-08-08T07:31:28Z,2019-08-12T18:43:56Z,1,1,MERGED
frontpage,Add storybook-addon-responsive-views to list of community addons,https://github.com/storybookjs/frontpage/pull/58,2019-08-02T13:05:29Z,2019-08-12T18:45:51Z,1,1,MERGED
frontpage,Update URL for addon-contexts,https://github.com/storybookjs/frontpage/pull/82,2019-12-22T18:24:39Z,2020-01-14T19:47:50Z,0,1,MERGED
frontpage,WIP: New team page,https://github.com/storybookjs/frontpage/pull/81,2019-12-21T00:02:29Z,2022-08-05T22:09:03Z,4,18,CLOSED
frontpage,Update Svelte icon to new logo,https://github.com/storybookjs/frontpage/pull/80,2019-12-11T16:48:18Z,2019-12-11T16:54:13Z,0,1,MERGED
frontpage,Add storybook-formik addon to list,https://github.com/storybookjs/frontpage/pull/79,2019-12-08T19:49:19Z,2019-12-13T19:59:46Z,2,2,MERGED
frontpage,TeamItem UI Updated.,https://github.com/storybookjs/frontpage/pull/78,2019-12-07T16:52:52Z,2019-12-20T22:34:47Z,11,9,MERGED
frontpage,Add Vertical Rhythm decorator to the addons list,https://github.com/storybookjs/frontpage/pull/77,2019-12-03T19:04:51Z,2019-12-03T19:43:08Z,1,1,MERGED
frontpage,Add community addon HTML,https://github.com/storybookjs/frontpage/pull/76,2019-12-02T16:40:45Z,2019-12-03T19:44:56Z,1,1,MERGED
frontpage,Add Storybook Addon GraphCMS to addons Gallery,https://github.com/storybookjs/frontpage/pull/75,2019-11-28T14:39:08Z,2019-12-03T19:43:54Z,2,1,MERGED
frontpage,Add the XD addon,https://github.com/storybookjs/frontpage/pull/74,2019-11-18T21:07:18Z,2019-12-03T19:47:52Z,1,2,MERGED
frontpage,Highlight SB docs on the addons page,https://github.com/storybookjs/frontpage/pull/72,2019-11-10T04:27:29Z,2019-11-11T01:48:14Z,0,1,MERGED
frontpage,Add Code Preivew to addon list,https://github.com/storybookjs/frontpage/pull/93,2020-03-03T03:48:54Z,2020-03-22T13:48:32Z,1,1,MERGED
frontpage,Added Taffy dynamic resizer addon to AddonScreen list,https://github.com/storybookjs/frontpage/pull/92,2020-02-19T20:01:04Z,2020-02-24T21:05:20Z,1,1,MERGED
frontpage,Add Playroom addon to addon list,https://github.com/storybookjs/frontpage/pull/91,2020-02-08T19:02:58Z,2020-02-12T15:28:04Z,1,1,MERGED
frontpage,Add storybook-addon-themes to addon list,https://github.com/storybookjs/frontpage/pull/90,2020-01-30T14:21:22Z,2020-01-31T00:22:46Z,3,2,MERGED
frontpage,Merge pull request #89 from rbardini/add-paddings-addon,https://github.com/storybookjs/frontpage/pull/89,2020-01-28T21:18:49Z,2020-01-29T21:19:21Z,0,1,MERGED
frontpage,Add @sambego/storybook-state,https://github.com/storybookjs/frontpage/pull/86,2020-01-15T07:10:59Z,2020-02-19T17:42:15Z,1,1,CLOSED
frontpage,Merge pull request #85 from storybookjs/SB53-update,https://github.com/storybookjs/frontpage/pull/85,2020-01-14T19:55:06Z,2020-01-14T20:15:28Z,0,1,MERGED
frontpage,Merge pull request #84 from jeslage/master,https://github.com/storybookjs/frontpage/pull/84,2020-01-05T20:40:49Z,2020-01-14T19:51:10Z,1,1,MERGED
frontpage,Add Matrix to test addons,https://github.com/storybookjs/frontpage/pull/103,2020-05-23T17:23:33Z,2020-05-26T22:42:09Z,2,1,MERGED
frontpage,Add Zeplin to design addons,https://github.com/storybookjs/frontpage/pull/102,2020-05-06T07:05:37Z,2020-05-07T18:46:30Z,3,2,MERGED
frontpage,Migrate docs,https://github.com/storybookjs/frontpage/pull/101,2020-05-04T16:33:54Z,2022-08-05T22:09:03Z,0,26,CLOSED
frontpage,added dark mode addon ,https://github.com/storybookjs/frontpage/pull/100,2020-04-27T08:45:18Z,2020-05-07T19:23:23Z,3,3,MERGED
frontpage,addon Figma changed for live one,https://github.com/storybookjs/frontpage/pull/99,2020-04-26T23:18:43Z,2020-04-27T14:13:38Z,1,1,MERGED
frontpage,Add mention of storybook-mobile,https://github.com/storybookjs/frontpage/pull/98,2020-04-23T21:50:32Z,2020-04-23T22:40:10Z,2,1,MERGED
frontpage,Add Addon to gallery,https://github.com/storybookjs/frontpage/pull/97,2020-04-12T15:40:19Z,2020-04-12T22:33:49Z,1,1,MERGED
frontpage,Update Formidable logo,https://github.com/storybookjs/frontpage/pull/96,2020-04-01T19:11:55Z,2020-04-01T19:18:40Z,0,1,MERGED
frontpage,Add `gatsby-remark-autolink-headers`,https://github.com/storybookjs/frontpage/pull/124,2020-07-31T09:10:26Z,2020-08-04T15:41:09Z,3,1,CLOSED
frontpage,Framework support,https://github.com/storybookjs/frontpage/pull/123,2020-07-31T04:11:21Z,2020-08-07T23:31:18Z,7,11,MERGED
frontpage,reinstated the contributor count,https://github.com/storybookjs/frontpage/pull/122,2020-07-30T05:55:44Z,2020-07-30T18:30:20Z,2,2,MERGED
frontpage,Remove default Netlify headers,https://github.com/storybookjs/frontpage/pull/120,2020-07-22T20:35:33Z,2020-07-23T04:11:02Z,0,1,MERGED
frontpage,Remove default Netlify headers,https://github.com/storybookjs/frontpage/pull/119,2020-07-21T15:58:36Z,2020-07-21T19:52:16Z,4,1,MERGED
frontpage,Refactor docs in monorepo,https://github.com/storybookjs/frontpage/pull/116,2020-07-09T09:44:38Z,2020-07-10T02:59:59Z,0,9,MERGED
frontpage,Render docs,https://github.com/storybookjs/frontpage/pull/114,2020-07-08T11:24:49Z,2020-07-09T08:26:27Z,1,4,MERGED
frontpage,Add gatsby plugin netlify,https://github.com/storybookjs/frontpage/pull/113,2020-07-08T07:32:33Z,2020-07-08T07:43:38Z,0,1,MERGED
frontpage,Deploy: Prerelease notes for 6.0 #111,https://github.com/storybookjs/frontpage/pull/112,2020-07-08T06:51:58Z,2020-07-08T06:58:18Z,0,5,MERGED
frontpage,Prerelease notes for 6.0,https://github.com/storybookjs/frontpage/pull/111,2020-07-08T05:52:15Z,2020-07-08T06:51:24Z,0,4,MERGED
frontpage,Deploy release notes #107,https://github.com/storybookjs/frontpage/pull/110,2020-07-08T03:11:13Z,2020-07-08T03:20:17Z,0,27,MERGED
frontpage, Open external links new new tab,https://github.com/storybookjs/frontpage/pull/109,2020-07-08T03:08:58Z,2022-01-12T03:00:57Z,1,1,CLOSED
frontpage,Add typescript,https://github.com/storybookjs/frontpage/pull/108,2020-07-07T05:35:18Z,2020-07-08T10:38:40Z,2,20,MERGED
frontpage,Release notes,https://github.com/storybookjs/frontpage/pull/107,2020-07-07T00:04:36Z,2020-07-08T03:05:02Z,2,26,MERGED
