repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-inspector,Delete rollup.config.js,https://github.com/storybookjs/react-inspector/pull/80,2019-06-09T08:42:50Z,2019-09-26T14:16:03Z,3,2,CLOSED
react-inspector,Update from `babel-runtime` to `@babel/runtime`,https://github.com/storybookjs/react-inspector/pull/96,2019-10-22T03:08:09Z,2019-10-22T22:26:39Z,0,1,MERGED
react-inspector,Move storybook-chromatic to dev dependency,https://github.com/storybookjs/react-inspector/pull/93,2019-09-29T13:50:33Z,2020-03-06T22:58:21Z,11,2,MERGED
react-inspector,"Adding the ""transform-runtime"" plugin",https://github.com/storybookjs/react-inspector/pull/91,2019-09-27T08:47:00Z,2020-02-11T13:50:25Z,1,1,MERGED
react-inspector,ADD chromatic & improve CircleCI,https://github.com/storybookjs/react-inspector/pull/89,2019-09-26T13:37:40Z,2019-09-26T13:39:36Z,0,1,MERGED
react-inspector,Support Object and Regex as keys,https://github.com/storybookjs/react-inspector/pull/88,2019-09-19T02:32:51Z,2019-09-26T14:27:54Z,0,5,MERGED
react-inspector,feat: export ObjectPreview component,https://github.com/storybookjs/react-inspector/pull/99,2019-12-03T15:24:41Z,2020-03-10T15:22:24Z,0,3,MERGED
react-inspector,Upgrading storybook-chromatic version,https://github.com/storybookjs/react-inspector/pull/98,2019-11-15T11:24:28Z,2020-03-10T15:13:34Z,1,0,CLOSED
react-inspector,fix: broken link to playground / images in README,https://github.com/storybookjs/react-inspector/pull/106,2020-03-29T15:28:49Z,2020-09-10T11:20:17Z,0,2,MERGED
react-inspector,Tech/upgrades,https://github.com/storybookjs/react-inspector/pull/104,2020-03-10T14:57:31Z,2020-03-10T15:10:15Z,0,7,MERGED
react-inspector,UPGRADES,https://github.com/storybookjs/react-inspector/pull/103,2020-03-10T14:30:29Z,2020-03-10T14:57:16Z,0,5,CLOSED
react-inspector,Bump version from 4.0.0 to 4.0.1,https://github.com/storybookjs/react-inspector/pull/102,2020-03-07T22:42:33Z,2020-03-07T23:18:31Z,2,1,MERGED
react-inspector,Updated readme with proper links,https://github.com/storybookjs/react-inspector/pull/112,2020-07-19T08:39:20Z,2020-09-10T11:16:15Z,0,1,MERGED
react-inspector,Update playground link in Readme,https://github.com/storybookjs/react-inspector/pull/110,2020-06-19T17:26:55Z,2020-09-10T11:18:33Z,0,2,MERGED
react-inspector,fix: reduce size of the npm package,https://github.com/storybookjs/react-inspector/pull/119,2020-09-24T13:58:51Z,2021-04-12T17:07:22Z,8,1,MERGED
react-inspector,Next release,https://github.com/storybookjs/react-inspector/pull/118,2020-09-10T11:21:18Z,2020-09-10T12:59:09Z,0,16,MERGED
react-inspector,Prevent component crashes on getters that throw,https://github.com/storybookjs/react-inspector/pull/116,2020-09-07T09:37:24Z,2020-09-10T11:15:50Z,1,1,MERGED
react-inspector,Support react 17 as a peer dependency,https://github.com/storybookjs/react-inspector/pull/120,2020-11-05T17:15:48Z,2021-01-26T16:15:13Z,4,1,MERGED
react-inspector,remove comma,https://github.com/storybookjs/react-inspector/pull/124,2021-02-04T21:46:29Z,2021-02-10T10:34:51Z,2,1,MERGED
react-inspector,Revert chromatic skip,https://github.com/storybookjs/react-inspector/pull/128,2021-04-02T18:14:50Z,2021-04-06T12:08:31Z,1,1,MERGED
react-inspector,HISTORY.md updates,https://github.com/storybookjs/react-inspector/pull/127,2021-04-02T17:41:07Z,2021-04-02T18:07:56Z,0,2,MERGED
react-inspector,Searchable Object Inspector and Resizable Table Inspector,https://github.com/storybookjs/react-inspector/pull/139,2021-07-30T16:03:24Z,2023-01-16T16:11:14Z,2,19,CLOSED
react-inspector,"let's migrate to TS, and migrate to more modern tooling and output",https://github.com/storybookjs/react-inspector/pull/160,2022-07-04T08:26:07Z,2022-07-04T12:28:40Z,1,12,MERGED
react-inspector,Fix getters on window object,https://github.com/storybookjs/react-inspector/pull/155,2022-06-13T17:41:18Z,2023-01-16T16:12:22Z,1,1,CLOSED
react-inspector,Add `onExpand` callback when node are expanded/collapsed,https://github.com/storybookjs/react-inspector/pull/171,2023-03-21T14:24:38Z,2023-05-25T12:49:57Z,3,2,CLOSED
react-inspector,fix: move `types` condition to the front,https://github.com/storybookjs/react-inspector/pull/172,2023-04-29T17:50:40Z,2023-05-01T08:15:56Z,2,1,MERGED
