repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
tablekit,feat: bump all versions,https://github.com/tablecheck/tablekit/pull/3,2021-07-27T02:13:38Z,2021-07-27T02:13:44Z,1,1,MERGED
tablekit,ci: lerna publish config and docs workflow folder and build command,https://github.com/tablecheck/tablekit/pull/2,2021-07-27T01:44:23Z,2021-07-27T01:56:13Z,2,1,MERGED
tablekit,feat: migrate to github,https://github.com/tablecheck/tablekit/pull/1,2021-07-26T09:39:44Z,2021-07-27T01:17:36Z,2,1,MERGED
tablekit,release: canary panel & language selector,https://github.com/tablecheck/tablekit/pull/61,2021-10-31T17:37:08Z,2022-01-21T07:39:18Z,1,1,CLOSED
tablekit,chore: upgrade body-scroll-lock,https://github.com/tablecheck/tablekit/pull/60,2021-10-28T19:10:09Z,2021-10-29T07:32:40Z,2,1,MERGED
tablekit,docs: migrate Iconography,https://github.com/tablecheck/tablekit/pull/59,2021-10-08T12:31:23Z,2022-01-25T06:06:39Z,4,1,MERGED
tablekit,fix: restore the appearance to input fields,https://github.com/tablecheck/tablekit/pull/58,2021-10-07T07:46:40Z,2021-10-07T07:58:16Z,2,1,MERGED
tablekit,feat: add large size to checkbox and radio inputs,https://github.com/tablecheck/tablekit/pull/57,2021-10-06T06:41:45Z,2021-10-06T08:23:47Z,2,1,MERGED
tablekit,fix: use correct children and onChange types,https://github.com/tablecheck/tablekit/pull/55,2021-09-16T04:20:25Z,2021-09-16T06:35:34Z,2,2,MERGED
tablekit,fix(tablekit-theme): support better extension and overriding of theme colors,https://github.com/tablecheck/tablekit/pull/54,2021-09-15T11:19:00Z,2021-09-16T07:53:43Z,7,3,MERGED
tablekit,fix: upgrade radix-ui to 0.1 version,https://github.com/tablecheck/tablekit/pull/52,2021-09-14T11:16:48Z,2021-09-16T06:13:14Z,4,1,MERGED
tablekit,feat(tablekit-panel): added top position variant,https://github.com/tablecheck/tablekit/pull/50,2021-09-06T02:29:51Z,2021-09-06T03:20:42Z,2,1,MERGED
tablekit,fix(icon): improve icon config error,https://github.com/tablecheck/tablekit/pull/48,2021-08-30T05:41:47Z,2021-08-30T07:45:22Z,2,1,MERGED
tablekit,docs: create stories for UI Helpers,https://github.com/tablecheck/tablekit/pull/47,2021-08-25T15:53:16Z,2022-01-25T07:45:27Z,2,1,MERGED
tablekit,docs(tablekit-sidenav): create stories,https://github.com/tablecheck/tablekit/pull/45,2021-08-25T14:29:52Z,2022-01-21T04:11:40Z,2,1,CLOSED
tablekit,"fix(tablekit-phone-input): create stories, fix types",https://github.com/tablecheck/tablekit/pull/44,2021-08-25T13:59:42Z,2021-09-13T14:50:52Z,5,2,MERGED
tablekit,fix(tablekit-banner): fix icon alignment,https://github.com/tablecheck/tablekit/pull/40,2021-08-25T13:01:10Z,2022-03-28T10:21:42Z,9,1,MERGED
tablekit,chore: migrate approved stories ,https://github.com/tablecheck/tablekit/pull/37,2021-08-22T09:12:24Z,2021-08-23T10:06:43Z,2,3,MERGED
tablekit,docs: migrate unapproved stories,https://github.com/tablecheck/tablekit/pull/36,2021-08-22T07:23:04Z,2021-08-28T12:50:13Z,4,1,MERGED
tablekit,ci: update token config for security,https://github.com/tablecheck/tablekit/pull/35,2021-08-20T04:10:59Z,2021-08-20T04:21:20Z,2,1,MERGED
tablekit,chore: setup temporary release process,https://github.com/tablecheck/tablekit/pull/34,2021-08-20T02:52:08Z,2021-08-20T03:23:17Z,2,1,MERGED
tablekit,feat(tablekit-modal-dialog): add maxWidth and maxHeight props,https://github.com/tablecheck/tablekit/pull/33,2021-08-17T19:39:59Z,2021-08-23T04:07:40Z,5,2,MERGED
tablekit,fix(tablekit-input-button): changed appearance,https://github.com/tablecheck/tablekit/pull/32,2021-08-17T14:32:14Z,2021-08-23T02:44:21Z,4,1,MERGED
tablekit,docs: intro page,https://github.com/tablecheck/tablekit/pull/29,2021-08-17T08:46:01Z,2021-08-24T01:02:19Z,4,3,MERGED
tablekit,fix: remove some packages that use react-spring,https://github.com/tablecheck/tablekit/pull/28,2021-08-15T11:53:24Z,2021-08-17T04:43:22Z,7,1,MERGED
tablekit,fix(tablekit-spinner): remove react-spring,https://github.com/tablecheck/tablekit/pull/27,2021-08-15T10:13:11Z,2021-08-15T11:53:36Z,0,1,CLOSED
tablekit,build: add possibility to load from assets,https://github.com/tablecheck/tablekit/pull/24,2021-08-12T18:09:17Z,2021-08-24T00:16:02Z,3,3,MERGED
tablekit,fix(tablekit-phone-input): update dependencies,https://github.com/tablecheck/tablekit/pull/22,2021-08-12T16:03:07Z,2021-08-16T09:10:06Z,8,1,MERGED
tablekit,chore: fix all contributors setup [skip-ci],https://github.com/tablecheck/tablekit/pull/19,2021-08-11T04:41:20Z,2021-08-11T10:36:34Z,2,1,MERGED
tablekit,chore: migrate unapproved stories,https://github.com/tablecheck/tablekit/pull/18,2021-08-10T06:23:41Z,2021-08-22T07:06:52Z,3,1,CLOSED
tablekit,chore: migrate approved stories,https://github.com/tablecheck/tablekit/pull/8,2021-08-06T09:48:04Z,2021-08-22T07:29:19Z,1,1,CLOSED
tablekit,fix: storybook icon config,https://github.com/tablecheck/tablekit/pull/6,2021-08-04T09:33:13Z,2021-08-05T10:24:07Z,5,1,MERGED
tablekit,fix(tablekit-calendar): add selectedTextColor to theme,https://github.com/tablecheck/tablekit/pull/75,2021-12-15T04:46:58Z,2021-12-15T05:11:38Z,2,1,MERGED
tablekit,fix(tablekit-calendar): add selectedTextColor to theme,https://github.com/tablecheck/tablekit/pull/74,2021-12-14T09:16:43Z,2021-12-14T12:21:37Z,2,1,MERGED
tablekit,input: fix(tablekit-modal-dialog): add z-index from tablekit theme,https://github.com/tablecheck/tablekit/pull/73,2021-12-11T13:00:02Z,2021-12-13T06:34:11Z,2,1,MERGED
tablekit,fix(tablekit-input): use primary2 color for icon,https://github.com/tablecheck/tablekit/pull/72,2021-12-01T22:58:09Z,2021-12-02T00:22:27Z,2,1,MERGED
tablekit,fix(tablekit-theme): primary2 colors,https://github.com/tablecheck/tablekit/pull/71,2021-11-30T09:51:37Z,2021-12-01T02:35:40Z,2,1,MERGED
tablekit,fix: theme colors,https://github.com/tablecheck/tablekit/pull/70,2021-11-26T11:46:17Z,2021-11-29T01:08:51Z,2,1,MERGED
tablekit,fix(tablekit-alert): icon error,https://github.com/tablecheck/tablekit/pull/69,2021-11-26T00:00:34Z,2021-11-26T01:23:58Z,4,1,CLOSED
tablekit,fix(tablekit-button): add button text color,https://github.com/tablecheck/tablekit/pull/67,2021-11-25T05:39:36Z,2021-11-26T06:50:32Z,4,1,MERGED
tablekit,fix(tablekit-alert): close button aria-label,https://github.com/tablecheck/tablekit/pull/64,2021-11-14T10:15:58Z,2021-11-15T02:08:58Z,6,1,MERGED
tablekit,feat: upgrade input-button design and primary colours,https://github.com/tablecheck/tablekit/pull/62,2021-11-09T05:18:18Z,2021-11-09T10:19:43Z,2,1,MERGED
tablekit,fix(tablekit-modal-dialog): correctly forward on data-testid prop,https://github.com/tablecheck/tablekit/pull/91,2022-03-30T02:07:25Z,2022-03-30T05:45:21Z,2,1,MERGED
tablekit,WIP: fix: full height panel for mobile devices,https://github.com/tablecheck/tablekit/pull/90,2022-03-22T12:55:31Z,2022-10-04T00:33:19Z,2,1,CLOSED
tablekit,WIP: feat(tablekit-input-group): implement Input Group,https://github.com/tablecheck/tablekit/pull/89,2022-02-23T16:58:27Z,2022-03-20T15:02:50Z,4,2,CLOSED
tablekit,fix(tablekit-password-field): export stateless version,https://github.com/tablecheck/tablekit/pull/86,2022-01-27T09:45:32Z,2022-01-27T10:15:14Z,3,1,MERGED
tablekit,fix(tablekit-input): change font size to 16px,https://github.com/tablecheck/tablekit/pull/85,2022-01-27T06:33:54Z,2022-01-27T07:18:44Z,3,1,MERGED
tablekit,feat(tablekit-sidenav): support carbon icons in sidenav,https://github.com/tablecheck/tablekit/pull/84,2022-01-21T04:11:02Z,2022-01-24T06:31:19Z,4,2,MERGED
tablekit,security: update dependencies,https://github.com/tablecheck/tablekit/pull/83,2022-01-11T01:41:34Z,2022-01-12T02:26:19Z,2,1,MERGED
tablekit,security(tablekit-icon): colors.js has embedded denial of service,https://github.com/tablecheck/tablekit/pull/82,2022-01-10T15:14:00Z,2022-01-10T16:13:38Z,2,1,MERGED
tablekit,security(npm): lock colors library to 1.4.0,https://github.com/tablecheck/tablekit/pull/81,2022-01-10T15:08:22Z,2022-01-10T15:11:30Z,0,1,CLOSED
tablekit,security(npm): lock colors library to 1.4.0,https://github.com/tablecheck/tablekit/pull/80,2022-01-10T14:47:18Z,2022-01-10T15:01:25Z,1,1,CLOSED
tablekit,fix(tablekit-password-field): wrong invalid appearance,https://github.com/tablecheck/tablekit/pull/77,2022-01-06T05:09:06Z,2022-01-06T06:52:11Z,4,1,MERGED
tablekit,TableKit v3,https://github.com/tablecheck/tablekit/pull/98,2022-05-23T10:25:49Z,2022-06-17T05:23:04Z,6,2,CLOSED
tablekit,fix(input): label prop can be react node or string,https://github.com/tablecheck/tablekit/pull/97,2022-05-12T06:20:05Z,2022-05-12T07:58:21Z,3,1,MERGED
tablekit,RTL support,https://github.com/tablecheck/tablekit/pull/95,2022-05-10T11:49:20Z,2022-09-15T21:15:25Z,1,1,CLOSED
tablekit,fix(input): add rtl support,https://github.com/tablecheck/tablekit/pull/94,2022-05-05T16:10:27Z,2022-05-10T03:43:30Z,6,1,MERGED
tablekit,fix(tablekit-modal-dialog): passthrough classname to modal content,https://github.com/tablecheck/tablekit/pull/92,2022-04-12T06:01:50Z,2022-04-12T07:26:51Z,2,1,MERGED
tablekit,TK V3,https://github.com/tablecheck/tablekit/pull/100,2022-07-28T07:08:45Z,2024-05-27T08:54:08Z,3,116,MERGED
tablekit,feat(PhoneInput): add tkv3 phone input,https://github.com/tablecheck/tablekit/pull/140,2022-10-12T02:11:30Z,2024-12-09T01:12:48Z,2,2,CLOSED
tablekit,fix(tablekit-react): update theme colors,https://github.com/tablecheck/tablekit/pull/139,2022-10-07T06:41:00Z,2022-10-11T09:22:05Z,5,2,MERGED
tablekit,fix(tablekit-react): fix focus state for button group component,https://github.com/tablecheck/tablekit/pull/137,2022-10-06T13:58:52Z,2022-10-12T15:45:57Z,7,1,MERGED
tablekit,ci: skip chromatic on draft pull requests,https://github.com/tablecheck/tablekit/pull/136,2022-10-05T01:27:21Z,2022-10-05T02:35:48Z,3,1,MERGED
tablekit,feat(tablekit-react): add banner component,https://github.com/tablecheck/tablekit/pull/135,2022-10-05T01:21:03Z,2022-10-12T06:04:52Z,7,1,MERGED
tablekit,fix: add header to story preview to show variant title,https://github.com/tablecheck/tablekit/pull/133,2022-09-30T10:11:21Z,2022-10-04T07:03:18Z,3,1,MERGED
tablekit,Tomb component docs,https://github.com/tablecheck/tablekit/pull/132,2022-09-30T09:14:47Z,2024-12-09T01:12:48Z,7,7,CLOSED
tablekit,fix: light/dark mode color issues,https://github.com/tablecheck/tablekit/pull/131,2022-09-30T03:09:47Z,2022-10-03T01:43:49Z,3,1,MERGED
tablekit,feat(tablekit-react-select): add isClearable props,https://github.com/tablecheck/tablekit/pull/130,2022-09-29T15:33:16Z,2022-10-03T08:19:19Z,3,1,MERGED
tablekit,feat(tablekit-react): add toggle component,https://github.com/tablecheck/tablekit/pull/129,2022-09-29T14:10:04Z,2022-11-10T06:38:47Z,11,1,MERGED
tablekit,feat(tablekit-icon-button) add icon button component,https://github.com/tablecheck/tablekit/pull/127,2022-09-27T06:23:49Z,2022-11-09T07:10:52Z,5,1,CLOSED
tablekit,Add icon button,https://github.com/tablecheck/tablekit/pull/126,2022-09-27T06:13:40Z,2022-09-27T06:15:04Z,0,31,CLOSED
tablekit,fix(tablekit-react): add cursor changes on checkbox,https://github.com/tablecheck/tablekit/pull/125,2022-09-26T09:44:27Z,2022-09-27T06:59:47Z,3,1,MERGED
