repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
kynesis-dashboard,Terraformify,https://github.com/tal-rofe/kynesis-dashboard/pull/68,2024-03-28T18:22:53Z,2024-04-03T18:32:53Z,1,9,MERGED
kynesis-dashboard,refactor: 💡 add visitor page,https://github.com/tal-rofe/kynesis-dashboard/pull/67,2024-03-26T21:40:28Z,2024-03-30T09:32:26Z,0,3,MERGED
kynesis-dashboard,Auth,https://github.com/tal-rofe/kynesis-dashboard/pull/66,2024-03-26T17:42:38Z,2024-04-01T16:17:22Z,11,6,MERGED
kynesis-dashboard,refactor: 💡 Add UIVisitors componenet & update pnpm version,https://github.com/tal-rofe/kynesis-dashboard/pull/65,2024-03-26T07:26:33Z,2024-03-30T09:28:34Z,5,2,MERGED
kynesis-dashboard,Get linkedin url,https://github.com/tal-rofe/kynesis-dashboard/pull/64,2024-03-25T19:08:18Z,2024-04-03T18:32:54Z,6,6,MERGED
kynesis-dashboard,refactor: 💡 Update imports and add new components,https://github.com/tal-rofe/kynesis-dashboard/pull/63,2024-03-24T17:42:27Z,2024-03-24T17:42:43Z,0,1,MERGED
kynesis-dashboard,refactor: 💡 add accessibility for modal componenet,https://github.com/tal-rofe/kynesis-dashboard/pull/62,2024-03-24T10:00:28Z,2024-03-24T16:39:05Z,4,7,MERGED
kynesis-dashboard,chore: 🤖 add modal context & SearchModal component,https://github.com/tal-rofe/kynesis-dashboard/pull/61,2024-03-24T08:41:26Z,2024-03-24T08:55:22Z,1,2,MERGED
kynesis-dashboard,Get data from pixel,https://github.com/tal-rofe/kynesis-dashboard/pull/60,2024-03-23T09:49:23Z,2024-04-03T18:32:54Z,1,2,MERGED
kynesis-dashboard,Add dashboard,https://github.com/tal-rofe/kynesis-dashboard/pull/59,2024-03-22T11:07:50Z,2024-03-22T11:08:03Z,0,3,MERGED
kynesis-dashboard,Pixel api as lambda,https://github.com/tal-rofe/kynesis-dashboard/pull/58,2024-03-21T20:38:46Z,2024-03-21T20:38:55Z,1,3,MERGED
kynesis-dashboard,feat: 🔥 Add new components and files for onboarding process,https://github.com/tal-rofe/kynesis-dashboard/pull/57,2024-03-20T21:06:02Z,2024-03-21T08:51:55Z,1,2,MERGED
kynesis-dashboard,Complete setup,https://github.com/tal-rofe/kynesis-dashboard/pull/48,2024-03-19T09:49:05Z,2024-03-19T11:12:00Z,1,5,MERGED
kynesis-dashboard,Init backend,https://github.com/tal-rofe/kynesis-dashboard/pull/35,2024-03-18T20:44:56Z,2024-03-18T20:50:12Z,1,3,MERGED
kynesis-dashboard,refactor: 💡 add new ui componenets,https://github.com/tal-rofe/kynesis-dashboard/pull/32,2024-03-18T16:12:00Z,2024-03-24T17:45:49Z,5,13,CLOSED
kynesis-dashboard,chore: 🤖 add theme provider,https://github.com/tal-rofe/kynesis-dashboard/pull/25,2024-03-18T09:05:02Z,2024-03-18T09:43:20Z,1,5,MERGED
kynesis-dashboard,chore: 🤖 Add API package and configuration files,https://github.com/tal-rofe/kynesis-dashboard/pull/14,2024-03-17T21:44:41Z,2024-03-24T17:46:15Z,0,5,CLOSED
kynesis-dashboard,"chore: 🤖 Add Tailwind CSS configuration, and remove unused files and …",https://github.com/tal-rofe/kynesis-dashboard/pull/13,2024-03-17T21:27:16Z,2024-03-18T08:44:21Z,1,3,MERGED
kynesis-dashboard,Complete setup,https://github.com/tal-rofe/kynesis-dashboard/pull/3,2024-03-17T17:16:52Z,2024-03-17T18:17:14Z,1,21,MERGED
kynesis-dashboard,refactor: 💡 [KYN-70] support scraping stargazer user page,https://github.com/tal-rofe/kynesis-dashboard/pull/256,2024-05-17T07:43:16Z,2024-05-17T08:51:40Z,1,2,MERGED
kynesis-dashboard,Tal/kyn 65 create terraform resources for google sheets lambda function,https://github.com/tal-rofe/kynesis-dashboard/pull/222,2024-05-10T06:25:21Z,2024-05-10T07:56:02Z,1,3,MERGED
kynesis-dashboard,chore: 🤖 [KYN-40] configure google sheets lambada,https://github.com/tal-rofe/kynesis-dashboard/pull/219,2024-05-09T14:55:26Z,2024-05-10T07:52:04Z,17,9,MERGED
kynesis-dashboard,Tal/kyn 61 create lambda function to receive GitHub webhooks call star,https://github.com/tal-rofe/kynesis-dashboard/pull/214,2024-05-08T19:26:34Z,2024-05-09T06:24:06Z,2,5,MERGED
kynesis-dashboard,Tal/kyn 62 store stargazers results in db,https://github.com/tal-rofe/kynesis-dashboard/pull/204,2024-05-07T06:08:00Z,2024-05-07T06:17:32Z,2,2,MERGED
kynesis-dashboard,chore: 🤖 [KYN-58] create github app to track repository starts event,https://github.com/tal-rofe/kynesis-dashboard/pull/196,2024-05-06T09:21:20Z,2024-05-07T19:11:00Z,1,3,CLOSED
kynesis-dashboard,refactor: 💡 [KYN-41] use access tokens with pre-generated accounts,https://github.com/tal-rofe/kynesis-dashboard/pull/187,2024-05-05T19:15:19Z,2024-05-05T19:19:29Z,2,1,MERGED
kynesis-dashboard,feat: 🔥 [KYN-56] scrape github repository stargazers,https://github.com/tal-rofe/kynesis-dashboard/pull/168,2024-05-04T17:27:09Z,2024-05-04T17:31:43Z,2,1,MERGED
kynesis-dashboard,feat: 🔥 [KYN-51] support database of visitors,https://github.com/tal-rofe/kynesis-dashboard/pull/167,2024-05-02T17:56:48Z,2024-05-02T18:16:26Z,2,3,MERGED
kynesis-dashboard,Tal/kyn 49 align atdata pixel collector function with new details,https://github.com/tal-rofe/kynesis-dashboard/pull/166,2024-05-01T15:49:04Z,2024-05-01T15:52:56Z,3,4,MERGED
kynesis-dashboard,chore: 🤖 [KYN-40] configure google sheets crud apis,https://github.com/tal-rofe/kynesis-dashboard/pull/165,2024-05-01T11:51:48Z,2024-05-02T19:20:37Z,2,1,CLOSED
kynesis-dashboard,add SpeedInsights analytics,https://github.com/tal-rofe/kynesis-dashboard/pull/164,2024-05-01T05:40:38Z,2024-05-01T05:40:50Z,2,3,MERGED
kynesis-dashboard,chore: 🤖 [KYN-999] add SpeedInsights analytics,https://github.com/tal-rofe/kynesis-dashboard/pull/163,2024-05-01T05:37:18Z,2024-05-01T05:40:08Z,2,1,MERGED
kynesis-dashboard,Init production brunch,https://github.com/tal-rofe/kynesis-dashboard/pull/162,2024-04-30T21:01:59Z,2024-04-30T21:05:42Z,2,5,MERGED
kynesis-dashboard,Check production,https://github.com/tal-rofe/kynesis-dashboard/pull/161,2024-04-30T16:52:40Z,2024-04-30T20:40:30Z,2,18,CLOSED
kynesis-dashboard,asd,https://github.com/tal-rofe/kynesis-dashboard/pull/160,2024-04-29T07:49:36Z,2024-04-29T07:49:46Z,1,1,MERGED
kynesis-dashboard,Amir 4,https://github.com/tal-rofe/kynesis-dashboard/pull/159,2024-04-29T07:06:37Z,2024-04-29T07:08:12Z,1,2,CLOSED
kynesis-dashboard,Amir 3,https://github.com/tal-rofe/kynesis-dashboard/pull/158,2024-04-29T07:05:53Z,2024-04-29T07:06:24Z,1,2,CLOSED
kynesis-dashboard,refactor: 💡 [KYN-50] use Winston for logger,https://github.com/tal-rofe/kynesis-dashboard/pull/157,2024-04-29T07:00:24Z,2024-04-29T07:08:06Z,2,1,MERGED
kynesis-dashboard,test,https://github.com/tal-rofe/kynesis-dashboard/pull/156,2024-04-29T06:35:14Z,2024-04-29T07:05:26Z,1,2,CLOSED
kynesis-dashboard,Amir production,https://github.com/tal-rofe/kynesis-dashboard/pull/155,2024-04-28T19:27:37Z,2024-04-28T19:31:15Z,1,3,CLOSED
kynesis-dashboard,test,https://github.com/tal-rofe/kynesis-dashboard/pull/154,2024-04-28T19:11:57Z,2024-04-28T19:25:57Z,1,1,CLOSED
kynesis-dashboard,add bash script,https://github.com/tal-rofe/kynesis-dashboard/pull/153,2024-04-28T19:02:25Z,2024-04-28T19:04:29Z,1,2,MERGED
kynesis-dashboard,chore: 🤖 [KYN-999] test,https://github.com/tal-rofe/kynesis-dashboard/pull/152,2024-04-28T18:52:57Z,2024-04-28T19:31:28Z,0,1,CLOSED
kynesis-dashboard,chore: 🤖 [KYN-999] test,https://github.com/tal-rofe/kynesis-dashboard/pull/151,2024-04-28T18:51:02Z,2024-04-28T18:52:32Z,1,1,CLOSED
kynesis-dashboard,refactor: 💡 [KYN-24] Add onboarding tracking script API endpoint,https://github.com/tal-rofe/kynesis-dashboard/pull/150,2024-04-28T18:47:46Z,2024-04-28T18:48:21Z,2,1,CLOSED
kynesis-dashboard,feat: 🔥 [KYN-33] inegrate CoreSignal API in the enrichment Lambda fun…,https://github.com/tal-rofe/kynesis-dashboard/pull/149,2024-04-28T17:36:10Z,2024-04-28T17:39:45Z,3,1,MERGED
kynesis-dashboard,1,https://github.com/tal-rofe/kynesis-dashboard/pull/148,2024-04-28T16:02:52Z,2024-04-28T16:03:00Z,1,1,MERGED
kynesis-dashboard,Fix authentication middleware bug,https://github.com/tal-rofe/kynesis-dashboard/pull/147,2024-04-28T15:40:58Z,2024-04-28T15:41:04Z,1,1,MERGED
