repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ui,Release 0.27.4,https://github.com/teamleadercrm/ui/pull/651,2019-07-19T12:03:21Z,2019-07-19T12:08:21Z,0,2,MERGED
ui,Fix loading spinner position,https://github.com/teamleadercrm/ui/pull/649,2019-07-18T11:52:16Z,2019-07-19T07:57:31Z,1,2,MERGED
ui,MenuItem: set background-image to none,https://github.com/teamleadercrm/ui/pull/647,2019-07-15T10:41:43Z,2019-07-16T11:13:00Z,10,2,CLOSED
ui,Release 0.27.3,https://github.com/teamleadercrm/ui/pull/642,2019-07-12T08:01:18Z,2019-07-12T08:24:40Z,0,3,MERGED
ui,Remove dependency: url-loader,https://github.com/teamleadercrm/ui/pull/638,2019-07-10T12:48:34Z,2019-07-10T15:04:54Z,0,2,MERGED
ui,AdvancedCollapsible,https://github.com/teamleadercrm/ui/pull/637,2019-07-10T12:31:04Z,2019-07-10T13:06:18Z,0,3,MERGED
ui,Release 0.27.2,https://github.com/teamleadercrm/ui/pull/633,2019-07-09T11:41:48Z,2019-07-09T14:07:49Z,0,2,MERGED
ui,New SplitButton component,https://github.com/teamleadercrm/ui/pull/629,2019-07-08T13:17:06Z,2019-07-08T14:50:59Z,2,5,MERGED
ui,"""New"" SplitButton component",https://github.com/teamleadercrm/ui/pull/628,2019-07-08T12:54:03Z,2019-07-08T13:01:28Z,0,6,CLOSED
ui,ProgressTracker: clickable status bullet only,https://github.com/teamleadercrm/ui/pull/627,2019-07-08T12:39:14Z,2019-07-08T13:44:41Z,1,4,MERGED
ui,AvatarInitials: set a default color value,https://github.com/teamleadercrm/ui/pull/626,2019-07-08T11:22:16Z,2019-07-08T11:46:31Z,0,2,MERGED
ui,Avatar: use display flex instead of inline-block,https://github.com/teamleadercrm/ui/pull/625,2019-07-08T11:12:04Z,2019-07-08T12:48:16Z,0,2,MERGED
