repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
token-dashboard,Sets up React Router,https://github.com/threshold-network/token-dashboard/pull/19,2021-10-29T21:36:47Z,2021-11-05T17:38:36Z,2,2,MERGED
token-dashboard,Erc20 token setup,https://github.com/threshold-network/token-dashboard/pull/18,2021-10-26T12:18:08Z,2021-11-05T17:51:45Z,3,5,MERGED
token-dashboard,Iconography,https://github.com/threshold-network/token-dashboard/pull/17,2021-10-25T09:25:56Z,2021-11-03T00:43:21Z,1,2,MERGED
token-dashboard,Create typography components that match the TDS,https://github.com/threshold-network/token-dashboard/pull/16,2021-10-13T23:21:18Z,2021-11-05T17:40:19Z,3,1,MERGED
token-dashboard,Top Nav & Wallet connection modal,https://github.com/threshold-network/token-dashboard/pull/15,2021-10-12T23:04:08Z,2021-11-17T11:14:22Z,55,79,MERGED
token-dashboard,Alert component styling,https://github.com/threshold-network/token-dashboard/pull/14,2021-10-05T23:08:51Z,2021-10-13T08:43:23Z,8,6,MERGED
token-dashboard,TopNav with wallet connection modal,https://github.com/threshold-network/token-dashboard/pull/13,2021-10-05T20:08:00Z,2021-10-12T23:11:02Z,4,22,CLOSED
token-dashboard,Create redux store with an example modal,https://github.com/threshold-network/token-dashboard/pull/12,2021-10-04T22:04:37Z,2021-10-08T08:00:10Z,12,9,MERGED
token-dashboard,Chromatic test 1,https://github.com/threshold-network/token-dashboard/pull/11,2021-10-04T16:13:02Z,2021-10-04T22:14:33Z,0,23,CLOSED
token-dashboard,E2E Cypress environment setup,https://github.com/threshold-network/token-dashboard/pull/10,2021-09-30T16:39:27Z,2021-10-12T07:51:57Z,13,10,MERGED
token-dashboard,Threshold heros,https://github.com/threshold-network/token-dashboard/pull/9,2021-09-29T01:00:38Z,2021-09-29T01:01:12Z,0,2,MERGED
token-dashboard,WIP: Adds Routing to basic pages with sidenav,https://github.com/threshold-network/token-dashboard/pull/8,2021-09-28T21:23:34Z,2021-11-03T00:44:09Z,2,8,CLOSED
token-dashboard,Chromatic test,https://github.com/threshold-network/token-dashboard/pull/7,2021-09-24T00:36:28Z,2021-09-24T15:33:34Z,0,2,CLOSED
token-dashboard,Configure commitlint,https://github.com/threshold-network/token-dashboard/pull/6,2021-09-22T16:01:31Z,2021-09-22T16:43:13Z,2,12,MERGED
token-dashboard,CI workflows configuration,https://github.com/threshold-network/token-dashboard/pull/5,2021-09-21T09:47:14Z,2021-10-07T08:43:44Z,15,13,MERGED
token-dashboard,Create Divider component with Icon prop,https://github.com/threshold-network/token-dashboard/pull/4,2021-09-20T21:46:21Z,2021-10-06T09:40:19Z,10,16,MERGED
token-dashboard,Adds custom chakra theme and storybook,https://github.com/threshold-network/token-dashboard/pull/2,2021-09-15T19:14:52Z,2021-10-04T16:59:28Z,20,22,MERGED
token-dashboard,initial CRA setup,https://github.com/threshold-network/token-dashboard/pull/1,2021-09-13T22:47:01Z,2021-09-22T16:43:12Z,26,14,MERGED
token-dashboard,Set T dapp env variables in CI,https://github.com/threshold-network/token-dashboard/pull/37,2021-12-28T13:33:25Z,2021-12-29T11:11:42Z,0,2,MERGED
token-dashboard,Display TVL on overview page,https://github.com/threshold-network/token-dashboard/pull/36,2021-12-23T15:20:11Z,2022-01-11T22:36:23Z,18,29,MERGED
token-dashboard,Erc20 approvals,https://github.com/threshold-network/token-dashboard/pull/35,2021-12-10T23:15:41Z,2021-12-14T11:42:30Z,4,44,MERGED
token-dashboard,Overview page,https://github.com/threshold-network/token-dashboard/pull/34,2021-12-10T23:04:59Z,2022-01-05T00:59:06Z,49,26,MERGED
token-dashboard,Upgrade flow- intergration with smart contracts,https://github.com/threshold-network/token-dashboard/pull/33,2021-12-10T15:18:36Z,2021-12-15T22:26:34Z,3,35,MERGED
token-dashboard,Test hooks,https://github.com/threshold-network/token-dashboard/pull/32,2021-12-07T15:14:18Z,2022-01-12T11:17:55Z,39,27,MERGED
token-dashboard,Upgrade flow,https://github.com/threshold-network/token-dashboard/pull/31,2021-12-02T13:07:28Z,2021-12-07T06:13:37Z,2,16,MERGED
token-dashboard,Add a supported chain id to the env,https://github.com/threshold-network/token-dashboard/pull/30,2021-11-23T21:54:51Z,2021-12-29T15:27:13Z,9,8,MERGED
token-dashboard,Adds connect wallet CTA to upgrade card,https://github.com/threshold-network/token-dashboard/pull/29,2021-11-23T19:30:41Z,2021-12-08T17:59:59Z,5,3,MERGED
token-dashboard,Remove hardware options from wallet dropdown list,https://github.com/threshold-network/token-dashboard/pull/28,2021-11-17T15:41:23Z,2021-11-17T15:48:37Z,2,1,MERGED
token-dashboard,"Fix accessibility issues, update IconButton styling",https://github.com/threshold-network/token-dashboard/pull/27,2021-11-10T22:55:39Z,2021-11-10T22:55:44Z,1,1,MERGED
token-dashboard,Token balance card with USD conversion rates [target: wallet-connect-modal],https://github.com/threshold-network/token-dashboard/pull/26,2021-11-10T00:03:37Z,2021-11-17T15:46:30Z,3,6,MERGED
token-dashboard,Trezor connector with multi address selection [target: wallet-connect-modal],https://github.com/threshold-network/token-dashboard/pull/25,2021-11-09T21:23:19Z,2021-11-17T15:44:52Z,3,4,MERGED
token-dashboard,Sidebar,https://github.com/threshold-network/token-dashboard/pull/24,2021-11-09T17:16:26Z,2021-12-08T17:34:06Z,15,22,MERGED
token-dashboard,Threshold Brand color theming,https://github.com/threshold-network/token-dashboard/pull/23,2021-11-09T02:40:17Z,2021-11-11T16:29:29Z,2,4,MERGED
