repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
triple-frontend,📦 v1.0.0-alpha.47,https://github.com/titicacadev/triple-frontend/pull/177,2019-10-31T04:51:16Z,2019-10-31T05:09:44Z,0,1,MERGED
triple-frontend,🐛 select option 버그 수정,https://github.com/titicacadev/triple-frontend/pull/176,2019-10-31T03:37:29Z,2019-10-31T03:46:02Z,0,1,MERGED
triple-frontend,search-navbar에 padding을 초기화합니다.,https://github.com/titicacadev/triple-frontend/pull/175,2019-10-30T09:41:26Z,2019-10-31T00:44:33Z,0,2,MERGED
triple-frontend,Feature: 검색광고 스펙 변동 대응,https://github.com/titicacadev/triple-frontend/pull/174,2019-10-30T08:31:49Z,2019-10-31T04:25:19Z,0,6,MERGED
triple-frontend,📦 version up v1.0.0-alpha.46,https://github.com/titicacadev/triple-frontend/pull/173,2019-10-30T07:05:14Z,2019-10-30T07:14:00Z,0,1,MERGED
triple-frontend,🐛 triple document 버그 수정 등,https://github.com/titicacadev/triple-frontend/pull/172,2019-10-30T06:51:34Z,2019-10-30T07:00:21Z,1,3,MERGED
triple-frontend,📦 popup 패키지를 만듭니다.,https://github.com/titicacadev/triple-frontend/pull/171,2019-10-30T06:32:25Z,2019-10-30T07:03:14Z,4,5,MERGED
triple-frontend,Feature: 광고 배너 컴포넌트 패키지 추가,https://github.com/titicacadev/triple-frontend/pull/170,2019-10-30T05:44:35Z,2019-10-31T04:34:02Z,10,16,MERGED
triple-frontend,"Fix: POI, article의 리뷰플레이스홀더 문구를 변경합니다",https://github.com/titicacadev/triple-frontend/pull/169,2019-10-30T02:01:32Z,2019-10-30T02:24:17Z,1,3,MERGED
triple-frontend,version up to 1.0.0-alpha.45,https://github.com/titicacadev/triple-frontend/pull/167,2019-10-30T01:51:00Z,2019-10-30T06:14:31Z,0,1,MERGED
triple-frontend,호텔 리뷰의 placeholder 를 수정합니다,https://github.com/titicacadev/triple-frontend/pull/166,2019-10-30T01:35:33Z,2019-10-30T01:48:17Z,0,1,MERGED
