repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
tornado,[FE] ESLint の設定にインポート順のルールの追加,https://github.com/tornado-team4/tornado/pull/103,2023-09-01T09:58:49Z,2023-09-03T14:37:20Z,2,2,MERGED
tornado,[FE] 完成画面の画像のリサイズ,https://github.com/tornado-team4/tornado/pull/101,2023-08-31T13:12:33Z,2023-08-31T13:14:18Z,1,1,MERGED
tornado,[FE] モバイルからアクセスした場合に、対応していない旨を表示する,https://github.com/tornado-team4/tornado/pull/100,2023-08-31T12:02:05Z,2023-08-31T13:14:30Z,1,1,MERGED
tornado,[FE] サービスのタイトルと説明の更新,https://github.com/tornado-team4/tornado/pull/97,2023-08-31T11:20:20Z,2023-08-31T12:09:59Z,1,1,MERGED
tornado,[FE] アイコンのクレジットの追加 + 他諸々変更,https://github.com/tornado-team4/tornado/pull/96,2023-08-31T11:11:20Z,2023-08-31T13:14:53Z,1,5,MERGED
tornado,[FE] / から top への遷移の作成,https://github.com/tornado-team4/tornado/pull/94,2023-08-31T09:07:51Z,2023-08-31T09:18:13Z,2,1,CLOSED
tornado,[FE] Imgame修正,https://github.com/tornado-team4/tornado/pull/93,2023-08-31T09:04:04Z,2023-08-31T09:27:31Z,2,9,MERGED
tornado,[FE] ロビー画面のバリデーション諸々の修正,https://github.com/tornado-team4/tornado/pull/92,2023-08-31T08:02:46Z,2023-08-31T09:25:07Z,1,9,MERGED
tornado,[FE] パズル完成,https://github.com/tornado-team4/tornado/pull/85,2023-08-31T06:15:00Z,2023-08-31T06:20:11Z,1,4,MERGED
tornado,[BE] gameObj に URL を追加する,https://github.com/tornado-team4/tornado/pull/81,2023-08-31T04:04:24Z,2023-08-31T04:29:37Z,1,4,MERGED
tornado,[FE] ゲーム達成画面に API の組み込み,https://github.com/tornado-team4/tornado/pull/79,2023-08-31T03:37:07Z,2023-08-31T03:42:28Z,1,3,MERGED
tornado,[FE] Recoil の適用,https://github.com/tornado-team4/tornado/pull/78,2023-08-31T02:56:28Z,2023-08-31T03:08:39Z,1,4,MERGED
tornado,[FE] Recoil追加,https://github.com/tornado-team4/tornado/pull/76,2023-08-31T01:19:39Z,2023-08-31T02:03:48Z,1,7,MERGED
tornado,[FE] グローバルステートライブラリ,https://github.com/tornado-team4/tornado/pull/75,2023-08-31T01:10:22Z,2023-08-31T01:14:27Z,1,19,CLOSED
tornado,[FE]ロビー画面のページの組み立てとBEとの繋ぎこみ,https://github.com/tornado-team4/tornado/pull/72,2023-08-30T17:12:32Z,2023-08-31T05:34:30Z,1,20,MERGED
tornado,[FE]プレイ内容のコンテンツの更新,https://github.com/tornado-team4/tornado/pull/71,2023-08-30T16:06:50Z,2023-08-31T01:59:49Z,1,3,MERGED
tornado,[FE] Firebaseとのピース状態共有,https://github.com/tornado-team4/tornado/pull/70,2023-08-30T11:13:23Z,2023-08-30T12:38:36Z,3,9,MERGED
tornado,[BE] 完成したパズルの画像の URL を取得する API の作成,https://github.com/tornado-team4/tornado/pull/69,2023-08-30T10:43:24Z,2023-08-31T00:28:39Z,1,2,MERGED
tornado,[FE]ロビー画面の画像アップロードのコンポーネント作成 ,https://github.com/tornado-team4/tornado/pull/66,2023-08-29T17:24:34Z,2023-08-30T16:10:15Z,1,4,MERGED
tornado,[FE] パズル達成画面の作成,https://github.com/tornado-team4/tornado/pull/63,2023-08-29T08:25:03Z,2023-08-30T09:29:45Z,3,8,MERGED
