repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
paste,refactor: upgrading to styled-system v5,https://github.com/twilio-labs/paste/pull/18,2019-07-30T23:57:49Z,2019-10-22T23:28:20Z,1,7,MERGED
paste,feat(website): [DSYS-1021] global content styles,https://github.com/twilio-labs/paste/pull/17,2019-07-30T22:10:46Z,2019-08-06T18:55:02Z,6,6,MERGED
paste,feat: new table component,https://github.com/twilio-labs/paste/pull/16,2019-07-30T17:48:04Z,2019-08-01T00:46:24Z,2,6,MERGED
paste,Feat: Add the design system backlog as placeholder package.json files,https://github.com/twilio-labs/paste/pull/15,2019-07-30T00:07:58Z,2019-08-01T00:09:03Z,2,4,MERGED
paste,feat(website): [DSYS-1046] website structure and navigation,https://github.com/twilio-labs/paste/pull/14,2019-07-29T23:42:38Z,2019-07-31T22:14:30Z,11,6,MERGED
paste,chore: correct a typo in the license file,https://github.com/twilio-labs/paste/pull/13,2019-07-26T23:24:10Z,2019-07-26T23:57:39Z,1,1,MERGED
paste,Type-checking fixes,https://github.com/twilio-labs/paste/pull/12,2019-07-26T22:45:09Z,2019-07-26T23:52:57Z,1,3,MERGED
paste,chore(CI): share the build assets between dependant jobs,https://github.com/twilio-labs/paste/pull/11,2019-07-26T20:46:33Z,2019-07-26T23:57:18Z,1,1,MERGED
paste,chore: add commitlint,https://github.com/twilio-labs/paste/pull/10,2019-07-26T20:06:03Z,2019-07-26T22:20:31Z,1,1,MERGED
paste,chore(lint): built the repo so that linting can happen properly,https://github.com/twilio-labs/paste/pull/9,2019-07-25T23:27:01Z,2019-07-26T04:14:52Z,0,1,MERGED
paste,chore(tools): update gitignore to not exclude the package cache for builds,https://github.com/twilio-labs/paste/pull/8,2019-07-25T21:58:31Z,2019-07-25T22:40:13Z,1,1,MERGED
paste,fix(website): Fix Header directory name casing to header,https://github.com/twilio-labs/paste/pull/7,2019-07-25T18:35:42Z,2019-07-25T20:51:29Z,0,1,MERGED
paste,chore(ci): Ensure deps are installed first before bootstrapping,https://github.com/twilio-labs/paste/pull/6,2019-07-25T15:35:36Z,2019-07-25T15:57:39Z,0,1,MERGED
paste,chore(ci): Get circleCI running,https://github.com/twilio-labs/paste/pull/5,2019-07-25T01:17:36Z,2019-07-25T15:21:36Z,1,1,MERGED
paste,chore(hosting): Set up zeit now hosting,https://github.com/twilio-labs/paste/pull/4,2019-07-24T23:36:48Z,2019-07-26T18:25:12Z,2,4,MERGED
paste,chore(yarn): add in the yarn.lock file,https://github.com/twilio-labs/paste/pull/3,2019-07-24T23:30:12Z,2019-07-25T00:01:55Z,1,1,MERGED
paste,fix: change @paste scope to @twilio-paste,https://github.com/twilio-labs/paste/pull/2,2019-07-24T22:45:14Z,2019-07-24T23:32:44Z,0,1,MERGED
paste,chore: add SOP checklist,https://github.com/twilio-labs/paste/pull/1,2019-07-24T22:32:25Z,2019-07-24T23:32:59Z,0,1,MERGED
paste,feat: update getting started,https://github.com/twilio-labs/paste/pull/162,2019-10-31T20:30:11Z,2019-11-01T17:22:56Z,1,2,MERGED
paste,chore(ci): correct applitools vrt run,https://github.com/twilio-labs/paste/pull/161,2019-10-31T18:54:55Z,2019-10-31T20:15:06Z,1,2,MERGED
paste,chore: force a change in anchor,https://github.com/twilio-labs/paste/pull/160,2019-10-31T18:09:36Z,2019-10-31T18:48:23Z,1,3,CLOSED
paste,docs: add the text component documentation,https://github.com/twilio-labs/paste/pull/159,2019-10-31T00:48:32Z,2019-11-01T17:45:58Z,1,5,MERGED
paste,Missing code of conduct,https://github.com/twilio-labs/paste/pull/158,2019-10-30T05:46:26Z,2019-10-31T14:52:23Z,5,4,MERGED
paste,fix: change the version number the website displays,https://github.com/twilio-labs/paste/pull/157,2019-10-29T22:39:52Z,2019-10-29T23:10:35Z,1,2,MERGED
paste,chore: update storybook,https://github.com/twilio-labs/paste/pull/156,2019-10-29T21:44:39Z,2019-10-29T21:45:12Z,1,1,MERGED
paste,fix(anchor): change hover styles,https://github.com/twilio-labs/paste/pull/155,2019-10-29T17:51:04Z,2019-10-31T15:12:41Z,2,4,MERGED
paste,feat: update types package to styled-system v5 format,https://github.com/twilio-labs/paste/pull/154,2019-10-29T15:13:12Z,2019-10-30T18:20:02Z,2,10,MERGED
paste,fix(anchor): export types and add tests,https://github.com/twilio-labs/paste/pull/153,2019-10-28T19:50:30Z,2019-10-30T21:27:02Z,5,7,MERGED
paste,fix: improved way of handling box props,https://github.com/twilio-labs/paste/pull/152,2019-10-26T01:38:49Z,2019-10-29T01:27:36Z,9,1,CLOSED
paste,feat: finalise the Text component,https://github.com/twilio-labs/paste/pull/151,2019-10-25T01:51:51Z,2019-10-28T21:27:42Z,1,3,MERGED
paste,feat: change some styles,https://github.com/twilio-labs/paste/pull/150,2019-10-23T18:10:57Z,2019-10-31T18:48:38Z,1,1,CLOSED
paste,feat(typography): heading component,https://github.com/twilio-labs/paste/pull/149,2019-10-23T15:37:06Z,2019-10-31T22:20:30Z,25,40,MERGED
paste,chore: get the applitools github checks API running,https://github.com/twilio-labs/paste/pull/148,2019-10-23T03:19:40Z,2019-10-23T17:38:12Z,4,1,MERGED
paste,fix: remove the underline from button states,https://github.com/twilio-labs/paste/pull/147,2019-10-22T17:01:01Z,2019-10-23T18:42:51Z,7,1,MERGED
paste,fix(website): change home buttons back to links,https://github.com/twilio-labs/paste/pull/146,2019-10-21T15:04:12Z,2019-10-21T21:37:45Z,1,1,MERGED
paste,feat(card): initial card implementation,https://github.com/twilio-labs/paste/pull/145,2019-10-18T20:59:52Z,2019-11-14T23:55:18Z,19,31,MERGED
paste,fix(tokens): updates border color to use color box,https://github.com/twilio-labs/paste/pull/144,2019-10-18T18:04:33Z,2019-10-28T14:28:20Z,6,7,MERGED
paste,Added the License section to README.md,https://github.com/twilio-labs/paste/pull/142,2019-10-18T15:14:47Z,2019-10-21T18:06:58Z,1,1,MERGED
paste,feat(types): notion of Static/InteractiveComponents,https://github.com/twilio-labs/paste/pull/139,2019-10-15T23:05:44Z,2019-10-16T15:18:19Z,1,1,CLOSED
paste,feat(core): a core bundle,https://github.com/twilio-labs/paste/pull/138,2019-10-15T21:44:24Z,2019-10-24T16:17:34Z,4,6,MERGED
paste,feat(typography): typography paragraph component,https://github.com/twilio-labs/paste/pull/137,2019-10-15T20:34:24Z,2019-10-22T22:25:34Z,12,5,MERGED
paste,chore: change http links to https,https://github.com/twilio-labs/paste/pull/136,2019-10-14T23:57:58Z,2019-10-15T14:44:30Z,1,1,MERGED
paste,"feat(website): SiteLink Component, replace Link with SiteLink",https://github.com/twilio-labs/paste/pull/135,2019-10-14T22:28:45Z,2019-10-15T15:18:41Z,6,5,MERGED
