repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,Design system initial sync,https://github.com/undp/design-system/pull/1,2021-03-23T19:55:34Z,2021-03-23T19:55:39Z,0,22,MERGED
design-system,Develop,https://github.com/undp/design-system/pull/6,2021-04-13T22:32:24Z,2021-04-13T22:32:36Z,0,63,MERGED
design-system,Develop,https://github.com/undp/design-system/pull/5,2021-04-02T17:05:52Z,2021-04-02T17:07:24Z,0,96,MERGED
design-system,Created pagewide card,https://github.com/undp/design-system/pull/127,2021-10-31T15:37:39Z,2021-11-02T09:50:19Z,9,1,MERGED
design-system,Created authorcard summary,https://github.com/undp/design-system/pull/126,2021-10-30T10:08:34Z,2021-11-03T06:20:13Z,10,1,MERGED
design-system,modal light box blank,https://github.com/undp/design-system/pull/125,2021-10-29T11:18:33Z,2021-11-01T12:12:57Z,4,1,MERGED
design-system,Images Organisms define,https://github.com/undp/design-system/pull/124,2021-10-29T10:04:43Z,2021-11-02T06:20:55Z,5,1,MERGED
design-system,undp pr,https://github.com/undp/design-system/pull/123,2021-10-29T08:03:36Z,2021-11-03T12:47:37Z,5,6,CLOSED
design-system,scroll bar,https://github.com/undp/design-system/pull/122,2021-10-29T06:55:31Z,2021-11-01T12:14:35Z,3,1,MERGED
design-system,Undp 17 organism text,https://github.com/undp/design-system/pull/121,2021-10-29T06:13:52Z,2021-11-01T05:56:28Z,1,1,MERGED
design-system,single card variation,https://github.com/undp/design-system/pull/120,2021-10-28T08:19:44Z,2021-10-29T04:30:00Z,2,1,MERGED
design-system,Fixed hero organisms spacing,https://github.com/undp/design-system/pull/119,2021-10-28T08:11:13Z,2021-10-28T10:45:42Z,1,1,MERGED
design-system,Removed extra space/border,https://github.com/undp/design-system/pull/118,2021-10-28T06:10:17Z,2021-10-28T06:58:41Z,1,1,MERGED
design-system,Added spacing for icon,https://github.com/undp/design-system/pull/117,2021-10-26T12:02:31Z,2021-10-26T12:22:36Z,1,1,MERGED
design-system,Undp 215/b spacing language,https://github.com/undp/design-system/pull/116,2021-10-26T11:51:39Z,2021-10-26T11:54:45Z,0,2,CLOSED
design-system,eslint command updated for fixing js/jsx linting issues and ignore md…,https://github.com/undp/design-system/pull/115,2021-10-26T11:28:28Z,2021-10-27T08:42:19Z,1,2,MERGED
design-system,eslint command updated for fixing js/jsx linting issues and ignore md…,https://github.com/undp/design-system/pull/114,2021-10-26T10:19:11Z,2021-10-26T11:03:24Z,1,1,CLOSED
design-system,Removed background img from unwanted components,https://github.com/undp/design-system/pull/113,2021-10-26T09:27:01Z,2021-10-26T10:14:00Z,0,1,MERGED
design-system,Und 45 parallax card,https://github.com/undp/design-system/pull/112,2021-10-26T09:18:10Z,2021-10-26T09:18:20Z,0,2,MERGED
design-system,UND-45 fixing spacing for rtl,https://github.com/undp/design-system/pull/111,2021-10-26T08:33:16Z,2021-10-26T08:33:29Z,0,1,MERGED
design-system,Added spacing for sub-menu,https://github.com/undp/design-system/pull/110,2021-10-25T16:03:29Z,2021-10-26T05:46:28Z,1,1,MERGED
design-system,Undp 214 sidebar bug,https://github.com/undp/design-system/pull/109,2021-10-25T15:49:44Z,2021-10-25T15:56:44Z,1,2,CLOSED
