repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
wikit,Complete and improve transition tokens,https://github.com/wmde/wikit/pull/113,2020-07-24T15:13:58Z,2020-08-05T10:02:10Z,2,12,MERGED
wikit,Add ADR for RTL support,https://github.com/wmde/wikit/pull/112,2020-07-24T13:15:14Z,2020-08-04T08:21:13Z,5,1,MERGED
wikit,docs: add ADR regarding logical CSS directionality,https://github.com/wmde/wikit/pull/111,2020-07-24T12:37:12Z,2020-07-24T13:50:51Z,1,1,CLOSED
wikit,Use SASS,https://github.com/wmde/wikit/pull/110,2020-07-24T11:25:56Z,2020-07-24T14:05:15Z,0,2,MERGED
wikit,Install and configure Stylelint,https://github.com/wmde/wikit/pull/109,2020-07-24T11:03:18Z,2020-08-03T13:03:44Z,5,2,MERGED
wikit,docs: CSS scoping ADR & apply decision in real life,https://github.com/wmde/wikit/pull/108,2020-07-24T10:46:34Z,2020-08-03T13:02:17Z,5,3,MERGED
wikit,Use css logical properties to support both LTR and RTL languages,https://github.com/wmde/wikit/pull/107,2020-07-24T09:29:25Z,2020-08-05T08:56:59Z,5,3,MERGED
wikit,Reset styles using ress,https://github.com/wmde/wikit/pull/106,2020-07-23T16:18:37Z,2020-08-04T19:19:48Z,5,2,CLOSED
wikit,Dedicated storybook for vue-components & compose it into docs,https://github.com/wmde/wikit/pull/105,2020-07-23T10:06:18Z,2020-07-24T14:39:26Z,3,5,MERGED
wikit,Storybook composition,https://github.com/wmde/wikit/pull/104,2020-07-22T17:20:22Z,2020-07-24T04:52:36Z,1,7,CLOSED
wikit,Configure linting rules,https://github.com/wmde/wikit/pull/103,2020-07-22T10:37:09Z,2020-07-22T15:29:16Z,3,1,MERGED
wikit,Create a shared style namespace,https://github.com/wmde/wikit/pull/102,2020-07-22T09:14:51Z,2020-07-24T08:45:59Z,1,1,MERGED
wikit,Updated Getting started page according to the new structure,https://github.com/wmde/wikit/pull/101,2020-07-22T08:30:10Z,2020-07-22T11:03:08Z,0,1,MERGED
wikit,optimize size and width tokens,https://github.com/wmde/wikit/pull/100,2020-07-21T13:36:51Z,2020-07-21T15:23:56Z,1,2,MERGED
wikit,Add docs for vue being external to the lib,https://github.com/wmde/wikit/pull/99,2020-07-21T13:14:31Z,2020-07-21T14:29:05Z,0,1,MERGED
wikit,display all width tokens,https://github.com/wmde/wikit/pull/98,2020-07-21T12:18:21Z,2020-07-21T13:30:06Z,1,13,CLOSED
wikit,docs: document base CSS decision,https://github.com/wmde/wikit/pull/96,2020-07-20T16:26:51Z,2020-07-21T10:38:34Z,2,1,MERGED
wikit,Externalize vue as a dependency,https://github.com/wmde/wikit/pull/95,2020-07-20T15:38:00Z,2020-07-21T12:47:52Z,2,1,CLOSED
wikit,Getting started page should be on top,https://github.com/wmde/wikit/pull/94,2020-07-20T14:11:41Z,2020-07-21T11:11:28Z,3,7,MERGED
wikit,Unify npm lint scripts,https://github.com/wmde/wikit/pull/93,2020-07-20T11:59:27Z,2020-07-20T14:45:29Z,0,1,MERGED
wikit,Add badges to README,https://github.com/wmde/wikit/pull/92,2020-07-17T14:46:14Z,2020-07-20T16:16:49Z,3,2,MERGED
wikit,Add more specific linting rules,https://github.com/wmde/wikit/pull/91,2020-07-17T14:26:46Z,2020-07-21T09:06:47Z,3,3,MERGED
wikit,Storybook addons,https://github.com/wmde/wikit/pull/90,2020-07-17T14:15:55Z,2020-08-04T07:19:55Z,3,3,CLOSED
wikit,Components storybook,https://github.com/wmde/wikit/pull/89,2020-07-17T12:22:39Z,2020-08-03T09:20:12Z,4,6,CLOSED
wikit,ADR about manual token documentation,https://github.com/wmde/wikit/pull/88,2020-07-17T11:53:22Z,2020-07-17T14:20:17Z,0,2,MERGED
wikit,Configure browserslist,https://github.com/wmde/wikit/pull/87,2020-07-17T11:22:29Z,2020-07-20T08:37:21Z,0,2,MERGED
wikit,"docs: nowrap only for token names, not the whole column",https://github.com/wmde/wikit/pull/86,2020-07-16T15:40:50Z,2020-07-17T08:18:12Z,5,1,MERGED
wikit,Consistently format token json files,https://github.com/wmde/wikit/pull/85,2020-07-16T14:22:05Z,2020-07-16T15:57:39Z,0,2,MERGED
wikit,Setup vue-components with vue-cli,https://github.com/wmde/wikit/pull/84,2020-07-16T11:44:57Z,2020-07-17T10:14:09Z,6,2,MERGED
wikit,Add ADR for using TypeScript without Decorators,https://github.com/wmde/wikit/pull/83,2020-07-16T10:56:57Z,2020-07-16T14:48:53Z,9,1,MERGED
