repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-payments,[2단계 - 페이먼츠 미션] 크리스(이송원) 미션 제출합니다,https://github.com/woowacourse/react-payments/pull/60,2021-05-24T16:44:44Z,2021-06-10T10:10:16Z,4,76,MERGED
react-payments,[2단계 - 페이먼츠 미션] 브콜(오태은) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/59,2021-05-18T09:04:07Z,2021-05-31T04:41:40Z,20,27,MERGED
react-payments,[2단계 - 페이먼츠 미션] 썬(권선영) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/51,2021-05-16T09:54:52Z,2021-05-20T13:57:50Z,3,10,MERGED
react-payments,[2단계 - 페이먼츠 미션] 서니(박선희) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/50,2021-05-16T06:41:09Z,2021-06-05T05:32:22Z,5,91,MERGED
react-payments,[2단계 - 페이먼츠 미션] 하루(김하루) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/49,2021-05-15T19:34:23Z,2021-05-20T13:32:23Z,6,17,MERGED
react-payments,[2단계 - 페이먼츠 미션] 유조(조윤호) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/48,2021-05-15T06:08:05Z,2021-05-19T06:02:41Z,0,5,MERGED
react-payments,[2단계 - 페이먼츠 미션] 인치(한창희) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/34,2021-05-09T11:36:12Z,2021-05-09T14:13:51Z,5,18,MERGED
react-payments,[2단계 - 페이먼츠 미션] 지그(송지은) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/33,2021-05-06T12:09:53Z,2021-05-19T05:55:29Z,13,16,MERGED
react-payments,[2단계 - 페이먼츠 미션] 체프(심문성) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/32,2021-05-06T11:51:09Z,2021-05-15T06:54:54Z,8,82,MERGED
react-payments,[2단계 - 페이먼츠 미션] 파노(전환오) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/31,2021-05-04T23:21:22Z,2021-05-15T03:31:21Z,23,28,MERGED
react-payments,[2단계 - 페이먼츠 미션] 브랜(서지환) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/30,2021-05-04T18:09:20Z,2021-05-09T14:05:37Z,4,15,MERGED
react-payments,[1단계 - 페이먼츠 미션] 크리스(이송원) 미션 제출합니다,https://github.com/woowacourse/react-payments/pull/29,2021-05-03T18:01:56Z,2021-05-15T18:04:19Z,15,60,MERGED
react-payments,[1단계 - 페이먼츠 미션] 주모(한준모) 미션 제출합니다,https://github.com/woowacourse/react-payments/pull/28,2021-05-03T16:49:49Z,2021-09-16T12:24:34Z,11,48,MERGED
react-payments,[2단계 - 페이먼츠 미션] 곤이(김기융) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/27,2021-05-03T13:28:10Z,2021-05-14T15:14:21Z,4,12,MERGED
react-payments,[1단계 - 페이먼츠 미션] 카일(임광열) 미션 제출합니다,https://github.com/woowacourse/react-payments/pull/26,2021-05-03T08:38:46Z,2021-05-31T04:39:58Z,13,42,MERGED
react-payments,[1단계 - 페이먼츠 미션] 콜린(이수연) 미션 제출합니다,https://github.com/woowacourse/react-payments/pull/25,2021-05-03T03:23:05Z,2021-09-16T12:23:53Z,9,84,MERGED
react-payments,[2단계 - 페이먼츠 미션] 디토(천영석) 미션 제출합니다.,https://github.com/woowacourse/react-payments/pull/24,2021-05-02T15:17:54Z,2021-05-07T05:47:08Z,15,24,MERGED
