repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
sg-orbit,Fix incorrect box-shadow-4 variable in tachyons core,https://github.com/workleap/sg-orbit/pull/26,2019-10-29T19:22:44Z,2019-10-29T19:32:18Z,0,1,MERGED
sg-orbit,Close date pickers on blur,https://github.com/workleap/sg-orbit/pull/21,2019-10-08T20:26:54Z,2019-10-08T20:27:04Z,0,13,MERGED
sg-orbit,Treat eslint warnings as errors on CI,https://github.com/workleap/sg-orbit/pull/20,2019-10-03T20:57:36Z,2019-10-03T20:57:50Z,0,3,MERGED
sg-orbit,"The MultiSelect component dropdown should close when ""tab out""",https://github.com/workleap/sg-orbit/pull/19,2019-10-03T17:29:00Z,2019-10-03T17:29:31Z,0,3,MERGED
sg-orbit,Tests remote search input,https://github.com/workleap/sg-orbit/pull/18,2019-10-01T21:12:43Z,2019-10-01T21:12:54Z,0,4,MERGED
sg-orbit,Tests for the search-input component,https://github.com/workleap/sg-orbit/pull/17,2019-10-01T01:43:44Z,2019-10-01T01:43:57Z,0,10,MERGED
sg-orbit,Test multi select,https://github.com/workleap/sg-orbit/pull/16,2019-09-26T21:55:02Z,2019-09-26T21:55:18Z,0,11,MERGED
sg-orbit,Feature/semantic checbkox,https://github.com/workleap/sg-orbit/pull/14,2019-09-25T16:02:01Z,2019-09-25T18:11:46Z,2,6,MERGED
sg-orbit,Fix jest test on ci  ci,https://github.com/workleap/sg-orbit/pull/13,2019-09-24T20:21:34Z,2019-09-24T20:23:19Z,0,6,MERGED
sg-orbit,chore/add jest,https://github.com/workleap/sg-orbit/pull/12,2019-09-24T14:51:01Z,2019-09-24T14:51:27Z,0,18,MERGED
sg-orbit,fixes,https://github.com/workleap/sg-orbit/pull/11,2019-09-19T18:22:38Z,2019-09-20T13:45:16Z,1,2,MERGED
sg-orbit,fix/search input tab support,https://github.com/workleap/sg-orbit/pull/10,2019-09-18T21:00:37Z,2019-09-18T21:01:07Z,0,1,MERGED
sg-orbit,Feature/improve multi select keyboard support,https://github.com/workleap/sg-orbit/pull/9,2019-09-18T20:37:23Z,2019-09-18T20:37:36Z,0,3,MERGED
sg-orbit,Feature/react bundle package,https://github.com/workleap/sg-orbit/pull/8,2019-09-17T20:16:00Z,2019-09-17T20:16:29Z,0,11,MERGED
sg-orbit,Feature/single date picker,https://github.com/workleap/sg-orbit/pull/7,2019-09-16T20:25:40Z,2019-09-16T20:27:49Z,0,52,MERGED
sg-orbit,Feature/dark theme,https://github.com/workleap/sg-orbit/pull/4,2019-09-11T20:33:53Z,2020-01-17T02:09:40Z,9,7,CLOSED
sg-orbit,medir queries are back,https://github.com/workleap/sg-orbit/pull/3,2019-09-06T13:19:43Z,2019-09-06T13:27:07Z,0,1,MERGED
sg-orbit,Date Range Picker now support up and down opening direction,https://github.com/workleap/sg-orbit/pull/2,2019-09-05T21:02:34Z,2019-09-05T21:03:08Z,0,7,MERGED
sg-orbit,Icons WIP,https://github.com/workleap/sg-orbit/pull/1,2019-08-26T19:24:26Z,2019-08-26T21:06:40Z,7,6,MERGED
sg-orbit,Generate mdx stories section from shared utils,https://github.com/workleap/sg-orbit/pull/88,2019-12-31T17:44:55Z,2019-12-31T18:04:36Z,2,3,MERGED
sg-orbit,Fix intermittent failing Jest tests,https://github.com/workleap/sg-orbit/pull/87,2019-12-31T17:25:22Z,2019-12-31T17:33:44Z,2,1,MERGED
sg-orbit,Extract icon gallery docs block in a standalone package,https://github.com/workleap/sg-orbit/pull/86,2019-12-31T03:55:29Z,2019-12-31T04:21:13Z,4,6,MERGED
sg-orbit,Updated docs to publish to netlify,https://github.com/workleap/sg-orbit/pull/83,2019-12-24T18:37:22Z,2019-12-24T18:37:37Z,2,1,MERGED
sg-orbit,Switched chromatic infra to build and upload,https://github.com/workleap/sg-orbit/pull/82,2019-12-24T17:57:50Z,2019-12-24T18:10:00Z,4,2,MERGED
sg-orbit,Use stylelint autofix instead of prettier and enforce consistant linebreaks for style and js,https://github.com/workleap/sg-orbit/pull/80,2019-12-24T00:33:28Z,2019-12-24T00:42:03Z,4,2,MERGED
sg-orbit,Added stories to test the date pickers over elements with z-index,https://github.com/workleap/sg-orbit/pull/79,2019-12-23T22:18:21Z,2019-12-23T22:32:26Z,2,1,MERGED
