repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
wl-orbiter,add changeset,https://github.com/workleap/wl-orbiter/pull/42,2023-10-25T18:41:49Z,2023-10-25T19:23:42Z,2,3,MERGED
wl-orbiter,Feature/QA,https://github.com/workleap/wl-orbiter/pull/41,2023-10-25T17:35:27Z,2023-10-25T18:16:35Z,2,3,MERGED
wl-orbiter,Bug: [OR-195],https://github.com/workleap/wl-orbiter/pull/40,2023-10-25T14:52:48Z,2023-10-25T17:01:43Z,2,5,MERGED
wl-orbiter,Feature/doc updates,https://github.com/workleap/wl-orbiter/pull/39,2023-10-24T17:24:01Z,2023-10-24T18:00:21Z,4,4,CLOSED
wl-orbiter,Feature/OR-167 - Tabs Rebrand,https://github.com/workleap/wl-orbiter/pull/38,2023-10-24T01:21:41Z,2023-10-24T18:41:57Z,16,13,MERGED
wl-orbiter,Feat: [OR-191] Added Banner on Installation page,https://github.com/workleap/wl-orbiter/pull/37,2023-10-23T21:18:15Z,2023-10-24T17:43:35Z,3,2,MERGED
wl-orbiter,"Feat: [OR-168, OR-155, OR-141, OR-134]",https://github.com/workleap/wl-orbiter/pull/36,2023-10-20T20:43:11Z,2023-10-23T20:31:23Z,7,7,MERGED
wl-orbiter,Feat: [OR-170-154-165],https://github.com/workleap/wl-orbiter/pull/35,2023-10-20T19:31:00Z,2023-10-20T19:55:25Z,8,5,MERGED
wl-orbiter,Feat(rebrand): rebrand radio button,https://github.com/workleap/wl-orbiter/pull/34,2023-10-20T15:23:42Z,2023-10-20T18:28:53Z,9,3,MERGED
wl-orbiter,OR-173 - Rebranded Tile component,https://github.com/workleap/wl-orbiter/pull/33,2023-10-20T12:05:59Z,2023-10-20T16:02:56Z,2,2,MERGED
wl-orbiter,"Feature: [OR-140, OR-137, OR-159, OR-136]",https://github.com/workleap/wl-orbiter/pull/32,2023-10-19T20:08:37Z,2023-10-20T13:45:01Z,2,2,MERGED
wl-orbiter,"Feat: [OR-147-148-149-150] styling for icons, illustratedMessage, Illustration and Image",https://github.com/workleap/wl-orbiter/pull/31,2023-10-19T19:35:29Z,2023-10-20T14:34:17Z,4,3,MERGED
wl-orbiter,update default font oclor,https://github.com/workleap/wl-orbiter/pull/30,2023-10-19T17:25:02Z,2023-10-19T18:14:30Z,2,1,MERGED
wl-orbiter,Feat: [OR-151] InputGroup Rebrand,https://github.com/workleap/wl-orbiter/pull/29,2023-10-18T21:34:11Z,2023-10-19T14:17:30Z,2,1,MERGED
wl-orbiter,rebranded link component,https://github.com/workleap/wl-orbiter/pull/28,2023-10-18T20:44:02Z,2023-10-20T12:21:48Z,4,6,MERGED
wl-orbiter,rebranded accordion,https://github.com/workleap/wl-orbiter/pull/27,2023-10-18T19:56:43Z,2023-10-19T16:13:37Z,5,3,MERGED
wl-orbiter,Feat(rebrand): Checkbox rebrand,https://github.com/workleap/wl-orbiter/pull/26,2023-10-18T18:04:31Z,2023-10-19T17:26:40Z,4,4,MERGED
wl-orbiter,Feat: [OR-164] Select Rebrand,https://github.com/workleap/wl-orbiter/pull/25,2023-10-18T15:58:15Z,2023-10-18T20:57:25Z,3,5,MERGED
wl-orbiter,Feat: [OR-128] Autocomplete rebrand and ellipsis fix,https://github.com/workleap/wl-orbiter/pull/24,2023-10-18T13:56:41Z,2023-10-18T15:33:53Z,3,3,MERGED
wl-orbiter,Feature/OR-158 - Rebrand of Modal / Dialog / Alert,https://github.com/workleap/wl-orbiter/pull/23,2023-10-18T13:48:22Z,2023-10-18T18:27:43Z,4,7,MERGED
wl-orbiter,Feat: [OR-170] TextArea Rebrand ,https://github.com/workleap/wl-orbiter/pull/22,2023-10-17T18:58:06Z,2023-10-19T19:09:16Z,5,3,CLOSED
wl-orbiter,Feature/OR 138 - Rebrand of Disclosure,https://github.com/workleap/wl-orbiter/pull/21,2023-10-17T16:58:57Z,2023-10-17T19:59:23Z,4,3,MERGED
wl-orbiter,OR-138 - Updated Disclosure values to use hopper tokens,https://github.com/workleap/wl-orbiter/pull/20,2023-10-17T16:36:19Z,2023-10-17T16:56:58Z,2,2,CLOSED
wl-orbiter,Feat: [OR-144 - OR-142] Form and Field Rebrand,https://github.com/workleap/wl-orbiter/pull/19,2023-10-16T20:53:16Z,2023-10-17T16:48:48Z,4,5,MERGED
wl-orbiter,Feat: [OR-156] Menu Rebrand,https://github.com/workleap/wl-orbiter/pull/18,2023-10-16T20:47:29Z,2023-10-17T19:26:00Z,6,5,MERGED
wl-orbiter,Feat: [OR-153] Listbox rebrand,https://github.com/workleap/wl-orbiter/pull/17,2023-10-16T18:27:57Z,2023-10-17T19:38:39Z,8,7,MERGED
wl-orbiter,OR-162 - Rebranded Popover,https://github.com/workleap/wl-orbiter/pull/16,2023-10-16T16:12:16Z,2023-10-17T15:03:11Z,4,3,MERGED
wl-orbiter,Update tokens ,https://github.com/workleap/wl-orbiter/pull/15,2023-10-13T20:21:24Z,2023-10-17T13:59:02Z,3,2,MERGED
wl-orbiter,Feature/OR-175 - Rebrand Tooltip,https://github.com/workleap/wl-orbiter/pull/14,2023-10-13T20:12:56Z,2023-10-17T15:03:29Z,3,5,MERGED
wl-orbiter,Feat: [OR-130] Badge rebrand,https://github.com/workleap/wl-orbiter/pull/13,2023-10-13T19:15:48Z,2023-10-16T17:49:01Z,2,1,MERGED
wl-orbiter,Message,https://github.com/workleap/wl-orbiter/pull/12,2023-10-13T15:33:51Z,2023-10-13T18:39:08Z,2,2,MERGED
wl-orbiter,Feat(rebrand): TextInput rebrand,https://github.com/workleap/wl-orbiter/pull/11,2023-10-12T20:31:37Z,2023-10-17T00:09:02Z,7,5,MERGED
wl-orbiter,Feat: [OR-166] Switch rebrand,https://github.com/workleap/wl-orbiter/pull/10,2023-10-12T19:52:50Z,2023-10-13T19:27:38Z,14,4,MERGED
wl-orbiter,adapted the crossbutton icon size,https://github.com/workleap/wl-orbiter/pull/9,2023-10-12T14:17:06Z,2023-10-12T17:11:29Z,3,3,MERGED
wl-orbiter,rebranded Card / renamed outline to elevated as default is now outline,https://github.com/workleap/wl-orbiter/pull/8,2023-10-11T18:51:08Z,2023-10-13T18:43:34Z,5,4,MERGED
wl-orbiter,Feature/or 125,https://github.com/workleap/wl-orbiter/pull/7,2023-10-10T18:28:35Z,2023-10-11T18:54:25Z,6,5,MERGED
wl-orbiter,Gave the Avatar component the new Brand,https://github.com/workleap/wl-orbiter/pull/6,2023-10-10T17:41:48Z,2023-10-12T17:54:53Z,12,5,MERGED
wl-orbiter,Update to Style System,https://github.com/workleap/wl-orbiter/pull/5,2023-10-06T15:33:46Z,2023-10-13T19:52:04Z,7,34,MERGED
wl-orbiter,Feature/typography,https://github.com/workleap/wl-orbiter/pull/4,2023-10-05T14:55:50Z,2023-10-06T18:11:46Z,8,21,MERGED
wl-orbiter,Update documentation to reflect orbiter scope,https://github.com/workleap/wl-orbiter/pull/3,2023-10-04T19:37:34Z,2023-10-05T00:38:38Z,2,2,MERGED
wl-orbiter,Remove theming,https://github.com/workleap/wl-orbiter/pull/2,2023-10-03T19:00:14Z,2023-10-04T15:05:42Z,2,3,MERGED
wl-orbiter,rename package to orbiter,https://github.com/workleap/wl-orbiter/pull/1,2023-10-03T15:39:45Z,2023-10-03T17:27:19Z,2,1,MERGED
wl-orbiter,updated neutral strong surface token in dark mode,https://github.com/workleap/wl-orbiter/pull/58,2023-12-11T13:38:52Z,2023-12-11T14:04:52Z,2,1,MERGED
wl-orbiter,Heading Small Line Height Token value update,https://github.com/workleap/wl-orbiter/pull/55,2023-12-06T19:22:04Z,2023-12-07T01:05:49Z,2,1,MERGED
wl-orbiter,Feature: [OR-204] Added Tabs variants,https://github.com/workleap/wl-orbiter/pull/49,2023-11-13T16:44:02Z,2023-11-13T20:05:44Z,8,8,MERGED
