repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
svelboost,Update Style + UX Writing for `MetamaskLogin` popup case `wrong-chain`,https://github.com/zolotokrylin/svelboost/pull/11,2021-09-09T02:57:35Z,2021-09-14T12:20:53Z,4,7,MERGED
svelboost,feat: badge info state,https://github.com/zolotokrylin/svelboost/pull/10,2021-09-06T15:58:30Z,2021-09-06T16:03:48Z,0,1,MERGED
svelboost,feat: selector option img,https://github.com/zolotokrylin/svelboost/pull/9,2021-09-01T12:42:04Z,2021-09-02T06:57:03Z,0,2,MERGED
svelboost,feat: popup component,https://github.com/zolotokrylin/svelboost/pull/8,2021-08-27T13:45:54Z,2021-08-29T02:54:22Z,0,2,MERGED
svelboost,"if table-row is hoverable, cursor:pointer will be applied",https://github.com/zolotokrylin/svelboost/pull/7,2021-08-24T13:37:01Z,2021-08-24T14:58:38Z,2,6,MERGED
svelboost,feat: add-chain-request,https://github.com/zolotokrylin/svelboost/pull/6,2021-08-24T07:26:02Z,2021-08-26T06:11:46Z,0,5,MERGED
svelboost,feat: button disabled state,https://github.com/zolotokrylin/svelboost/pull/5,2021-08-23T07:16:42Z,2021-08-24T07:16:20Z,1,2,MERGED
svelboost,feat: input with coin label,https://github.com/zolotokrylin/svelboost/pull/4,2021-08-20T16:08:12Z,2021-08-20T16:42:28Z,2,2,MERGED
svelboost,feat: selector empty option,https://github.com/zolotokrylin/svelboost/pull/3,2021-08-19T08:56:35Z,2021-08-19T10:07:34Z,0,2,MERGED
svelboost,feat: tabs-component,https://github.com/zolotokrylin/svelboost/pull/2,2021-08-13T12:42:17Z,2021-08-20T08:49:36Z,10,92,MERGED
svelboost,feat: landing-components,https://github.com/zolotokrylin/svelboost/pull/13,2021-11-15T16:17:54Z,2021-11-18T16:33:08Z,6,26,MERGED
svelboost,feat: button icon types,https://github.com/zolotokrylin/svelboost/pull/18,2022-03-22T10:50:36Z,2022-03-23T10:19:25Z,0,1,MERGED
svelboost,hotfix: form reinitialization,https://github.com/zolotokrylin/svelboost/pull/17,2022-01-31T09:15:13Z,2022-01-31T13:04:51Z,0,3,MERGED
svelboost,feat: class-based disabled state,https://github.com/zolotokrylin/svelboost/pull/16,2022-01-28T16:10:12Z,2022-01-28T16:24:52Z,0,1,MERGED
svelboost,feat: svelte kit migration,https://github.com/zolotokrylin/svelboost/pull/15,2022-01-05T12:25:31Z,2022-01-31T13:43:13Z,0,20,MERGED
svelboost,feat: tooltip element,https://github.com/zolotokrylin/svelboost/pull/14,2022-01-04T15:15:51Z,2022-01-28T06:40:04Z,2,10,MERGED
svelboost,feat: secondary button style,https://github.com/zolotokrylin/svelboost/pull/19,2022-06-20T12:25:17Z,2022-06-28T10:15:17Z,0,4,MERGED
