repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state,changefile,addline,deleteline,fileChanges
AmazeeLabs/silverback-template,style(SLB-405): fix onload animation,https://github.com/AmazeeLabs/silverback-template/pull/267,2024-05-30T08:13:23Z,2024-05-30T08:28:21Z,0,2,MERGED,1,2,1,MODIFIED:packages/ui/src/components/Molecules/FadeUp.tsx
BBC-archive/psammead,adds error handling to performance metrics collection,https://github.com/BBC-archive/psammead/pull/4573,2021-10-05T12:54:15Z,2021-10-06T07:19:46Z,0,5,MERGED,5,47,15,"ADDED:.yarn/versions/e4d654fd.yml
MODIFIED:packages/utilities/web-vitals/CHANGELOG.md
MODIFIED:packages/utilities/web-vitals/package.json
MODIFIED:packages/utilities/web-vitals/src/index.js
MODIFIED:packages/utilities/web-vitals/src/index.test.js"
CruGlobal/mpdx-react,MPDX-8218 - Open Nav and menu links in new tab,https://github.com/CruGlobal/mpdx-react/pull/1070,2024-09-13T20:44:32Z,2024-09-16T19:32:21Z,2,2,MERGED,4,59,35,"MODIFIED:src/components/Layouts/Primary/NavBar/NavItem/NavItem.tsx
MODIFIED:src/components/Layouts/Primary/TopBar/Items/NavMenu/NavMenu.tsx
MODIFIED:src/components/Layouts/Primary/TopBar/Items/ProfileMenu/ProfileMenu.tsx
MODIFIED:src/components/Shared/MultiPageLayout/MultiPageMenu/Item/Item.tsx"
Crystal-Creations-GbR/crystal-components,Add properties to `CCard` and `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/92,2024-04-26T15:44:55Z,2024-04-26T20:40:30Z,2,3,MERGED,4,142,6,"MODIFIED:src/components/CCard.vue
MODIFIED:src/components/dialogs/CCardDialog.vue
MODIFIED:stories/CCard.stories.ts
MODIFIED:stories/dialogs/CCardDialog.stories.ts"
DouyinFE/semi-design,"fix: Fixed single-select Cascader, under React18, the expansion behav…",https://github.com/DouyinFE/semi-design/pull/2435,2024-08-21T12:21:08Z,2024-09-03T03:36:30Z,2,1,MERGED,1,13,3,MODIFIED:packages/semi-ui/cascader/index.tsx
DouyinFE/semi-design,feat: support showRestInDropdown in tabs,https://github.com/DouyinFE/semi-design/pull/2289,2024-06-11T07:26:48Z,2024-06-17T12:33:54Z,3,3,MERGED,7,74,32,"MODIFIED:content/navigation/tabs/index-en-US.md
MODIFIED:content/navigation/tabs/index.md
MODIFIED:cypress/e2e/tabs.spec.js
MODIFIED:packages/semi-ui/tabs/TabBar.tsx
MODIFIED:packages/semi-ui/tabs/_story/tabs.stories.jsx
MODIFIED:packages/semi-ui/tabs/index.tsx
MODIFIED:packages/semi-ui/tabs/interface.ts"
Esri/calcite-design-system,docs(contributing): add design estimates,https://github.com/Esri/calcite-design-system/pull/8068,2023-10-26T19:29:23Z,2023-10-27T17:53:40Z,0,1,MERGED,1,11,3,MODIFIED:CONTRIBUTING.md
Esri/calcite-design-system,"docs(action-bar, action-group, action-pad, alert): consistent api decription refs",https://github.com/Esri/calcite-design-system/pull/8533,2024-01-02T19:02:59Z,2024-01-02T19:22:19Z,0,1,MERGED,6,11,11,"MODIFIED:packages/calcite-components/src/components/action-bar/action-bar.scss
MODIFIED:packages/calcite-components/src/components/action-bar/action-bar.tsx
MODIFIED:packages/calcite-components/src/components/action-group/action-group.tsx
MODIFIED:packages/calcite-components/src/components/action-pad/action-pad.scss
MODIFIED:packages/calcite-components/src/components/action-pad/action-pad.tsx
MODIFIED:packages/calcite-components/src/components/alert/alert.tsx"
Esri/calcite-design-system,fix(list-item): hide nested list items by default,https://github.com/Esri/calcite-design-system/pull/9474,2024-05-30T22:25:56Z,2024-06-06T21:03:34Z,2,1,MERGED,3,11,17,"MODIFIED:packages/calcite-components/src/components/list-item/list-item.scss
MODIFIED:packages/calcite-components/src/components/list-item/list-item.tsx
MODIFIED:packages/calcite-components/src/components/list-item/resources.ts"
Esri/calcite-design-system,chore: add npm script for restoring changes to component readmes,https://github.com/Esri/calcite-design-system/pull/7916,2023-10-02T19:47:24Z,2023-10-02T23:51:08Z,0,3,MERGED,1,3,2,MODIFIED:packages/calcite-components/package.json
Esri/calcite-design-system,build(deps): update dependency @esri/calcite-ui-icons to v3.26.4,https://github.com/Esri/calcite-design-system/pull/8752,2024-02-14T22:43:20Z,2024-02-14T23:55:34Z,0,2,MERGED,2,5,5,"MODIFIED:package-lock.json
MODIFIED:packages/calcite-components/package.json"
Esri/calcite-design-system,"refactor(tabs, tab, tab-nav, tab-title): `getElementProp` is refactored out in favor of inheritable props set directly on parent",https://github.com/Esri/calcite-design-system/pull/7605,2023-08-25T00:44:06Z,2023-10-30T19:43:16Z,43,60,MERGED,17,343,409,"MODIFIED:packages/calcite-components/src/components/tab-nav/readme.md
ADDED:packages/calcite-components/src/components/tab-nav/resources.ts
MODIFIED:packages/calcite-components/src/components/tab-nav/tab-nav.e2e.ts
MODIFIED:packages/calcite-components/src/components/tab-nav/tab-nav.scss
MODIFIED:packages/calcite-components/src/components/tab-nav/tab-nav.tsx
MODIFIED:packages/calcite-components/src/components/tab-nav/usage/Basic.md
MODIFIED:packages/calcite-components/src/components/tab-title/resources.ts
MODIFIED:packages/calcite-components/src/components/tab-title/tab-title.e2e.ts
MODIFIED:packages/calcite-components/src/components/tab-title/tab-title.scss
MODIFIED:packages/calcite-components/src/components/tab-title/tab-title.tsx
ADDED:packages/calcite-components/src/components/tab/resources.ts
MODIFIED:packages/calcite-components/src/components/tab/tab.e2e.ts
MODIFIED:packages/calcite-components/src/components/tab/tab.scss
MODIFIED:packages/calcite-components/src/components/tab/tab.tsx
MODIFIED:packages/calcite-components/src/components/tabs/tabs.e2e.ts
MODIFIED:packages/calcite-components/src/components/tabs/tabs.stories.ts
MODIFIED:packages/calcite-components/src/components/tabs/tabs.tsx"
