repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state,addline,deleteline,changefile,fetch_status
AmazeeLabs/silverback-template,Per-Project lagoon vector database,https://github.com/AmazeeLabs/silverback-template/pull/475,2025-05-21T14:14:02Z,2025-05-22T12:04:54Z,1,4,MERGED,117,3,9,Success
BBC-archive/psammead,Fix FireFox High Contrast Mode for Radio Schedule,https://github.com/BBC-archive/psammead/pull/3324,2020-04-01T11:02:29Z,2020-04-06T11:03:16Z,2,12,MERGED,27,2,6,Success
CruGlobal/mpdx-react,MPDX 7148 Add Task Modal,https://github.com/CruGlobal/mpdx-react/pull/255,2021-11-22T10:49:08Z,2021-12-14T17:00:51Z,5,15,MERGED,1378,29,16,Success
Crystal-Creations-GbR/crystal-components,lang: update translations from Crystal Creations weblate,https://github.com/Crystal-Creations-GbR/crystal-components/pull/60,2024-03-18T22:53:51Z,2024-03-18T23:02:57Z,1,1,MERGED,6,0,1,Success
DouyinFE/semi-design,fix(button): fixed button focus style when clicked,https://github.com/DouyinFE/semi-design/pull/730,2022-03-28T06:11:57Z,2022-03-30T06:41:00Z,3,1,MERGED,14,6,1,Success
DouyinFE/semi-design,"fix: [select] using backspace to delete will cause the option to be invisible, close #444",https://github.com/DouyinFE/semi-design/pull/445,2021-12-21T10:07:20Z,2021-12-21T10:34:33Z,1,1,MERGED,11,9,1,Success
Esri/calcite-design-system,feat(color-picker): Add component tokens,https://github.com/Esri/calcite-design-system/pull/12862,2025-09-11T04:22:35Z,2025-09-12T22:29:11Z,1,13,MERGED,243,6,6,Success
Esri/calcite-design-system,fix(table): Fix `bordered` styling in Firefox,https://github.com/Esri/calcite-design-system/pull/11466,2025-02-05T23:14:06Z,2025-02-06T01:36:54Z,0,7,MERGED,165,147,3,Success
Esri/calcite-design-system,Fix Notice RTL padding,https://github.com/Esri/calcite-design-system/pull/534,2020-04-29T23:32:35Z,2020-04-30T00:45:42Z,0,2,MERGED,68,14,2,Success
Esri/calcite-design-system,fix(progress): make progress visible in high contrast (#3986),https://github.com/Esri/calcite-design-system/pull/3988,2022-01-24T02:07:56Z,2022-02-08T19:33:09Z,3,4,MERGED,9,0,1,Success
Esri/calcite-design-system,feat(dropdown): Update styling of dropdown groups,https://github.com/Esri/calcite-design-system/pull/1024,2020-09-23T03:35:44Z,2020-10-01T17:58:06Z,1,5,MERGED,40,6,4,Success
Esri/calcite-design-system,fix(swatch): Ensure corner radius css property is correctly applied,https://github.com/Esri/calcite-design-system/pull/12855,2025-09-10T20:44:45Z,2025-09-10T22:37:57Z,0,5,MERGED,74,2,6,Success
Esri/calcite-design-system,"feat(calcite-input): display localized decimals by default, don't display group separator character by default, but allow opt-in.  Deprecates locale-format prop",https://github.com/Esri/calcite-design-system/pull/1995,2021-04-19T18:43:18Z,2021-04-20T18:37:43Z,5,10,MERGED,185,51,7,Success
Esri/calcite-design-system,feat(notice): allow slotting action,https://github.com/Esri/calcite-design-system/pull/2370,2021-06-23T04:54:34Z,2021-06-23T15:19:26Z,0,2,MERGED,146,37,6,Success
Esri/calcite-design-system,fix(input): correctly apply placeholder styles,https://github.com/Esri/calcite-design-system/pull/11107,2024-12-18T23:23:45Z,2025-01-06T17:11:24Z,0,2,MERGED,21,6,1,Success
Esri/calcite-design-system,chore: Update demo toggles to use action-pad and add toggling of document dir and body theme.,https://github.com/Esri/calcite-design-system/pull/2111,2021-05-06T20:13:36Z,2021-05-07T16:12:01Z,1,2,MERGED,3203,3095,74,Success
Esri/calcite-design-system,test(globalStyles): fix type errors,https://github.com/Esri/calcite-design-system/pull/5987,2022-12-12T05:14:40Z,2022-12-12T19:05:10Z,0,2,MERGED,15,21,1,Success
Esri/calcite-design-system,test: Replace demo toggles with buttons in nav,https://github.com/Esri/calcite-design-system/pull/2650,2021-07-26T23:29:11Z,2021-08-13T17:00:25Z,34,19,MERGED,108,123,6,Success
Esri/calcite-design-system,test(heights): adds demo page for manually spot-checking component heights together,https://github.com/Esri/calcite-design-system/pull/2627,2021-07-26T17:52:31Z,2021-08-17T01:45:10Z,5,12,CLOSED,333,0,1,Success
Esri/calcite-design-system,feat(navigation-logo): Adds `icon` and `iconFlipRtl` properties,https://github.com/Esri/calcite-design-system/pull/8054,2023-10-25T19:21:38Z,2023-10-25T21:11:30Z,1,4,MERGED,79,4,5,Success
Esri/calcite-design-system,fix(Panel): match header height and border color to Action,https://github.com/Esri/calcite-design-system/pull/3805,2021-12-29T17:19:24Z,2021-12-29T22:17:45Z,0,3,MERGED,2,3,2,Success
ForgeRock/forgerock-web-login-framework,Add Webauthn support to Login Widget,https://github.com/ForgeRock/forgerock-web-login-framework/pull/123,2023-06-20T19:04:36Z,2023-06-22T00:45:31Z,3,2,MERGED,15567,3483,23,Success
GCTC-NTGC/gc-digital-talent,[Copy] Removes recruitment type copy from `TrackApplicationsCard`,https://github.com/GCTC-NTGC/gc-digital-talent/pull/8228,2023-10-16T15:32:59Z,2023-10-16T17:14:35Z,0,1,MERGED,1,17,1,Success
GCTC-NTGC/gc-digital-talent,[Bug] Remove defaulting to personal for experience type select,https://github.com/GCTC-NTGC/gc-digital-talent/pull/12224,2024-12-06T21:09:13Z,2024-12-09T16:24:04Z,0,2,MERGED,3,3,1,Success
GCTC-NTGC/gc-digital-talent,[Copy] Removes Third paragraph describing the directive on digital talent,https://github.com/GCTC-NTGC/gc-digital-talent/pull/10649,2024-06-12T15:21:18Z,2024-06-12T16:38:31Z,1,1,MERGED,0,24,2,Success
GCTC-NTGC/gc-digital-talent,[Debt] Talent management index page performance,https://github.com/GCTC-NTGC/gc-digital-talent/pull/13686,2025-05-30T20:28:01Z,2025-06-03T16:10:58Z,2,2,MERGED,20,25,3,Success
Khan/perseus,Convert CursorContext TS enum to POJO,https://github.com/Khan/perseus/pull/593,2023-06-28T19:41:47Z,2023-06-28T20:54:25Z,5,2,MERGED,30,22,10,Success
Khan/wonder-blocks,Updates to icon a11y docs and examples,https://github.com/Khan/wonder-blocks/pull/2241,2024-05-30T22:23:46Z,2024-06-03T22:05:27Z,6,6,MERGED,28,6,3,Success
Khan/wonder-blocks,Implement Badge status kinds,https://github.com/Khan/wonder-blocks/pull/2597,2025-05-13T20:02:23Z,2025-05-14T16:30:05Z,7,24,CLOSED,737,14,8,Success
Khan/wonder-blocks,FEI-4917: Add useOnMountEffect hook to wonder-blocks-core,https://github.com/Khan/wonder-blocks/pull/1696,2023-01-12T17:00:52Z,2023-01-17T20:24:49Z,6,4,MERGED,113,0,4,Success
Khan/wonder-blocks,Add RadioGroup to Storybook,https://github.com/Khan/wonder-blocks/pull/1532,2022-06-22T20:50:30Z,2022-06-23T21:28:06Z,6,3,MERGED,211,0,3,Success
Khan/wonder-blocks,WB-1134.2: Add stories for SingleSelect,https://github.com/Khan/wonder-blocks/pull/1512,2022-06-01T20:51:24Z,2022-06-02T14:32:45Z,5,3,MERGED,453,111,4,Success
Khan/wonder-blocks,Support theming in Pill,https://github.com/Khan/wonder-blocks/pull/2665,2025-06-11T21:43:53Z,2025-06-30T16:08:13Z,7,22,MERGED,71,57,6,Success
Khan/wonder-blocks,Update Banner examples to avoid using other typography components,https://github.com/Khan/wonder-blocks/pull/2755,2025-08-13T22:29:56Z,2025-08-19T20:22:18Z,6,2,MERGED,14,9,4,Success
Khan/wonder-blocks,WB-1636: Announce popover contents correctly to screen readers,https://github.com/Khan/wonder-blocks/pull/2134,2023-12-04T20:02:28Z,2023-12-05T18:56:33Z,6,1,MERGED,250,73,11,Success
Khan/wonder-blocks,[WB-1644.2] Convert border and sizing tokens to CSS variables,https://github.com/Khan/wonder-blocks/pull/2561,2025-04-16T15:04:40Z,2025-04-16T21:26:05Z,7,8,MERGED,103,50,17,Success
Khan/wonder-blocks,[WB-1902.4] Update IconButton to match Button styles,https://github.com/Khan/wonder-blocks/pull/2533,2025-04-02T19:05:34Z,2025-04-03T22:49:12Z,6,22,MERGED,267,373,25,Success
Khan/wonder-blocks,WB-1755: Toolbar - Allow title to also support React nodes,https://github.com/Khan/wonder-blocks/pull/2313,2024-08-30T17:57:23Z,2024-09-09T20:28:09Z,5,1,MERGED,106,69,4,Success
Khan/wonder-blocks,[fei4370.4.documentation] Fix up all the docs,https://github.com/Khan/wonder-blocks/pull/1453,2022-05-01T17:16:22Z,2022-05-05T14:20:46Z,6,11,MERGED,1295,839,59,Success
Khan/wonder-blocks,Remove default aria-label from WB Clickable,https://github.com/Khan/wonder-blocks/pull/1633,2022-10-27T21:34:34Z,2022-10-28T19:44:20Z,5,2,MERGED,43,2,3,Success
Khan/wonder-blocks,Add StreakBadge and StreakIcon components,https://github.com/Khan/wonder-blocks/pull/2620,2025-05-26T23:13:43Z,2025-05-28T16:14:15Z,6,7,MERGED,438,120,14,Success
Khan/wonder-blocks,Add Storybook controls for TextField,https://github.com/Khan/wonder-blocks/pull/1494,2022-05-24T00:25:42Z,2022-05-24T23:13:44Z,5,3,MERGED,382,12,2,Success
Longhorn-Developers/UT-Registration-Plus,style: remove ugly period after async,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/313,2024-10-16T21:26:45Z,2024-10-16T22:13:34Z,0,1,MERGED,1,1,1,Success
NeurodataWithoutBorders/nwb-guide,Try to left align text of navbar links,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/508,2023-11-12T06:02:51Z,2023-11-15T15:44:17Z,2,4,MERGED,21,28,6,Success
NeurodataWithoutBorders/nwb-guide,Custom DateTime Selector,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/790,2024-05-20T23:13:41Z,2024-06-01T20:11:30Z,21,9,MERGED,35,9,4,Success
NeurodataWithoutBorders/nwb-guide,"Add docs version switcher, favicon",https://github.com/NeurodataWithoutBorders/nwb-guide/pull/763,2024-04-24T20:08:24Z,2024-05-15T02:33:38Z,11,17,MERGED,164,18,16,Success
NeurodataWithoutBorders/nwb-guide,Update headers for search categories,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/472,2023-10-23T16:46:07Z,2023-10-23T18:11:55Z,2,8,MERGED,35,5,4,Success
