repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
AmazeeLabs/silverback-template,Per-Project lagoon vector database,https://github.com/AmazeeLabs/silverback-template/pull/475,2025-05-21T14:14:02Z,2025-05-22T12:04:54Z,3,4,MERGED
BBC-archive/psammead,Remove padding top and bottom from inline links,https://github.com/BBC-archive/psammead/pull/248,2019-01-02T13:27:15Z,2019-01-09T16:21:06Z,3,8,MERGED
CruGlobal/mpdx-react,UI for Fixing Commitment Info,https://github.com/CruGlobal/mpdx-react/pull/159,2021-08-25T18:37:24Z,2021-09-01T20:40:12Z,4,15,MERGED
Crystal-Creations-GbR/crystal-components,lang: update translations from Crystal Creations weblate,https://github.com/Crystal-Creations-GbR/crystal-components/pull/21,2024-02-04T19:21:27Z,2024-02-28T21:10:44Z,2,2,MERGED
DouyinFE/semi-design,Fix/cascader search,https://github.com/DouyinFE/semi-design/pull/2030,2024-01-19T05:18:12Z,2024-02-06T08:03:08Z,6,3,MERGED
DouyinFE/semi-design,Fix button dts,https://github.com/DouyinFE/semi-design/pull/691,2022-03-08T07:59:46Z,2022-03-08T08:13:33Z,3,1,MERGED
Esri/calcite-design-system,docs(text-area): update limitText description,https://github.com/Esri/calcite-design-system/pull/11672,2025-03-05T20:13:14Z,2025-03-05T20:47:44Z,0,1,MERGED
Esri/calcite-design-system,Histogram/Graph component,https://github.com/Esri/calcite-design-system/pull/579,2020-05-12T21:55:33Z,2020-05-13T18:28:54Z,12,2,MERGED
Esri/calcite-design-system,chore(types): set up type-fest,https://github.com/Esri/calcite-design-system/pull/4943,2022-07-15T01:31:40Z,2022-07-16T06:27:42Z,1,4,MERGED
Esri/calcite-design-system,feat: add plug connection,https://github.com/Esri/calcite-design-system/pull/11113,2024-12-19T17:08:20Z,2024-12-19T19:40:32Z,0,4,MERGED
Esri/calcite-design-system,#144 <calcite-radio-button-group> and <calcite-radio-button> components,https://github.com/Esri/calcite-design-system/pull/482,2020-04-17T00:07:14Z,2020-05-13T22:35:49Z,39,74,MERGED
Esri/calcite-design-system,chore: add utility to render a placeholder SVG image.,https://github.com/Esri/calcite-design-system/pull/1587,2021-02-19T19:35:06Z,2021-02-19T20:48:16Z,6,3,MERGED
Esri/calcite-design-system,"fix(popover, tooltip, combobox, dropdown, input-date-picker): Hide popover when the reference element or popover is out of view.",https://github.com/Esri/calcite-design-system/pull/4115,2022-02-15T18:53:35Z,2022-02-16T19:28:57Z,3,6,MERGED
Esri/calcite-design-system,"feat: add portal-other, replica sync enable",https://github.com/Esri/calcite-design-system/pull/10517,2024-10-09T20:59:10Z,2024-10-09T22:24:29Z,0,4,MERGED
Esri/calcite-design-system,fix(input-time-zone): remove debugging log messages,https://github.com/Esri/calcite-design-system/pull/11106,2024-12-18T22:06:12Z,2024-12-18T23:36:04Z,1,1,MERGED
Esri/calcite-design-system,build(deps): bump calcite-ui-icons from 3.21.0 to 3.21.2,https://github.com/Esri/calcite-design-system/pull/6441,2023-02-08T18:30:44Z,2023-02-08T18:58:44Z,0,1,MERGED
Esri/calcite-design-system,fix(filter): Dark theme colors. #1850,https://github.com/Esri/calcite-design-system/pull/2075,2021-04-29T16:33:45Z,2021-05-04T22:55:17Z,1,1,MERGED
Esri/calcite-design-system,docs(storybook): add html preview tab,https://github.com/Esri/calcite-design-system/pull/1446,2021-01-06T23:03:11Z,2021-01-06T23:28:41Z,3,1,MERGED
Esri/calcite-design-system,ci(actions): fix contributor list action failing,https://github.com/Esri/calcite-design-system/pull/10651,2024-10-30T18:46:22Z,2024-10-31T17:26:31Z,1,1,MERGED
Esri/calcite-design-system,feat(flow): Adds setFocus method,https://github.com/Esri/calcite-design-system/pull/7252,2023-06-30T16:35:00Z,2023-07-05T22:35:58Z,3,24,MERGED
ForgeRock/forgerock-web-login-framework,Add Webauthn support to Login Widget,https://github.com/ForgeRock/forgerock-web-login-framework/pull/123,2023-06-20T19:04:36Z,2023-06-22T00:45:31Z,3,2,MERGED
GCTC-NTGC/gc-digital-talent,[Feature] Community talent page added,https://github.com/GCTC-NTGC/gc-digital-talent/pull/12733,2025-02-07T21:01:54Z,2025-02-13T21:43:42Z,13,21,MERGED
GCTC-NTGC/gc-digital-talent,[Feature] New work experience fields,https://github.com/GCTC-NTGC/gc-digital-talent/pull/11947,2024-11-14T00:17:46Z,2024-11-26T20:25:07Z,10,31,MERGED
GCTC-NTGC/gc-digital-talent,[Fix] `opportunityLength` value in `ReviewApplicationDialog`,https://github.com/GCTC-NTGC/gc-digital-talent/pull/12840,2025-02-25T15:18:09Z,2025-02-25T16:05:54Z,0,1,MERGED
GCTC-NTGC/gc-digital-talent,"[Copy] Updates French versions of Process Operator, Community Recruiter, Community Administrator, Platform Administrator",https://github.com/GCTC-NTGC/gc-digital-talent/pull/14147,2025-07-15T16:20:28Z,2025-07-15T18:24:16Z,0,1,MERGED
Khan/perseus,[fool-tips] Tooltip is Dead. Long Live Tooltip.,https://github.com/Khan/perseus/pull/2195,2025-02-05T18:05:20Z,2025-02-05T23:56:52Z,4,3,MERGED
Khan/wonder-blocks,Add Breadcrumbs to Storybook,https://github.com/Khan/wonder-blocks/pull/1421,2022-04-15T05:14:04Z,2022-04-20T18:50:09Z,9,4,MERGED
Khan/wonder-blocks,FEI-4966.10: Move docs out of packages and into top-level docs folder,https://github.com/Khan/wonder-blocks/pull/1762,2023-02-28T16:52:02Z,2023-03-01T17:20:07Z,4,6,MERGED
Khan/wonder-blocks,WB-1064 - Add LabeledTextField to WB (file setup),https://github.com/Khan/wonder-blocks/pull/1144,2021-06-14T21:42:39Z,2021-06-21T19:40:49Z,4,1,MERGED
Khan/wonder-blocks,WB-1666: OptionItem not vertically centered when horizontalRule is set (fix),https://github.com/Khan/wonder-blocks/pull/2187,2024-02-21T17:00:11Z,2024-02-23T15:09:51Z,7,1,MERGED
Khan/wonder-blocks,WB-1222: DetailCell style tweaks,https://github.com/Khan/wonder-blocks/pull/1333,2022-02-02T18:04:21Z,2022-02-02T23:06:37Z,5,3,MERGED
Khan/wonder-blocks,WB-1200.2: Migrate BirthdayPicker component,https://github.com/Khan/wonder-blocks/pull/1317,2022-01-27T17:08:40Z,2022-01-31T18:39:28Z,17,9,MERGED
Khan/wonder-blocks,Add GemBadge and GemIcon components,https://github.com/Khan/wonder-blocks/pull/2616,2025-05-22T22:29:26Z,2025-05-28T15:58:28Z,15,10,MERGED
Khan/wonder-blocks,WB-483: Add custom labels to MultiSelect,https://github.com/Khan/wonder-blocks/pull/659,2019-12-17T14:02:18Z,2019-12-18T16:08:49Z,8,19,MERGED
Khan/wonder-blocks,Add 'xlarge' size variant to Button,https://github.com/Khan/wonder-blocks/pull/1062,2020-10-12T16:47:49Z,2020-10-13T14:34:05Z,7,4,MERGED
Khan/wonder-blocks,LabeledField: Add `additionalHelperMessage` prop,https://github.com/Khan/wonder-blocks/pull/2714,2025-07-15T16:24:06Z,2025-07-23T15:50:42Z,14,15,MERGED
