repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
psammead,Migrate ws-social-slice,https://github.com/BBC-archive/psammead/pull/6,2018-09-28T11:56:49Z,2018-09-29T11:44:26Z,0,1,CLOSED
psammead,Add Psammead-Styles utility package,https://github.com/BBC-archive/psammead/pull/44,2018-11-26T12:40:42Z,2018-11-26T16:14:15Z,9,19,MERGED
psammead,Update Image to include AmpImg & add srcset prop,https://github.com/BBC-archive/psammead/pull/241,2018-12-20T14:09:28Z,2019-01-10T13:26:01Z,19,35,MERGED
psammead,Image stretching fix,https://github.com/BBC-archive/psammead/pull/234,2018-12-19T12:44:25Z,2018-12-20T11:16:24Z,3,6,MERGED
psammead,Re-home Simorgh Figure in Psammead,https://github.com/BBC-archive/psammead/pull/220,2018-12-17T14:18:27Z,2018-12-20T11:42:06Z,16,30,MERGED
psammead,Add image placeholder to Psammead,https://github.com/BBC-archive/psammead/pull/213,2018-12-17T09:28:41Z,2018-12-18T09:22:03Z,8,12,MERGED
psammead,Verify NPM and Node versions,https://github.com/BBC-archive/psammead/pull/196,2018-12-13T10:13:55Z,2018-12-13T16:59:47Z,2,8,MERGED
psammead,Add script to publish packages,https://github.com/BBC-archive/psammead/pull/180,2018-12-10T16:22:32Z,2018-12-13T17:04:00Z,14,41,MERGED
psammead,Do not collect coverage from dist,https://github.com/BBC-archive/psammead/pull/176,2018-12-10T11:35:52Z,2018-12-11T15:05:46Z,0,3,MERGED
psammead,Bump Psammead Paragraph,https://github.com/BBC-archive/psammead/pull/164,2018-12-09T14:40:49Z,2018-12-10T12:09:48Z,2,4,MERGED
psammead,Adds Brand component to Psammead,https://github.com/BBC-archive/psammead/pull/105,2018-12-04T15:23:03Z,2018-12-11T11:06:45Z,25,31,MERGED
psammead,Fix deprecated usage of styled-components attrs function,https://github.com/BBC-archive/psammead/pull/101,2018-12-04T14:38:22Z,2018-12-04T16:07:07Z,0,2,MERGED
psammead,Bump psammead-test-helpers version,https://github.com/BBC-archive/psammead/pull/255,2019-01-03T15:46:34Z,2019-01-04T11:38:21Z,1,6,MERGED
psammead, Add support for high contrast mode and print and no css,https://github.com/BBC-archive/psammead/pull/253,2019-01-03T14:23:27Z,2019-01-08T11:21:07Z,6,7,MERGED
