repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
mpdx-react,Fix-Dropdown-Menu-Item,https://github.com/CruGlobal/mpdx-react/pull/15,2021-02-18T14:43:42Z,2021-02-18T19:11:08Z,1,1,MERGED
mpdx-react,Nav-Menu-Grid-Fix,https://github.com/CruGlobal/mpdx-react/pull/72,2021-04-26T17:57:33Z,2021-04-26T18:19:48Z,1,1,MERGED
mpdx-react,MPDX-6943-Export-Physical-Newsletter-Functionality,https://github.com/CruGlobal/mpdx-react/pull/67,2021-04-19T20:34:08Z,2021-04-22T18:20:18Z,19,7,MERGED
mpdx-react,Fix-Dashboard-Late-Commitment-Dates,https://github.com/CruGlobal/mpdx-react/pull/82,2021-05-07T14:47:07Z,2021-05-07T17:03:00Z,1,2,MERGED
mpdx-react,Cleanup-Modal-Component,https://github.com/CruGlobal/mpdx-react/pull/97,2021-06-10T14:30:19Z,2021-06-15T21:08:16Z,2,2,MERGED
mpdx-react,Fix mailing address UI,https://github.com/CruGlobal/mpdx-react/pull/167,2021-08-30T20:52:58Z,2021-08-31T21:25:03Z,3,22,MERGED
mpdx-react,Fix send newsletter basic UI,https://github.com/CruGlobal/mpdx-react/pull/166,2021-08-30T16:06:45Z,2021-08-31T03:35:48Z,1,13,MERGED
mpdx-react,UI for Fixing Commitment Info,https://github.com/CruGlobal/mpdx-react/pull/159,2021-08-25T18:37:24Z,2021-09-01T20:40:12Z,4,15,MERGED
mpdx-react,Appeal details page,https://github.com/CruGlobal/mpdx-react/pull/156,2021-08-23T22:17:10Z,2021-08-31T03:35:09Z,6,60,MERGED
mpdx-react,Mpdx 7102 list appeals,https://github.com/CruGlobal/mpdx-react/pull/138,2021-08-13T00:25:32Z,2021-08-25T20:47:54Z,5,47,MERGED
mpdx-react,Mpdx 7101 tools landing and sidebar,https://github.com/CruGlobal/mpdx-react/pull/132,2021-08-05T20:47:18Z,2021-08-12T00:08:35Z,12,22,MERGED
mpdx-react,Add appeal contact tags,https://github.com/CruGlobal/mpdx-react/pull/197,2021-09-29T00:23:00Z,2021-10-07T20:09:36Z,7,14,MERGED
mpdx-react,Nav bar tool notifications,https://github.com/CruGlobal/mpdx-react/pull/190,2021-09-18T20:33:47Z,2021-09-28T22:25:51Z,5,18,MERGED
mpdx-react,Merge people UI and gql,https://github.com/CruGlobal/mpdx-react/pull/189,2021-09-17T13:37:11Z,2021-09-23T01:27:15Z,3,10,MERGED
mpdx-react,Fix commitment info graphql,https://github.com/CruGlobal/mpdx-react/pull/183,2021-09-15T01:39:18Z,2021-09-16T22:40:25Z,4,13,MERGED
mpdx-react,Fix phone numbers UI,https://github.com/CruGlobal/mpdx-react/pull/176,2021-09-07T21:02:33Z,2021-09-13T12:53:20Z,4,5,MERGED
mpdx-react,Navbar tools dropdown,https://github.com/CruGlobal/mpdx-react/pull/175,2021-09-03T22:24:48Z,2021-09-07T20:09:21Z,3,19,MERGED
mpdx-react,"removed sidebar, decreased content width and centered it",https://github.com/CruGlobal/mpdx-react/pull/174,2021-09-03T19:11:35Z,2021-09-03T21:12:09Z,6,3,MERGED
mpdx-react,Fix email addresses basic UI,https://github.com/CruGlobal/mpdx-react/pull/172,2021-09-03T02:53:57Z,2021-09-03T19:27:10Z,1,15,MERGED
mpdx-react,Merge contatcts basic UI,https://github.com/CruGlobal/mpdx-react/pull/170,2021-09-01T19:56:16Z,2021-09-08T18:37:36Z,3,15,MERGED
mpdx-react,Fix-AccountListId-Graphql-Error-AccounLists-Page,https://github.com/CruGlobal/mpdx-react/pull/231,2021-10-25T18:48:25Z,2021-10-25T20:11:51Z,4,1,MERGED
mpdx-react,Mpdx 7139 contacts/tasks null state,https://github.com/CruGlobal/mpdx-react/pull/227,2021-10-18T16:50:42Z,2021-11-02T23:40:16Z,14,37,MERGED
mpdx-react,Mpdx 7140 implement star filter,https://github.com/CruGlobal/mpdx-react/pull/226,2021-10-15T20:41:54Z,2021-10-27T22:43:08Z,3,15,MERGED
