repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
semi-design,feat(tabs): tabs add closable  function,https://github.com/DouyinFE/semi-design/pull/132,2021-10-29T12:36:50Z,2021-11-08T03:43:52Z,9,8,MERGED
semi-design,fix(inputnumber): editor api syntax hint error #327,https://github.com/DouyinFE/semi-design/pull/330,2021-11-29T08:39:26Z,2021-11-29T10:16:00Z,2,1,MERGED
semi-design,docs(table): use function component and add some notice,https://github.com/DouyinFE/semi-design/pull/315,2021-11-24T13:33:52Z,2021-11-26T08:49:44Z,1,2,MERGED
semi-design,docs(darkmode): add demo and Timeline content add color scss variable,https://github.com/DouyinFE/semi-design/pull/313,2021-11-24T06:59:39Z,2021-11-25T03:30:25Z,3,1,MERGED
semi-design,fix: 修复collapsible组件展开样式,https://github.com/DouyinFE/semi-design/pull/267,2021-11-14T02:07:34Z,2021-11-25T12:37:21Z,7,1,MERGED
semi-design,fix(table): resolve align bug when all columns do not have width,https://github.com/DouyinFE/semi-design/pull/247,2021-11-10T07:50:50Z,2021-11-10T09:21:54Z,2,1,MERGED
semi-design,chore(codesandbox): add codesandbox ci,https://github.com/DouyinFE/semi-design/pull/197,2021-11-04T08:39:33Z,2021-11-29T08:13:43Z,2,1,MERGED
semi-design,fix: 修复collapsible组件展开样式,https://github.com/DouyinFE/semi-design/pull/176,2021-11-02T13:30:29Z,2021-11-04T07:35:25Z,1,1,CLOSED
semi-design,docs: 文档底部链接使用新窗口打开方式,https://github.com/DouyinFE/semi-design/pull/175,2021-11-02T13:08:17Z,2021-11-04T02:48:07Z,0,1,MERGED
semi-design,docs(table): add zebra stripped demo,https://github.com/DouyinFE/semi-design/pull/167,2021-11-02T09:05:35Z,2021-11-04T03:06:39Z,2,2,MERGED
semi-design,fix(table): remove measure scrollbar column and use overflow scroll t…,https://github.com/DouyinFE/semi-design/pull/164,2021-11-02T08:27:26Z,2021-11-10T06:12:32Z,3,1,MERGED
semi-design,docs(readme): add cypress badge,https://github.com/DouyinFE/semi-design/pull/468,2021-12-29T03:37:34Z,2021-12-29T11:28:58Z,3,1,MERGED
semi-design,fix(datepicker): input value is back to confirmed value bug #457,https://github.com/DouyinFE/semi-design/pull/467,2021-12-27T09:17:21Z,2021-12-29T11:20:46Z,5,1,MERGED
semi-design,test: cypress init,https://github.com/DouyinFE/semi-design/pull/466,2021-12-27T04:06:51Z,2021-12-27T09:34:26Z,6,1,MERGED
