repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
perseus,FEI-3775: Configure wallaby,https://github.com/Khan/perseus/pull/152,2022-04-28T14:38:12Z,2022-04-28T14:51:09Z,4,2,MERGED
perseus,Provide a more appropriate 'staticUrl' mock for storybook,https://github.com/Khan/perseus/pull/248,2022-05-23T22:25:59Z,2022-05-25T20:19:09Z,4,3,MERGED
perseus,FEI-4401.1: Port cypress config from webapp,https://github.com/Khan/perseus/pull/247,2022-05-23T22:13:54Z,2022-05-25T18:30:51Z,8,6,MERGED
perseus,Add storybook!,https://github.com/Khan/perseus/pull/222,2022-05-11T17:28:53Z,2022-05-11T20:48:48Z,8,5,MERGED
perseus,Wonderblock-ify Definition widget,https://github.com/Khan/perseus/pull/220,2022-05-10T20:23:03Z,2022-05-24T19:07:22Z,8,8,MERGED
perseus,Package.json cleanup,https://github.com/Khan/perseus/pull/218,2022-05-09T18:22:01Z,2022-05-09T22:47:41Z,8,6,MERGED
perseus,Fix Storybook so TeX components work,https://github.com/Khan/perseus/pull/274,2022-06-24T18:52:04Z,2022-06-27T17:10:17Z,4,2,MERGED
perseus,"SvgImage: Bundle spinner.gif properly so it can be resolved with webpack, etc.",https://github.com/Khan/perseus/pull/273,2022-06-23T18:10:32Z,2022-06-24T18:55:03Z,7,10,MERGED
perseus,Remove old margin from definition body (Popover manages that now),https://github.com/Khan/perseus/pull/266,2022-06-09T00:01:55Z,2022-06-09T15:55:10Z,4,3,MERGED
perseus,Wonderblockify numeric input,https://github.com/Khan/perseus/pull/278,2022-07-14T19:57:15Z,2022-08-23T20:19:30Z,14,15,MERGED
perseus,show square options instead of circles when the radio widget is a multiselect,https://github.com/Khan/perseus/pull/289,2022-09-28T19:53:33Z,2022-10-05T19:10:06Z,27,9,MERGED
perseus,"Replace ""new"" tooltip with wonderblocks",https://github.com/Khan/perseus/pull/285,2022-09-20T03:22:42Z,2022-09-28T18:36:44Z,11,5,MERGED
perseus,Add test:no-console-mock script to disable console mocking in test-setup.js,https://github.com/Khan/perseus/pull/302,2022-10-07T21:36:48Z,2022-10-10T15:19:00Z,7,5,MERGED
perseus,Perseus Playground basic site Layout,https://github.com/Khan/perseus/pull/325,2022-11-30T22:32:47Z,2023-02-07T20:03:19Z,6,3,CLOSED
perseus,Highlight tooltip storybook,https://github.com/Khan/perseus/pull/319,2022-11-18T23:11:16Z,2023-01-03T18:53:17Z,7,3,CLOSED
perseus,Update perseus fonts to match wonderblocks,https://github.com/Khan/perseus/pull/318,2022-11-16T19:58:32Z,2022-11-22T19:56:13Z,12,3,MERGED
perseus,nudge the icon to the right and fix icon size,https://github.com/Khan/perseus/pull/342,2022-12-20T19:24:21Z,2022-12-20T21:27:19Z,4,3,MERGED
perseus,add a story for the hints renderer,https://github.com/Khan/perseus/pull/341,2022-12-19T18:27:03Z,2022-12-20T15:37:41Z,5,2,MERGED
perseus,add text-indent back to Passage,https://github.com/Khan/perseus/pull/339,2022-12-16T20:36:00Z,2022-12-16T21:17:10Z,4,2,MERGED
perseus,wip: fixup crossout,https://github.com/Khan/perseus/pull/338,2022-12-14T17:44:10Z,2023-01-03T17:05:00Z,4,1,MERGED
perseus,Ensure that there is sufficient contrast between the graded-group title and the background.,https://github.com/Khan/perseus/pull/336,2022-12-14T16:36:49Z,2022-12-14T21:09:53Z,5,4,MERGED
perseus,Restore custom input styles back into the Matrix,https://github.com/Khan/perseus/pull/332,2022-12-12T22:02:20Z,2022-12-13T21:29:22Z,6,5,MERGED
perseus,Allow numeric-input to change size and text alignment,https://github.com/Khan/perseus/pull/330,2022-12-08T21:28:23Z,2022-12-13T21:35:09Z,8,10,MERGED
perseus,Add basic interactive story for numeric-input,https://github.com/Khan/perseus/pull/327,2022-12-01T22:31:28Z,2022-12-05T15:44:50Z,5,2,MERGED
perseus,Create an demo story show how to integrate the on-screen keypad with ItemRenderer,https://github.com/Khan/perseus/pull/371,2023-01-30T23:45:08Z,2023-02-24T17:47:40Z,7,5,MERGED
perseus,Fix KaTeX rendering in Storybook,https://github.com/Khan/perseus/pull/367,2023-01-25T20:16:40Z,2023-02-24T01:04:29Z,8,7,MERGED
perseus,"Shape the ""cross out"" ellipsis button",https://github.com/Khan/perseus/pull/363,2023-01-24T23:00:25Z,2023-01-25T14:08:20Z,4,3,MERGED
perseus,[🔥AUDIT🔥] some style tweaks,https://github.com/Khan/perseus/pull/362,2023-01-24T20:17:54Z,2023-01-24T20:29:00Z,4,2,MERGED
perseus,"Update categorizer to have no empty ""th"" cells per a11y audit",https://github.com/Khan/perseus/pull/355,2023-01-11T18:55:12Z,2023-02-24T14:48:17Z,6,6,MERGED
perseus,bugfix: passage numbers stop abruptly,https://github.com/Khan/perseus/pull/354,2023-01-10T16:20:57Z,2023-01-10T23:12:21Z,5,7,MERGED
perseus,Fix passage text by making it exactly like it was before,https://github.com/Khan/perseus/pull/352,2023-01-09T20:43:12Z,2023-01-10T16:41:14Z,4,3,MERGED
perseus,Remove gradient background on math,https://github.com/Khan/perseus/pull/345,2023-01-04T18:26:54Z,2023-01-05T17:52:01Z,6,2,MERGED
perseus,Update fonts from Noto -> Lato,https://github.com/Khan/perseus/pull/344,2023-01-04T18:15:58Z,2023-01-05T21:20:46Z,7,2,MERGED
perseus,LC-520: Make correctness checks explicit comparisons to true/false,https://github.com/Khan/perseus/pull/386,2023-02-22T23:00:04Z,2023-02-22T23:29:23Z,4,2,MERGED
perseus,LC-520-4: Fix width and rightAlign options for input-number widget,https://github.com/Khan/perseus/pull/383,2023-02-21T20:09:24Z,2023-02-21T22:58:19Z,7,4,MERGED
perseus,LC-520-2: Add two more controls to input-number Story,https://github.com/Khan/perseus/pull/381,2023-02-21T19:53:32Z,2023-02-21T21:07:47Z,4,4,MERGED
perseus,"Fix fonts on ""Choose 1 answer""",https://github.com/Khan/perseus/pull/377,2023-02-15T22:01:45Z,2023-02-24T17:49:22Z,4,2,MERGED
perseus,PROTOTYPE: Keypad on desktop,https://github.com/Khan/perseus/pull/374,2023-02-09T21:40:12Z,2023-06-06T19:46:57Z,1,1,CLOSED
