repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
wonder-blocks,WB-174: Update modal examples to use Button,https://github.com/Khan/wonder-blocks/pull/224,2018-07-21T17:17:52Z,2018-07-23T20:57:54Z,3,2,CLOSED
wonder-blocks,WB-322: buttons on Safari have extra 2px left/right margin,https://github.com/Khan/wonder-blocks/pull/222,2018-07-20T23:01:04Z,2018-07-24T21:08:31Z,3,2,MERGED
wonder-blocks,WB-175: update modal to use IconButton,https://github.com/Khan/wonder-blocks/pull/221,2018-07-20T22:04:21Z,2018-07-21T16:44:27Z,2,2,MERGED
wonder-blocks,WB-315 non-block content doesn't doesn't fill width of modal,https://github.com/Khan/wonder-blocks/pull/220,2018-07-20T19:48:02Z,2018-07-21T16:30:46Z,3,2,MERGED
wonder-blocks,"Improve focus ring on button, add light version in documentation",https://github.com/Khan/wonder-blocks/pull/219,2018-07-20T18:44:02Z,2018-07-21T01:08:51Z,6,3,MERGED
wonder-blocks,WB-314: Fix OneColumnModal and TwoColumnModal on mobile,https://github.com/Khan/wonder-blocks/pull/218,2018-07-20T17:30:33Z,2018-07-21T01:29:33Z,2,4,MERGED
wonder-blocks,Try alternative focus ring approach,https://github.com/Khan/wonder-blocks/pull/207,2018-07-13T22:20:57Z,2018-07-16T18:30:48Z,7,3,CLOSED
wonder-blocks,Add Inconsolata to links in styleguide config,https://github.com/Khan/wonder-blocks/pull/176,2018-07-02T23:48:21Z,2018-07-03T01:58:49Z,4,2,MERGED
wonder-blocks,fix element intersection func to work with overflow-y: scroll hack,https://github.com/Khan/wonder-blocks/pull/304,2018-08-27T21:53:49Z,2018-08-27T22:30:26Z,5,1,MERGED
wonder-blocks,**Breaking change for Icon and IconButton** -- Add ariaLabel prop to checkbox / radio,https://github.com/Khan/wonder-blocks/pull/291,2018-08-20T22:46:11Z,2018-08-21T16:37:54Z,4,2,MERGED
wonder-blocks,Update ModalLauncher to use ReactDOM.createPortal,https://github.com/Khan/wonder-blocks/pull/280,2018-08-14T21:08:04Z,2018-08-15T20:03:11Z,7,4,MERGED
wonder-blocks,WB-355: make Strut truly incompressible,https://github.com/Khan/wonder-blocks/pull/274,2018-08-09T22:51:23Z,2018-08-10T01:01:54Z,3,3,MERGED
