repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
nwb-guide,Drag and drop files,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/94,2023-03-29T18:17:52Z,2023-04-12T15:15:38Z,7,6,MERGED
nwb-guide,Add a search component,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/34,2023-03-17T15:36:47Z,2023-04-05T14:38:43Z,11,34,MERGED
nwb-guide,Show accordion status properly. Include a check for required property…,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/145,2023-04-27T01:10:09Z,2023-04-27T21:17:37Z,1,5,CLOSED
nwb-guide,Emphasize status indicator,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/144,2023-04-26T23:34:37Z,2023-04-28T19:56:10Z,6,14,MERGED
nwb-guide,Update footer buttons to indicate save behavior,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/126,2023-04-17T18:49:16Z,2023-04-19T16:33:51Z,0,2,MERGED
nwb-guide,Show critical errors associated with source data specification,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/250,2023-07-13T22:56:22Z,2023-07-13T23:07:16Z,0,2,MERGED
nwb-guide,Create a status bar element to indicate various checks for the GUIDE,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/293,2023-08-16T18:49:13Z,2023-08-17T01:37:07Z,1,5,MERGED
nwb-guide,Improve Error Messages (GuidedSourceData),https://github.com/NeurodataWithoutBorders/nwb-guide/pull/278,2023-08-09T16:30:11Z,2023-08-10T22:37:13Z,0,6,MERGED
nwb-guide,Add Hdf5ImagingInterface,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/398,2023-09-28T20:14:28Z,2023-09-29T16:36:14Z,1,4,CLOSED
nwb-guide,Add MiniscopeConverter,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/489,2023-10-31T18:01:12Z,2023-10-31T18:11:30Z,2,3,MERGED
nwb-guide,Update headers for search categories,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/472,2023-10-23T16:46:07Z,2023-10-23T18:11:55Z,2,8,MERGED
nwb-guide,Add CellExplorerRecordingInterface,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/465,2023-10-17T21:33:17Z,2023-12-29T17:18:58Z,6,2,MERGED
nwb-guide,Add NeuralynxSortingInterface,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/461,2023-10-17T18:59:15Z,2024-06-12T16:51:14Z,2,2,CLOSED
nwb-guide,Add Suite2pSegmentationInterface,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/460,2023-10-17T18:49:00Z,2024-01-09T16:35:15Z,9,8,MERGED
nwb-guide,Fix Config Loading (NWB Inspector),https://github.com/NeurodataWithoutBorders/nwb-guide/pull/447,2023-10-16T20:17:08Z,2023-10-16T20:30:20Z,1,1,MERGED
nwb-guide,Try to left align text of navbar links,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/508,2023-11-12T06:02:51Z,2023-11-15T15:44:17Z,2,4,MERGED
nwb-guide,Meeting Updates from 1/29/2024,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/578,2024-01-30T18:58:15Z,2024-01-30T21:55:09Z,19,13,MERGED
nwb-guide,Time alignment visualization,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/566,2024-01-17T18:38:55Z,2024-01-24T17:37:45Z,4,14,MERGED
nwb-guide,Make interface display names more human readable,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/589,2024-02-06T07:51:59Z,2024-02-19T21:27:42Z,24,28,MERGED
nwb-guide,Conversion Review File Button,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/706,2024-03-27T18:07:18Z,2024-03-27T18:25:18Z,0,2,MERGED
nwb-guide,Skip dandi upload,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/704,2024-03-25T23:58:00Z,2024-03-27T03:41:38Z,6,8,MERGED
nwb-guide,Hide multi-instance sidebar when only a single session,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/688,2024-03-18T16:40:35Z,2024-03-23T03:47:52Z,1,5,MERGED
nwb-guide,"Add docs version switcher, favicon",https://github.com/NeurodataWithoutBorders/nwb-guide/pull/763,2024-04-24T20:08:24Z,2024-05-15T02:33:38Z,12,17,MERGED
nwb-guide,Bump small font size globally,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/729,2024-04-04T22:33:09Z,2024-04-10T06:25:53Z,2,4,MERGED
nwb-guide,Link to Conversion Output Files Individually,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/811,2024-05-29T21:08:28Z,2024-05-30T03:15:11Z,0,4,MERGED
nwb-guide,Deemphasize Process Line of Quit Message ,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/810,2024-05-29T20:55:39Z,2024-05-29T21:25:42Z,0,1,MERGED
nwb-guide,[Refactor Flask III] Remove api.abort and other error handlers,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/798,2024-05-25T21:23:35Z,2024-05-29T17:07:19Z,20,37,MERGED
nwb-guide,Custom DateTime Selector,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/790,2024-05-20T23:13:41Z,2024-06-01T20:11:30Z,21,9,MERGED
nwb-guide,Add auto-update workflow,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/786,2024-05-20T20:24:54Z,2024-05-29T22:52:29Z,9,27,MERGED
nwb-guide,Style version dropdown,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/782,2024-05-17T14:18:45Z,2024-05-17T15:32:10Z,0,3,MERGED
nwb-guide,Add Conversion Progress Bars,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/778,2024-05-13T23:23:47Z,2024-06-02T20:58:16Z,22,36,MERGED
nwb-guide,Escape HTML tags in error messages on Source Data Information screen,https://github.com/NeurodataWithoutBorders/nwb-guide/pull/889,2024-07-02T20:58:07Z,2024-07-10T04:54:03Z,7,1,MERGED
