repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-spectrum,RSP-1382: ProgressBar valueLabel story,https://github.com/adobe/react-spectrum/pull/96,2019-12-10T16:14:06Z,2019-12-11T01:03:22Z,1,1,MERGED
react-spectrum,fix: correct Textarea/Textfield padding and alignment,https://github.com/adobe/react-spectrum/pull/162,2020-01-21T23:44:04Z,2021-10-15T23:49:18Z,6,3,CLOSED
react-spectrum,Support complex menu items in Picker,https://github.com/adobe/react-spectrum/pull/293,2020-03-18T22:32:26Z,2020-03-20T00:38:18Z,1,3,MERGED
react-spectrum,Add support for DOM heirarchy in CollectionView,https://github.com/adobe/react-spectrum/pull/257,2020-03-07T00:36:47Z,2020-03-09T22:27:11Z,4,3,MERGED
react-spectrum,RSP-1676: Fix type selection,https://github.com/adobe/react-spectrum/pull/425,2020-04-22T12:50:53Z,2020-05-13T04:28:36Z,8,4,MERGED
react-spectrum,Initial implementation of v3 Table component,https://github.com/adobe/react-spectrum/pull/411,2020-04-14T20:31:38Z,2020-04-20T17:14:49Z,7,19,MERGED
react-spectrum,Fix menu item padding in large scale,https://github.com/adobe/react-spectrum/pull/541,2020-05-29T22:53:04Z,2020-05-29T23:06:53Z,1,1,MERGED
react-spectrum,Tidy up test output and prevent new noise,https://github.com/adobe/react-spectrum/pull/502,2020-05-23T04:32:48Z,2020-07-22T01:13:52Z,7,61,CLOSED
react-spectrum,Add icon table for workflow icons in docs,https://github.com/adobe/react-spectrum/pull/488,2020-05-21T22:11:22Z,2020-07-10T23:29:21Z,18,17,MERGED
react-spectrum,"Add rel=""noreferrer"" to external links",https://github.com/adobe/react-spectrum/pull/474,2020-05-19T18:58:10Z,2020-05-20T15:16:42Z,3,3,MERGED
react-spectrum,Followup Dialog fixes,https://github.com/adobe/react-spectrum/pull/454,2020-05-12T19:29:14Z,2020-05-14T02:22:39Z,6,2,MERGED
react-spectrum,Wrap toc calculation in a raf to avoid reflow,https://github.com/adobe/react-spectrum/pull/657,2020-06-17T19:28:16Z,2020-06-17T23:31:58Z,1,1,MERGED
react-spectrum,Fix missing type defs for shared/numberfield/tooltip definitions,https://github.com/adobe/react-spectrum/pull/636,2020-06-12T22:59:08Z,2020-06-23T00:14:31Z,3,4,MERGED
react-spectrum,Making picker custom width in docs smaller for mobile,https://github.com/adobe/react-spectrum/pull/627,2020-06-11T20:44:05Z,2020-06-15T03:06:00Z,2,2,MERGED
react-spectrum,Update calculation to accomodate for focus ring gap margin,https://github.com/adobe/react-spectrum/pull/618,2020-06-10T23:56:55Z,2020-06-11T01:19:25Z,3,4,MERGED
react-spectrum,set modal min width to dialog min width,https://github.com/adobe/react-spectrum/pull/609,2020-06-10T00:16:11Z,2020-06-11T02:01:35Z,2,1,MERGED
react-spectrum,Fix ListBox typeahead spacebar issue,https://github.com/adobe/react-spectrum/pull/869,2020-07-31T00:29:39Z,2020-08-01T01:19:50Z,2,2,MERGED
react-spectrum,keep package name for everything except react-spectrum,https://github.com/adobe/react-spectrum/pull/761,2020-07-15T20:24:06Z,2020-07-15T20:35:19Z,1,1,MERGED
react-spectrum,Add twitter card summary meta tag to docs,https://github.com/adobe/react-spectrum/pull/737,2020-07-13T17:40:44Z,2020-07-13T20:07:33Z,4,4,MERGED
react-spectrum,Update script to bump versions of packages,https://github.com/adobe/react-spectrum/pull/968,2020-08-15T00:48:34Z,2020-08-17T21:46:37Z,1,1,MERGED
react-spectrum,use default font-families,https://github.com/adobe/react-spectrum/pull/887,2020-08-05T10:26:26Z,2020-08-06T02:20:28Z,0,1,MERGED
react-spectrum,Implement table headerless column,https://github.com/adobe/react-spectrum/pull/1081,2020-09-21T19:47:05Z,2020-10-13T23:47:18Z,27,16,MERGED
react-spectrum,Add act() eslint rule and upgrade eslint,https://github.com/adobe/react-spectrum/pull/1054,2020-09-07T15:45:44Z,2020-10-06T18:44:27Z,18,9,MERGED
react-spectrum,Fix incorrect positioning of useOverlayPosition,https://github.com/adobe/react-spectrum/pull/1297,2020-11-19T17:34:27Z,2022-12-14T18:22:42Z,6,2,CLOSED
react-spectrum,Add alpha label component for docs,https://github.com/adobe/react-spectrum/pull/1295,2020-11-19T02:57:50Z,2020-11-25T22:49:27Z,3,3,MERGED
react-spectrum,Badge,https://github.com/adobe/react-spectrum/pull/1368,2020-12-10T23:36:49Z,2021-12-23T20:50:16Z,1,8,CLOSED
react-spectrum,SearchWithin WIP,https://github.com/adobe/react-spectrum/pull/1366,2020-12-10T17:02:36Z,2021-07-17T01:15:25Z,10,2,CLOSED
react-spectrum,WIP: StepList component,https://github.com/adobe/react-spectrum/pull/1362,2020-12-09T05:11:00Z,2022-03-03T01:43:30Z,27,11,CLOSED
react-spectrum,Disable autocorrect suggestions in combobox,https://github.com/adobe/react-spectrum/pull/1502,2021-01-25T16:09:45Z,2021-01-26T00:40:41Z,1,1,MERGED
react-spectrum,Add anatomy diagrams to React Aria docs,https://github.com/adobe/react-spectrum/pull/1452,2021-01-08T22:38:40Z,2021-01-13T16:32:14Z,4,8,MERGED
react-spectrum,Fix textfield arabic placeholder clipping,https://github.com/adobe/react-spectrum/pull/1450,2021-01-08T00:31:02Z,2021-02-01T17:33:39Z,6,8,MERGED
react-spectrum,Support custom key in getCollectionNode,https://github.com/adobe/react-spectrum/pull/1577,2021-02-12T04:00:44Z,2021-02-25T18:31:30Z,0,1,MERGED
react-spectrum,Documentation: Collapsed Tab is cutoff by container in docs,https://github.com/adobe/react-spectrum/pull/1656,2021-03-04T11:47:00Z,2021-03-05T23:57:44Z,0,1,MERGED
