repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
spectrum-css,updated to DNA 5.4.0,https://github.com/adobe/spectrum-css/pull/28,2018-11-26T18:40:23Z,2018-11-29T18:47:39Z,1,1,MERGED
spectrum-css,⚡️ #6: improve scroll performance a teeny bit,https://github.com/adobe/spectrum-css/pull/24,2018-11-20T22:13:38Z,2018-11-26T17:43:10Z,0,1,MERGED
spectrum-css,Tabs Overflow Example,https://github.com/adobe/spectrum-css/pull/59,2018-12-14T16:49:39Z,2018-12-17T17:32:11Z,4,4,MERGED
spectrum-css,✨ RSP-631 InputGroup: add Datepicker range variant,https://github.com/adobe/spectrum-css/pull/53,2018-12-12T23:07:09Z,2019-03-18T18:07:50Z,17,9,MERGED
spectrum-css,📝 use code tags instead of p tags for code typography example in docs,https://github.com/adobe/spectrum-css/pull/51,2018-12-12T19:41:31Z,2018-12-12T19:43:50Z,0,1,MERGED
spectrum-css,"Fix circle loader rtl layout issue, fixes #46",https://github.com/adobe/spectrum-css/pull/48,2018-12-11T19:09:34Z,2018-12-11T20:03:23Z,0,1,MERGED
spectrum-css,[IE11] fix dropdown and menu width,https://github.com/adobe/spectrum-css/pull/73,2019-01-16T19:28:32Z,2019-01-17T17:48:09Z,4,1,MERGED
spectrum-css,"Fix Toast layout in IE11, fixes #64",https://github.com/adobe/spectrum-css/pull/65,2019-01-07T17:56:23Z,2019-01-07T20:57:16Z,0,1,MERGED
spectrum-css,"Allow Accordion item titles to wrap, fixes #97",https://github.com/adobe/spectrum-css/pull/104,2019-02-25T20:10:40Z,2019-02-28T17:56:15Z,2,4,MERGED
spectrum-css,"Use flexbox to position Calendar day of week headings, fixes #99",https://github.com/adobe/spectrum-css/pull/103,2019-02-25T19:33:57Z,2019-02-27T20:07:51Z,0,1,MERGED
spectrum-css,"Update Rating implementation, Update to DNA 5.9.0",https://github.com/adobe/spectrum-css/pull/94,2019-02-01T21:11:47Z,2019-02-27T20:32:45Z,1,2,MERGED
spectrum-css, 🐛 disable hover highlight for table header,https://github.com/adobe/spectrum-css/pull/126,2019-03-25T23:08:26Z,2019-04-26T19:52:20Z,2,1,CLOSED
spectrum-css,WIP: Remove checkbox right margin,https://github.com/adobe/spectrum-css/pull/125,2019-03-19T21:56:48Z,2020-08-31T17:25:24Z,1,1,CLOSED
spectrum-css,"Fix Dropdown label truncation when text too long, fixes #121",https://github.com/adobe/spectrum-css/pull/122,2019-03-15T00:45:52Z,2019-04-15T17:10:45Z,0,1,MERGED
