repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
appsmith,Improve action pane performance,https://github.com/appsmithorg/appsmith/pull/571,2020-09-18T04:11:52Z,2020-09-18T12:47:33Z,0,1,MERGED
appsmith,Fix/api URL field twitch,https://github.com/appsmithorg/appsmith/pull/1495,2020-10-31T17:29:26Z,2020-11-03T06:51:03Z,6,6,MERGED
appsmith,fix\Issues while performing actions on Home Page #749,https://github.com/appsmithorg/appsmith/pull/1291,2020-10-19T15:14:00Z,2020-10-19T16:16:28Z,4,2,MERGED
appsmith,Add isFromInvite field to create_USER event,https://github.com/appsmithorg/appsmith/pull/1223,2020-10-15T11:30:25Z,2020-10-15T12:12:38Z,0,1,MERGED
appsmith,Remove extraneous scrollbars in API action pane,https://github.com/appsmithorg/appsmith/pull/1222,2020-10-15T11:01:15Z,2020-10-16T06:58:35Z,0,1,MERGED
appsmith,Fix/fix input size,https://github.com/appsmithorg/appsmith/pull/1207,2020-10-14T20:00:37Z,2020-10-16T06:26:04Z,3,13,MERGED
appsmith,Added an WebExceptionHandler,https://github.com/appsmithorg/appsmith/pull/1178,2020-10-13T23:21:08Z,2020-10-15T12:17:14Z,5,1,MERGED
appsmith,Fix blank scrollbars on Firefox,https://github.com/appsmithorg/appsmith/pull/1171,2020-10-13T11:35:49Z,2020-10-14T05:26:44Z,1,2,MERGED
appsmith,Allow Download File Type dropdown to be deselected,https://github.com/appsmithorg/appsmith/pull/1169,2020-10-13T10:32:39Z,2020-11-05T10:17:19Z,5,1,MERGED
appsmith,fix(autocomplete): show selection background on hover for autocomplete,https://github.com/appsmithorg/appsmith/pull/1134,2020-10-11T19:05:32Z,2020-10-12T08:19:30Z,0,1,MERGED
appsmith,fix\Issues while performing actions on Home Page #749,https://github.com/appsmithorg/appsmith/pull/1072,2020-10-07T21:42:34Z,2020-10-19T15:13:06Z,7,124,CLOSED
appsmith,Fix the hidden column list is not bounded and overflows in height (#981),https://github.com/appsmithorg/appsmith/pull/1024,2020-10-06T10:48:10Z,2020-10-08T10:03:35Z,0,1,MERGED
appsmith,Fix Reset password not disabled after successful reset,https://github.com/appsmithorg/appsmith/pull/1021,2020-10-06T09:26:51Z,2020-10-07T07:17:23Z,1,1,MERGED
appsmith,Fix -  Distorted UI when there are too many characters in email ID #584,https://github.com/appsmithorg/appsmith/pull/1010,2020-10-05T18:46:03Z,2020-10-08T09:49:17Z,3,4,MERGED
appsmith,Move sql plugin to use R2DBC driver from JDBC driver,https://github.com/appsmithorg/appsmith/pull/1936,2020-11-26T23:37:56Z,2020-11-28T12:34:57Z,14,39,MERGED
appsmith,Feature: Min and Max date inputs to restrict range in Datepicker Widget,https://github.com/appsmithorg/appsmith/pull/1865,2020-11-23T11:01:39Z,2020-11-27T08:48:39Z,6,21,MERGED
appsmith,Change Sentry log 'environment' tag value.,https://github.com/appsmithorg/appsmith/pull/1789,2020-11-18T17:47:28Z,2020-11-19T11:59:49Z,1,7,MERGED
appsmith,Fix mongodb datasource test.,https://github.com/appsmithorg/appsmith/pull/1783,2020-11-18T11:11:16Z,2020-11-18T11:25:40Z,0,1,MERGED
appsmith,Fix/fix mongodb reactive,https://github.com/appsmithorg/appsmith/pull/1782,2020-11-18T11:00:01Z,2020-11-18T11:13:14Z,1,12,CLOSED
appsmith,Add support for reactive streams with mongodb.,https://github.com/appsmithorg/appsmith/pull/1720,2020-11-13T08:56:03Z,2020-11-18T05:28:51Z,9,11,MERGED
appsmith,Redshift plugin ,https://github.com/appsmithorg/appsmith/pull/2112,2020-12-10T05:25:20Z,2020-12-22T10:05:26Z,23,34,MERGED
appsmith,mysql plugin - check if connection is stale before running query,https://github.com/appsmithorg/appsmith/pull/2080,2020-12-08T09:40:35Z,2020-12-08T15:33:32Z,4,13,MERGED
appsmith,Fix: Overflow text in button widget,https://github.com/appsmithorg/appsmith/pull/2031,2020-12-04T11:29:27Z,2020-12-07T07:18:54Z,0,11,MERGED
appsmith,Fix: alignment of response view in API Editor,https://github.com/appsmithorg/appsmith/pull/2002,2020-12-02T12:18:46Z,2020-12-08T09:24:37Z,1,10,MERGED
